City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Bennett,North Carolina,386,121,Durham-Chapel Hill,642445,N/A,10.87%,40,N/A,N/A,N/A,45,36.9%,N/A,64.2%,N/A,N/A,40.93%,0.0%,33.43%,Chatham County,52.90%,42.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,89,50,39,69,30,53%,56%,46,65,95,59%,61%,55%,49.72,14.28,10.52,34.77%,37.14%,36.44%,7.5,2,6.5,41.5,67,519,4.6,3.2,NC-05020,35.5663173,-79.5399638
Carrboro,North Carolina,21237,3277,Durham-Chapel Hill,642445,$76599,68.64%,33,$665000,2445,$272,34,47.9%,$1167,52.13%,N/A,N/A,12.05%,4.73%,73.23%,Orange County,72.80%,22.50%,8.48%,15.35%,63.88%,8.47%,13.99%,Eastern Standard Time,90,51,39,69,29,53%,56%,47,66,98,59%,61%,55%,49.41,13.79,10.99,32.79%,33.85%,35.0%,4.5,2,6.5,42.5,53,456,4.5,6.48,NC-10620,35.9259735,-79.0877759
Cary,North Carolina,171603,2897,Durham-Chapel Hill,642445,$113782,69.51%,39,$584000,2345,$249,22,70.73%,$1392,37.52%,66,904,5.67%,3.72%,70.19%,Wake County,57.40%,37.20%,20.26%,8.03%,59.6%,8.3%,22.39%,Eastern Standard Time,89,51,38,69,31,53%,56%,47,66,95,59%,61%,55%,52.39,15.62,10.41,22.0%,24.18%,22.33%,4.5,2,6.5,42.5,56,414,4.9,59.23,NC-10740,35.7817891,-78.8193496
Chapel Hill,North Carolina,60920,2823,Durham-Chapel Hill,642445,$77037,78.47%,25,$674000,2602,$259,32,54.01%,$1294,63.9%,94,1506,19.65%,5.8%,57.63%,Orange County,72.80%,22.50%,13.03%,10.55%,65.47%,6.8%,15.83%,Eastern Standard Time,90,51,39,69,32,53%,56%,47,66,98,59%,61%,55%,49.41,13.79,10.99,32.79%,33.85%,35.0%,4.5,2,6.5,42.5,50,468,4.5,21.58,NC-11800,35.9270611,-79.0390576
Durham,North Carolina,279106,2475,Durham-Chapel Hill,642445,$66623,52.77%,35,$400000,1709,$234,29,54.26%,$1157,57.08%,729,3807,13.54%,4.68%,68.26%,Durham County,77.70%,18.20%,5.3%,37.16%,40.63%,13.24%,14.57%,Eastern Standard Time,91,52,39,70,32,53%,56%,47,66,100,59%,61%,55%,50.65,14.34,10.63,35.73%,38.46%,36.22%,4.5,2,6.5,42.5,51,339,4.6,112.79,NC-19000,35.9792246,-78.9022503
Efland,North Carolina,876,492,Durham-Chapel Hill,642445,$78083,30.07%,36,$270000,1298,$208,27,96.52%,N/A,39.24%,N/A,N/A,0.0%,0.0%,76.58%,Orange County,72.80%,22.50%,0.0%,24.77%,75.23%,0.0%,18.72%,Eastern Standard Time,88,50,38,68,30,53%,56%,47,66,93,59%,61%,55%,50.62,14.94,10.3,34.33%,37.14%,36.33%,10.0,2,6.5,42.5,61,633,4.5,1.78,NC-20420,36.0806123,-79.171827
Fearrington Village,North Carolina,2642,1476,Durham-Chapel Hill,642445,$87576,77.26%,73,$528000,2023,$261,26,83.08%,$1827,43.99%,N/A,N/A,1.38%,0.0%,27.69%,Chatham County,52.90%,42.90%,4.92%,1.14%,93.11%,0.26%,7.87%,Eastern Standard Time,90,52,38,71,30,53%,56%,47,66,98,59%,61%,55%,50.82,14.44,10.88,32.79%,33.85%,35.0%,4.5,2,6.5,42.5,64,339,4.6,1.79,NC-22982,35.7995483,-79.0817381
Goldston,North Carolina,439,556,Durham-Chapel Hill,642445,$44583,10.4%,33,N/A,N/A,N/A,57,87.24%,$867,63.24%,N/A,N/A,7.97%,0.0%,81.76%,Chatham County,52.90%,42.90%,0.23%,2.28%,94.76%,0.91%,0.23%,Eastern Standard Time,89,50,39,69,30,53%,56%,47,66,95,59%,61%,55%,49.72,14.28,10.52,25.95%,28.57%,26.56%,4.5,2,6.5,42.5,66,519,4.6,0.79,NC-26920,35.5929371,-79.3285967
Gorman,North Carolina,1051,362,Durham-Chapel Hill,642445,N/A,10.04%,39,N/A,N/A,N/A,56,85.19%,$1105,39.42%,N/A,N/A,20.65%,2.77%,63.49%,Durham County,77.70%,18.20%,0.0%,0.0%,26.45%,69.55%,62.13%,Eastern Standard Time,88,49,39,68,29,53%,56%,47,66,93,59%,61%,55%,51.68,14.22,10.59,35.73%,38.46%,36.22%,4.5,2,6.5,42.5,60,321,4.6,2.9,NC-27120,36.0417287,-78.8091706
Gulf,North Carolina,67,74,Durham-Chapel Hill,642445,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,100.0%,N/A,N/A,0.0%,0.0%,100.0%,Chatham County,52.90%,42.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,91,53,38,69,31,53%,56%,47,66,100,59%,61%,55%,49.72,14.28,10.52,25.95%,28.57%,26.56%,4.5,2,6.5,42.5,66,519,4.6,0.91,NC-28600,35.5596975,-79.2806327
