City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Argyle,New York,403,1259,Glens Falls,124362,$38750,25.1%,43,N/A,N/A,N/A,44,73.95%,$642,42.00%,N/A,N/A,24.62%,0.0%,52.94%,Washington County,37.10%,55.50%,0.0%,0.0%,87.1%,5.71%,0.0%,Eastern Standard Time,82,31,51,42,127,177,59,N/A,N/A,6,83,292,3,0.32,NY-02550
Bolton,New York,2166,34,Glens Falls,124362,$58563,35.77%,N/A,$587000,2311,$254,40,30.70%,N/A,45.80%,0,444,N/A,3.50%,N/A,Warren County,41.70%,50.10%,0.0%,3.7%,91.4%,3.5%,N/A,Eastern Standard Time,81,29,52,45,132,176,69,N/A,N/A,N/A,90,292,2.9,63.71,NY-07234
Bolton Landing,New York,418,271,Glens Falls,124362,$36544,21.65%,65,$575000,2300,$250,40,75.12%,$936,57.60%,N/A,N/A,0.0%,7.25%,48.13%,Warren County,41.70%,50.10%,0.0%,8.13%,91.87%,0.0%,9.57%,Eastern Standard Time,81,29,52,45,132,176,69,56.1,35.7,6,90,292,2.9,1.54,NY-07245
Cambridge,New York,2274,1314,Glens Falls,124362,$50338,34.23%,52,$170000,1382,$123,54,77.05%,$839,42.20%,N/A,N/A,6.38%,1.94%,48.51%,Washington County,37.10%,55.50%,1.54%,0.0%,94.59%,1.28%,2.77%,Eastern Standard Time,81,31,50,43,134,177,60,N/A,N/A,6,86,292,3,1.73,NY-11825
Chester (Warren Cnty),New York,3302,1536,Glens Falls,124362,$46989,N/A,N/A,$369000,1783,$207,45,43.10%,N/A,40.80%,N/A,N/A,N/A,3.50%,N/A,Warren County,41.70%,50.10%,0.0%,0.2%,98.9%,0.9%,N/A,Eastern Standard Time,80,29,51,44,142,176,77,N/A,N/A,N/A,91,292,2.9,2.15,NY-15319
Chestertown,New York,707,184,Glens Falls,124362,$63581,17.7%,49,N/A,N/A,N/A,39,62.3%,$746,50.80%,N/A,N/A,6.36%,9.25%,85.9%,Warren County,41.70%,50.10%,0.0%,0.28%,99.72%,0.0%,0.71%,Eastern Standard Time,81,29,52,45,140,176,74,56.1,35.7,6,91,292,2.9,3.84,NY-15363
Dresden,New York,567,1890,Glens Falls,124362,$43125,25.21%,N/A,N/A,N/A,N/A,49,34.80%,N/A,41.30%,N/A,N/A,9.8%,3.50%,N/A,Washington County,37.10%,55.50%,0.0%,0.0%,98.8%,0.4%,0%,Eastern Standard Time,82,30,52,44,134,177,71,N/A,N/A,8,90,292,3,0.3,NY-20885
Easton,New York,2491,40,Glens Falls,124362,$70395,32.09%,N/A,N/A,N/A,N/A,62,75.30%,N/A,38.70%,N/A,N/A,N/A,3.50%,N/A,Washington County,37.10%,55.50%,0.4%,0.0%,97.9%,1.7%,N/A,Eastern Standard Time,83,31,52,43,130,177,59,N/A,N/A,6,82,292,3,62.28,NY-22656
Fort Ann,New York,377,1300,Glens Falls,124362,$73929,26.85%,34,$1275000,1168,$1092,75,78.51%,$733,58.60%,N/A,N/A,0.0%,2.76%,72.33%,Washington County,37.10%,55.50%,0.0%,3.98%,88.33%,1.06%,1.06%,Eastern Standard Time,83,30,53,41,129,177,63,N/A,N/A,6,85,292,3,0.29,NY-26704
Fort Edward,New York,3275,1861,Glens Falls,124362,$50966,17.61%,36,$153000,1417,$108,79,63.93%,$909,54.50%,N/A,N/A,10.32%,6.04%,70.38%,Washington County,37.10%,55.50%,0.0%,0.0%,97.71%,0.55%,0.0%,Eastern Standard Time,83,30,53,43,127,177,60,N/A,N/A,6,75,292,3,1.76,NY-26770
Glens Falls,New York,14322,3720,Glens Falls,124362,$55496,29.55%,37,$206000,1346,$153,78,57.23%,$899,60.30%,N/A,N/A,14.66%,5.84%,67.67%,Warren County,41.70%,50.10%,0.93%,1.63%,89.56%,4.92%,4.66%,Eastern Standard Time,82,30,52,43,127,178,60,57.3,36.8,6,49,292,2.9,3.85,NY-29333
Glens Falls North,New York,8753,1045,Glens Falls,124362,$77981,39.5%,47,$299000,1549,$193,41,70.28%,$1039,50.90%,N/A,N/A,7.2%,3.66%,61.31%,Warren County,41.70%,50.10%,2.02%,0.4%,93.96%,1.55%,4.94%,Eastern Standard Time,82,30,52,43,127,175,60,56.1,35.7,N/A,71,292,2.9,8.38,NY-29338
Granville,New York,2250,1452,Glens Falls,124362,$39922,16.39%,48,$97000,808,$120,54,50.93%,$630,51.50%,N/A,N/A,22.0%,2.69%,47.93%,Washington County,37.10%,55.50%,1.29%,0.09%,97.6%,0.49%,0.76%,Eastern Standard Time,81,30,51,45,141,177,71,N/A,N/A,6,87,292,3,1.55,NY-30026
Greenwich,New York,2083,1417,Glens Falls,124362,$66774,32.19%,33,$117000,1360,$86,64,67.85%,$972,47.30%,N/A,N/A,8.08%,2.07%,72.76%,Washington County,37.10%,55.50%,0.91%,2.16%,87.37%,4.8%,2.54%,Eastern Standard Time,82,31,51,44,129,177,60,N/A,N/A,6,83,292,3,1.47,NY-30675
Hague,New York,891,14,Glens Falls,124362,$60850,39.49%,N/A,$1825000,1709,$1068,50,30.40%,N/A,35.20%,N/A,N/A,N/A,3.50%,N/A,Warren County,41.70%,50.10%,0.0%,0.0%,97.4%,1.2%,N/A,Eastern Standard Time,80,29,51,44,135,160,76,N/A,N/A,6,90,292,2.9,63.64,NY-31335
Hampton,New York,852,38,Glens Falls,124362,$46964,13.83%,N/A,N/A,N/A,N/A,38,62.30%,N/A,47.60%,N/A,N/A,N/A,3.50%,N/A,Washington County,37.10%,55.50%,0.0%,0.0%,99.4%,0.1%,N/A,Eastern Standard Time,83,30,53,42,134,176,66,N/A,N/A,6,86,292,3,22.42,NY-31885
Hartford,New York,2092,48,Glens Falls,124362,$61375,22.73%,N/A,$70000,1186,$59,37,74.50%,N/A,38.20%,N/A,N/A,N/A,3.50%,N/A,Washington County,37.10%,55.50%,2.6%,0.0%,91.9%,3.7%,N/A,Eastern Standard Time,82,30,52,43,132,180,64,N/A,N/A,6,84,292,3,43.58,NY-32457
Hebron,New York,1814,32,Glens Falls,124362,$51466,19.16%,N/A,$228000,2000,$114,38,59.70%,N/A,47.90%,N/A,N/A,N/A,3.50%,N/A,Washington County,37.10%,55.50%,0.7%,0.0%,96.5%,1.7%,N/A,Eastern Standard Time,81,30,51,45,137,177,65,N/A,N/A,6,89,292,3,56.69,NY-33040
Horicon,New York,1640,25,Glens Falls,124362,$58750,30.50%,N/A,$505000,1920,$263,39,33.10%,N/A,39.50%,N/A,N/A,N/A,3.50%,N/A,Warren County,41.70%,50.10%,0.0%,0.0%,95.2%,0.4%,N/A,Eastern Standard Time,80,29,51,45,139,176,75,N/A,N/A,6,90,292,2.9,65.6,NY-35639
Hudson Falls,New York,7067,3799,Glens Falls,124362,$50412,14.08%,38,$135000,1107,$122,77,58.35%,$772,57.20%,N/A,N/A,17.45%,8.0%,64.42%,Washington County,37.10%,55.50%,1.26%,1.64%,92.67%,2.02%,2.43%,Eastern Standard Time,83,30,53,43,127,179,60,56.8,36.5,6,59,292,3,1.86,NY-35980
Jackson,New York,1809,49,Glens Falls,124362,$53235,30.25%,N/A,$170000,1604,$106,50,52.30%,N/A,41.90%,N/A,N/A,N/A,3.50%,N/A,Washington County,37.10%,55.50%,0.2%,2.7%,96.0%,0.8%,N/A,Eastern Standard Time,81,31,50,44,136,177,61,N/A,N/A,N/A,87,292,3,36.92,NY-38143
Johnsburg,New York,2002,10,Glens Falls,124362,$43646,24.44%,N/A,$150000,673,$223,44,41.40%,N/A,41.30%,N/A,N/A,N/A,3.50%,N/A,Warren County,41.70%,50.10%,0.0%,0.0%,95.6%,0.3%,N/A,Eastern Standard Time,76,26,50,43,158,178,95,N/A,N/A,6,94,292,2.9,200.2,NY-38715
Kingsbury,New York,12551,316,Glens Falls,124362,$44621,18.72%,N/A,$140000,1359,$103,57,50.30%,N/A,51.20%,N/A,N/A,N/A,3.50%,N/A,Washington County,37.10%,55.50%,0.1%,1.5%,93.5%,2.5%,N/A,Eastern Standard Time,83,30,53,43,127,177,60,N/A,N/A,6,66,292,3,39.72,NY-39650
Lake George,New York,953,1615,Glens Falls,124362,$44755,26.91%,53,$1015000,1536,$661,58,49.26%,$1040,46.30%,N/A,N/A,6.32%,1.18%,58.53%,Warren County,41.70%,50.10%,1.78%,1.36%,76.6%,13.64%,7.35%,Eastern Standard Time,83,30,53,43,128,176,63,N/A,N/A,6,84,292,2.9,0.59,NY-40508
Lake Luzerne,New York,1416,340,Glens Falls,124362,$56100,33.03%,51,$300000,862,$348,58,76.81%,$1186,55.00%,N/A,N/A,6.57%,4.06%,48.6%,Warren County,41.70%,50.10%,0.0%,1.55%,96.96%,0.42%,2.75%,Eastern Standard Time,81,30,51,47,135,180,68,56.1,35.7,6,88,292,2.9,4.17,NY-40651
Lake Luzerne CDP,New York,1416,340,Glens Falls,124362,$56100,33.03%,51,$300000,862,$348,58,76.81%,$1186,N/A,N/A,N/A,6.57%,4.06%,48.6%,Warren County,41.70%,50.10%,0.0%,1.55%,96.96%,0.42%,2.75%,Eastern Standard Time,81,30,51,47,135,176,68,N/A,N/A,N/A,88,292,2.9,4.17,NY-40651
North Creek,New York,691,393,Glens Falls,124362,$52969,22.43%,60,$300000,1449,$207,50,60.68%,$754,49.40%,N/A,N/A,12.54%,3.04%,47.74%,Warren County,41.70%,50.10%,2.32%,2.32%,86.98%,0.0%,2.32%,Eastern Standard Time,76,26,50,42,155,176,91,56.1,35.7,6,94,292,2.9,1.76,NY-51847
Pottersville,New York,182,80,Glens Falls,124362,$83000,24.71%,55,$95000,1118,$85,50,100.0%,N/A,64.90%,N/A,N/A,12.09%,6.03%,63.74%,Warren County,41.70%,50.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,81,29,52,45,139,176,74,56.1,35.7,6,91,292,2.9,2.28,NY-59619
Putnam,New York,639,19,Glens Falls,124362,$60833,21.86%,N/A,N/A,N/A,N/A,60,38.00%,N/A,39.60%,N/A,N/A,N/A,3.50%,N/A,Washington County,37.10%,55.50%,0.3%,0.0%,99.2%,0.5%,N/A,Eastern Standard Time,82,29,53,41,130,177,66,N/A,N/A,6,90,292,3,33.63,NY-60092
Queensbury,New York,27568,439,Glens Falls,124362,$64949,35.29%,N/A,$399000,1946,$205,34,63.60%,N/A,48.40%,N/A,N/A,N/A,3.30%,N/A,Warren County,41.70%,50.10%,1.1%,1.3%,95.2%,1.5%,N/A,Eastern Standard Time,82,30,52,43,127,180,61,N/A,N/A,6,74,292,2.9,62.8,NY-60356
Salem,New York,933,318,Glens Falls,124362,$70685,28.47%,37,$119000,1266,$94,60,77.95%,$860,44.50%,N/A,N/A,7.27%,3.26%,75.19%,Washington County,37.10%,55.50%,0.0%,0.11%,96.14%,1.5%,0.86%,Eastern Standard Time,81,31,50,45,134,177,62,N/A,N/A,6,88,292,3,2.93,NY-64771
Stony Creek,New York,660,8,Glens Falls,124362,$48036,10.13%,N/A,$115000,1198,$96,54,41.40%,N/A,49.10%,N/A,N/A,N/A,3.50%,N/A,Warren County,41.70%,50.10%,0.0%,1.1%,95.6%,2.4%,N/A,Eastern Standard Time,80,29,51,46,140,180,73,N/A,N/A,6,93,292,2.9,82.5,NY-71641
Thurman,New York,1267,14,Glens Falls,124362,$47361,14.22%,N/A,N/A,N/A,N/A,38,58.80%,N/A,43.30%,N/A,N/A,N/A,3.50%,N/A,Warren County,41.70%,50.10%,0.0%,1.0%,96.6%,2.1%,N/A,Eastern Standard Time,80,29,51,45,136,176,71,N/A,N/A,6,93,292,2.9,90.5,NY-73814
Warrensburg,New York,3209,475,Glens Falls,124362,$54864,10.58%,41,$266000,1684,$158,65,61.86%,$878,41.20%,N/A,N/A,8.57%,2.39%,66.37%,Warren County,41.70%,50.10%,1.46%,0.25%,92.46%,5.55%,4.55%,Eastern Standard Time,81,29,52,45,132,176,69,N/A,N/A,6,89,292,2.9,6.76,NY-78289
West Glens Falls,New York,8534,1285,Glens Falls,124362,$83536,32.35%,45,$285000,1364,$209,33,88.55%,$1159,54.90%,N/A,N/A,4.43%,1.48%,74.2%,Warren County,41.70%,50.10%,0.37%,1.37%,95.16%,1.12%,2.32%,Eastern Standard Time,82,30,52,43,127,177,60,56.1,35.7,6,67,292,2.9,6.64,NY-80082
White Creek,New York,3325,69,Glens Falls,124362,$43840,23.62%,N/A,$266000,1985,$134,52,69.40%,N/A,47.10%,N/A,N/A,N/A,3.50%,N/A,Washington County,37.10%,55.50%,1.8%,0.0%,96.6%,0.4%,N/A,Eastern Standard Time,81,31,50,43,136,177,61,N/A,N/A,7,87,292,3,48.19,NY-81578
Whitehall,New York,2263,401,Glens Falls,124362,$34476,8.91%,41,$252000,1938,$130,74,49.32%,$791,48.20%,N/A,N/A,25.47%,8.83%,59.95%,Washington County,37.10%,55.50%,0.0%,0.31%,86.39%,3.14%,1.5%,Eastern Standard Time,83,30,53,41,129,177,62,N/A,N/A,6,86,292,3,5.64,NY-81622
