City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Anderson,South Carolina,29563,2043,Greenville-Anderson-Mauldin,918166,$44321,27.32%,33,$235000,1655,$142,44,47.97%,$965,60.93%,N/A,N/A,22.27%,7.31%,61.19%,Anderson County,26.20%,69.90%,2.41%,28.59%,59.26%,4.73%,5.21%,Eastern Standard Time,91,53,38,71,32,55%,59%,48,66,102,59%,59%,57%,50.42,12.8,14.42,30.93%,33.52%,35.11%,2.2,0,6.6,42.5,47,732,5,14.47,SC-01360,34.5210975,-82.6476648
Arial,South Carolina,2024,432,Greenville-Anderson-Mauldin,918166,$50132,16.3%,46,$140000,1239,$113,45,85.77%,$749,47.57%,N/A,N/A,10.47%,0.0%,58.05%,Pickens County,21.10%,73.90%,1.24%,5.14%,83.05%,3.9%,2.03%,Eastern Standard Time,90,53,37,69,30,55%,59%,48,66,100,59%,59%,57%,50.64,13.82,13.39,32.16%,37.03%,34.0%,2.2,0,6.6,42.5,65,909,4.4,4.68,SC-02440,34.8462615,-82.6404577
Belton,South Carolina,4405,1165,Greenville-Anderson-Mauldin,918166,$48164,15.59%,33,$193000,1206,$160,63,66.87%,$896,43.39%,338,3518,19.16%,7.2%,66.55%,Anderson County,26.20%,69.90%,0.14%,8.6%,81.45%,1.02%,1.29%,Eastern Standard Time,91,53,38,71,32,55%,59%,48,66,102,59%,59%,57%,48.9,12.47,13.8,29.23%,30.11%,33.56%,2.2,0,6.6,42.5,62,711,5,3.78,SC-05365,34.5236912,-82.4936886
Berea,South Carolina,16642,2161,Greenville-Anderson-Mauldin,918166,$48104,18.18%,37,$245000,1376,$178,41,60.82%,$1032,54.84%,N/A,N/A,21.96%,6.7%,61.56%,Greenville County,34.60%,59.40%,1.31%,22.21%,40.54%,32.63%,19.79%,Eastern Standard Time,91,54,37,72,35,55%,59%,48,66,102,59%,59%,57%,54.18,14.98,14.22,33.42%,38.9%,34.89%,3.6,0,6.6,42.5,55,867,5,7.7,SC-05770,34.8802393,-82.4650766
Centerville,South Carolina,6860,1161,Greenville-Anderson-Mauldin,918166,$66912,23.07%,46,$255000,1689,$151,30,84.52%,$1027,44.34%,N/A,N/A,7.33%,1.03%,70.26%,Anderson County,26.20%,69.90%,1.09%,8.59%,86.72%,3.72%,1.71%,Eastern Standard Time,91,54,37,70,33,55%,59%,48,66,102,59%,59%,57%,44.52,11.03,12.62,30.93%,33.52%,35.11%,2.2,0,6.6,42.5,54,696,5,5.91,SC-12965,34.5256723,-82.7161215
Central,South Carolina,5299,1906,Greenville-Anderson-Mauldin,918166,$58262,48.56%,23,$174000,1349,$129,27,17.22%,$973,70.17%,18,2527,31.42%,4.98%,56.37%,Pickens County,21.10%,73.90%,8.13%,7.28%,64.67%,7.1%,10.59%,Eastern Standard Time,91,53,38,69,33,55%,59%,48,66,102,59%,59%,57%,51.58,12.7,14.86,31.59%,33.96%,35.22%,2.2,0,6.6,42.5,60,732,4.4,2.78,SC-13015,34.7233675,-82.7788308
City View,South Carolina,1172,2442,Greenville-Anderson-Mauldin,918166,$37625,12.79%,33,N/A,N/A,N/A,40,47.92%,$1043,60.74%,N/A,N/A,45.48%,9.52%,48.9%,Greenville County,34.60%,59.40%,0.77%,23.89%,61.52%,13.05%,10.75%,Eastern Standard Time,91,54,37,72,35,55%,59%,48,66,102,59%,59%,57%,54.18,14.98,14.22,33.42%,38.9%,34.89%,3.6,0,6.6,42.5,46,867,5,0.48,SC-14455,34.8620376,-82.4249855
Clemson,South Carolina,17759,2352,Greenville-Anderson-Mauldin,918166,$49713,58.96%,25,$375000,1913,$196,32,39.07%,$972,73.14%,182,2422,36.14%,4.13%,58.09%,Pickens County,21.10%,73.90%,4.99%,8.68%,77.17%,3.38%,6.97%,Eastern Standard Time,91,53,38,69,33,55%,59%,48,66,102,59%,59%,57%,51.58,12.7,14.86,31.59%,33.96%,35.22%,2.2,0,6.6,42.5,54,732,4.4,7.55,SC-14950,34.6837079,-82.8123041
Clinton,South Carolina,7624,740,Greenville-Anderson-Mauldin,918166,$40372,29.6%,35,$175000,1620,$108,53,64.93%,$864,75.35%,784,4148,26.52%,4.92%,54.15%,Laurens County,33.50%,63.30%,1.31%,41.25%,54.54%,0.88%,1.14%,Eastern Standard Time,91,55,36,70,31,50%,52%,48,66,98,64%,67%,57%,46.42,12.03,12.7,30.27%,32.2%,34.67%,3.6,0,6.1,42.5,60,600,4.8,10.3,SC-15295,34.4780431,-81.8639066
Cross Hill,South Carolina,502,157,Greenville-Anderson-Mauldin,918166,$37083,5.76%,53,N/A,N/A,N/A,40,83.63%,$1013,48.42%,N/A,N/A,14.54%,0.45%,50.0%,Laurens County,33.50%,63.30%,0.0%,45.42%,47.61%,1.79%,1.39%,Eastern Standard Time,91,54,37,70,33,50%,52%,48,66,98,64%,67%,57%,46.65,12.0,12.77,32.33%,35.6%,35.11%,3.6,0,6.1,42.5,62,486,4.8,3.19,SC-17890,34.3045074,-81.983573
Dunean,South Carolina,3716,2367,Greenville-Anderson-Mauldin,918166,$50382,24.38%,37,$253000,1150,$220,61,53.44%,$1061,64.27%,N/A,N/A,16.74%,8.56%,69.08%,Greenville County,34.60%,59.40%,0.0%,36.09%,51.21%,7.94%,7.97%,Eastern Standard Time,91,54,37,72,35,55%,59%,48,66,102,59%,59%,57%,46.75,12.97,12.47,33.42%,38.9%,34.89%,3.6,0,6.6,42.5,43,957,5,1.57,SC-21310,34.8202654,-82.4225361
Easley,South Carolina,23942,1891,Greenville-Anderson-Mauldin,918166,$65330,31.54%,41,$290000,1933,$150,34,73.52%,$903,46.07%,458,5133,14.25%,3.89%,60.9%,Pickens County,21.10%,73.90%,0.44%,10.63%,78.85%,7.67%,4.79%,Eastern Standard Time,90,53,37,69,30,55%,59%,48,66,100,59%,59%,57%,50.64,13.82,13.39,32.16%,37.03%,34.0%,2.2,0,6.6,42.5,58,909,4.4,12.66,SC-21985,34.8187898,-82.5827579
Fair Play,South Carolina,578,85,Greenville-Anderson-Mauldin,918166,$113466,24.21%,51,N/A,N/A,N/A,20,100.0%,N/A,10.45%,N/A,N/A,28.55%,4.96%,51.6%,Oconee County,23.80%,71.90%,2.42%,0.0%,94.98%,1.9%,0.0%,Eastern Standard Time,89,52,37,70,33,55%,59%,48,66,97,59%,59%,57%,52.27,12.91,14.58,34.47%,38.02%,37.89%,2.2,0,6.6,42.5,62,732,4.6,6.77,SC-24730,34.5076855,-82.986218
Five Forks,South Carolina,19093,2522,Greenville-Anderson-Mauldin,918166,$140668,64.74%,38,$523000,2589,$202,17,92.57%,$2139,33.34%,N/A,N/A,2.1%,3.71%,64.06%,Greenville County,34.60%,59.40%,6.23%,8.41%,73.29%,6.87%,9.11%,Eastern Standard Time,90,53,37,69,32,55%,59%,48,66,100,59%,59%,57%,54.22,14.66,14.47,31.89%,37.03%,33.44%,3.6,0,6.6,42.5,49,798,5,7.57,SC-25540,34.8068688,-82.2271194
Fountain Inn,South Carolina,11307,1463,Greenville-Anderson-Mauldin,918166,$72021,30.81%,34,$330000,2157,$153,23,73.48%,$1072,48.04%,433,1937,12.92%,6.18%,70.61%,Greenville County,34.60%,59.40%,0.0%,28.96%,55.89%,9.78%,5.76%,Eastern Standard Time,90,54,36,68,30,55%,59%,48,66,100,59%,59%,57%,50.22,13.32,13.54,25.23%,29.23%,26.44%,3.6,0,6.6,42.5,58,759,5,7.73,SC-27070,34.6986286,-82.2004903
Gantt,South Carolina,15057,1538,Greenville-Anderson-Mauldin,918166,$47265,18.95%,33,$223000,1232,$181,47,51.26%,$1021,58.6%,N/A,N/A,25.46%,7.37%,66.58%,Greenville County,34.60%,59.40%,0.31%,51.7%,21.23%,30.86%,11.5%,Eastern Standard Time,91,54,37,72,35,55%,59%,48,66,102,59%,59%,57%,51.32,13.03,13.73,33.42%,38.9%,34.89%,3.6,0,6.6,42.5,52,756,5,9.79,SC-28375,34.7837569,-82.4027507
Golden Grove,South Carolina,3084,534,Greenville-Anderson-Mauldin,918166,$71694,28.29%,42,$310000,2214,$140,42,82.55%,$1102,49.92%,N/A,N/A,8.5%,0.42%,69.83%,Greenville County,34.60%,59.40%,0.0%,27.76%,63.39%,1.72%,10.02%,Eastern Standard Time,91,54,37,72,35,55%,59%,48,66,102,59%,59%,57%,51.67,13.77,13.75,29.23%,30.11%,33.56%,3.6,0,6.6,42.5,58,819,5,5.78,SC-29635,34.7324178,-82.4407632
Gray Court,South Carolina,731,402,Greenville-Anderson-Mauldin,918166,$64286,13.3%,39,N/A,N/A,N/A,41,70.0%,$883,49.82%,N/A,N/A,13.0%,10.99%,69.33%,Laurens County,33.50%,63.30%,0.0%,41.18%,35.84%,14.91%,6.7%,Eastern Standard Time,90,54,36,68,30,55%,59%,48,66,100,59%,59%,57%,50.22,13.32,13.54,30.27%,32.2%,34.67%,3.6,0,6.6,42.5,62,759,4.8,1.82,SC-30355,34.607845,-82.1143378
Greenville,South Carolina,71755,2417,Greenville-Anderson-Mauldin,918166,$68460,55.0%,35,$405000,1816,$223,33,47.29%,$1248,57.68%,575,4016,14.05%,4.0%,68.94%,Greenville County,34.60%,59.40%,2.04%,20.49%,66.55%,7.19%,7.73%,Eastern Standard Time,91,54,37,72,35,55%,59%,48,66,102,59%,59%,57%,46.75,12.97,12.47,33.42%,38.9%,34.89%,3.6,0,6.6,42.5,46,957,5,29.69,SC-30850,34.8354003,-82.3647324
Greer,South Carolina,39191,1711,Greenville-Anderson-Mauldin,918166,$80030,40.77%,36,$333000,2030,$164,18,67.95%,$1144,45.85%,433,3096,9.87%,2.22%,69.0%,Greenville County,34.60%,59.40%,6.11%,16.43%,59.03%,15.49%,14.07%,Eastern Standard Time,90,53,37,69,32,55%,59%,48,66,100,59%,59%,57%,53.98,13.92,13.76,31.89%,37.03%,33.44%,3.6,0,6.6,42.5,52,855,5,22.91,SC-30985,34.9331358,-82.2313476
Homeland Park,South Carolina,6944,1474,Greenville-Anderson-Mauldin,918166,$38079,8.53%,38,$140000,1102,$127,47,49.56%,$809,51.95%,N/A,N/A,33.38%,15.59%,59.45%,Anderson County,26.20%,69.90%,0.06%,38.84%,47.91%,10.87%,3.82%,Eastern Standard Time,91,54,37,70,33,55%,59%,48,66,102,59%,59%,57%,44.52,11.03,12.62,30.93%,33.52%,35.11%,2.2,0,6.6,42.5,54,696,5,4.71,SC-34720,34.4644175,-82.6592916
Iva,South Carolina,937,1018,Greenville-Anderson-Mauldin,918166,$24313,10.49%,39,$209000,1451,$144,55,73.05%,$685,59.04%,305,3203,35.23%,15.92%,51.36%,Anderson County,26.20%,69.90%,0.0%,7.36%,85.27%,0.0%,0.43%,Eastern Standard Time,92,53,39,70,32,55%,59%,48,66,105,59%,59%,57%,47.36,11.67,13.78,30.93%,33.52%,35.11%,2.2,0,6.6,42.5,64,555,5,0.92,SC-36160,34.3069593,-82.663571
