City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Alamo,Tennessee,2199,1010,Jackson,179131,90,46,44,54,110,218,4,66.8,49.6,7,21,24,42,12.74%,$38700,15.28%,$632,N/A,$74800,N/A,N/A,49,68.77%,9%,22%,9%,69,19 mins,7.02%,1.60%,-7.10%,Crockett County,24.10%,73.80%,0.0%,9.96%,69.12%,20.55%,9.05%,Central Standard Time,412,5.1,46.20%,48,N/A,47,16.4%,84.07,19,2,40,523,3879,TN-00440,2.2,52.69%
Bells,Tennessee,2697,1134,Jackson,179131,90,47,43,54,110,217,4,67,49.9,N/A,19,26,34,9.23%,$36106,20.92%,$873,N/A,$94000,N/A,N/A,27,49.3%,9%,21%,15%,68,23 mins,3.88%,1.60%,19.30%,Crockett County,24.10%,73.80%,0.26%,16.43%,59.07%,21.62%,8.42%,Central Standard Time,412,5.1,52.90%,43,N/A,N/A,16.8%,99.67,20,2,9,285,1262,TN-04720,2.37,61.67%
Enville,Tennessee,134,92,Jackson,179131,90,48,42,56,104,214,2,67.7,50.3,6,17,30,61,22.64%,$17216,12.69%,$527,N/A,$79200,N/A,N/A,53,66.42%,6%,16%,7%,66,24 mins,0.0%,1.80%,-11.30%,Chester County,19.10%,78.10%,0.0%,0.0%,97.76%,0.0%,0.0%,Central Standard Time,412,5.1,41.20%,7,N/A,N/A,9.0%,N/A,N/A,1,N/A,N/A,N/A,TN-24240,1.45,26.17%
Friendship,Tennessee,705,534,Jackson,179131,90,46,44,54,97,219,4,66.5,49.2,7,21,21,32,16.78%,$32083,37.59%,$534,N/A,$74200,N/A,N/A,38,62.75%,15%,26%,19%,70,23 mins,9.66%,1.60%,-2.00%,Crockett County,24.10%,73.80%,2.7%,8.09%,69.08%,7.52%,3.12%,Central Standard Time,412,5.1,54.00%,10,N/A,22,17.1%,125.28,21,2,175,746,447,TN-27960,1.32,60.68%
Gadsden,Tennessee,490,437,Jackson,179131,90,47,43,54,110,218,4,66.9,49.6,7,35,22,43,13.69%,$43796,23.41%,$796,N/A,$84800,N/A,N/A,50,65.71%,6%,22%,17%,70,21 mins,2.35%,1.60%,40.00%,Crockett County,24.10%,73.80%,0.2%,5.71%,91.22%,2.86%,0.41%,Central Standard Time,412,5.1,48.10%,16,N/A,N/A,14.5%,189.57,19,2,6,0,1518,TN-28380,1.12,45.69%
Henderson,Tennessee,6323,810,Jackson,179131,90,47,43,57,112,212,3,67.9,50.4,6,28,30,29,24.37%,$42722,25.07%,$712,N/A,$87200,N/A,N/A,33,62.29%,6%,16%,7%,57,22 mins,9.87%,1.80%,1.60%,Chester County,19.10%,78.10%,1.36%,18.87%,74.3%,3.1%,1.57%,Central Standard Time,412,5.1,63.80%,58,N/A,34,18.3%,71.85,21,2,1,649,1647,TN-33260,7.81,41.24%
Jackson,Tennessee,67036,1147,Jackson,179131,91,48,43,54,112,213,4,67,49.8,7,54,63,36,27.08%,$42549,24.06%,$878,N/A,$195000,1638,$119,37,52.12%,9%,23%,13%,54,17 mins,8.04%,1.90%,4.00%,Madison County,40.50%,56.00%,1.35%,45.57%,46.9%,3.75%,3.42%,Central Standard Time,412,4.7,56.60%,25,N/A,37,17.9%,58.58,20,2,5,971,3695,TN-37640,58.44,57.46%
Maury City,Tennessee,817,723,Jackson,179131,90,46,44,53,102,215,4,66.7,49.4,7,31,27,40,11.11%,$50208,15.3%,$695,N/A,$73400,N/A,N/A,47,56.67%,10%,23%,15%,70,23 mins,4.99%,1.60%,-22.20%,Crockett County,24.10%,73.80%,0.37%,30.97%,49.94%,17.63%,9.06%,Central Standard Time,412,5.1,55.20%,21,N/A,30,18.4%,25.48,20,2,75,150,2108,TN-46540,1.13,57.3%
Medon,Tennessee,260,263,Jackson,179131,90,48,42,57,113,216,4,67.9,50.5,6,19,34,48,11.88%,$40000,14.62%,$817,N/A,$71800,N/A,N/A,39,92.31%,7%,21%,10%,67,18 mins,27.42%,1.90%,-10.80%,Madison County,40.50%,56.00%,0.0%,7.31%,91.54%,0.0%,0.0%,Central Standard Time,412,4.7,48.90%,11,N/A,19,15.3%,149.25,20,2,0,N/A,N/A,TN-47020,0.99,56.62%
Milledgeville,Tennessee,298,185,Jackson,179131,90,49,41,57,105,216,2,67.9,50.6,6,21,36,47,1.99%,$40625,18.46%,$788,N/A,$65400,N/A,N/A,43,77.85%,8%,28%,19%,65,26 mins,6.25%,-1.40%,-8.60%,McNairy County,18.40%,78.10%,0.67%,7.05%,91.61%,0.67%,0.67%,Central Standard Time,412,4.7,52.60%,5,N/A,38,17.2%,0.00,22,1,4,N/A,N/A,TN-48920,1.61,55.9%
