City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Bartlett,Texas,2243,1810,Killeen-Temple,365373,$44048,4.94%,40,$176000,1143,$154,63,66.07%,$695,55.28%,N/A,N/A,17.56%,2.5%,41.75%,Williamson County,41.30%,50.90%,0.0%,14.48%,40.23%,45.48%,10.86%,Central Standard Time,97,61,36,37.19,81,0.2,6.5,69,663,6.1,1.24,TX-05732,30.7951883,-97.4323641,58%,69%,52%,55%,51%,41.1,55,68,73,36,8.06,6.82,24.68%,17.36%,30.22%,0
Belton,Texas,20635,1021,Killeen-Temple,365373,$49617,27.37%,27,$295000,1695,$174,29,55.03%,$967,59.27%,193,1895,17.88%,3.7%,64.88%,Bell County,39.50%,54.30%,1.67%,10.69%,52.62%,31.61%,8.69%,Central Standard Time,97,61,36,36.17,81,0.2,6.5,64,645,5.8,20.23,TX-07492,31.0524612,-97.4790327,58%,69%,52%,56%,50%,43.1,53,68,73,36,6.95,6.71,23.37%,18.24%,24.33%,0
Copperas Cove,Texas,32844,1821,Killeen-Temple,365373,$53640,19.38%,32,$220000,1583,$139,32,60.68%,$851,43.98%,394,2113,11.1%,6.52%,63.55%,Coryell County,27.70%,67.00%,2.8%,15.28%,54.44%,19.98%,7.85%,Central Standard Time,98,61,37,36.27,66,0.2,6.5,61,933,5.5,18.03,TX-16624,31.1191938,-97.9140627,58%,69%,52%,56%,50%,43.1,53,68,73,36,7.81,6.04,20.74%,15.27%,22.11%,0
Evant,Texas,500,821,Killeen-Temple,365373,$38750,19.87%,33,N/A,N/A,N/A,50,50.94%,$644,53.54%,N/A,N/A,10.38%,6.02%,63.64%,Coryell County,27.70%,67.00%,2.45%,0.0%,79.43%,15.85%,6.98%,Central Standard Time,95,58,37,30.87,62,0.7,6.5,70,969,5.5,0.61,TX-24864,31.4761584,-98.1501605,58%,69%,52%,56%,50%,43.1,53,68,72,34,7.16,4.49,17.1%,15.05%,16.89%,0
Fort Hood,Texas,26472,1689,Killeen-Temple,365373,$45417,21.38%,22,N/A,N/A,N/A,44,1.56%,$1210,63.96%,N/A,N/A,17.42%,12.54%,85.98%,Bell County,39.50%,54.30%,3.79%,17.94%,48.44%,22.71%,6.33%,Central Standard Time,98,61,37,35.57,71,0.2,6.5,65,837,5.8,19.34,TX-26736,31.1357113,-97.7833186,58%,69%,52%,56%,50%,43.1,53,68,73,36,7.63,6.11,20.74%,15.27%,22.11%,0
Gatesville,Texas,12426,1434,Killeen-Temple,365373,$45495,8.28%,40,$155000,1435,$108,43,73.08%,$756,69.8%,186,1640,16.96%,8.63%,17.71%,Coryell County,27.70%,67.00%,0.6%,16.88%,49.0%,24.08%,5.44%,Central Standard Time,98,61,37,37.66,70,0.7,6.5,63,756,5.5,10.5,TX-29168,31.435552,-97.74557,58%,69%,52%,56%,50%,43.1,53,68,73,36,8.88,6.49,17.34%,14.18%,17.56%,0
Harker Heights,Texas,29548,1889,Killeen-Temple,365373,$73685,34.96%,35,$310000,2214,$140,23,57.81%,$912,48.08%,199,1626,9.49%,4.56%,64.71%,Bell County,39.50%,54.30%,4.12%,24.79%,46.38%,20.34%,9.8%,Central Standard Time,98,61,37,36.46,71,0.2,6.5,65,660,5.8,15.61,TX-32312,31.0572403,-97.644509,58%,69%,52%,56%,50%,43.1,53,68,73,36,7.49,6.83,23.37%,18.24%,24.33%,0
Holland,Texas,1372,832,Killeen-Temple,365373,$52396,14.83%,34,$211000,1702,$124,40,71.73%,$847,35.68%,N/A,N/A,16.05%,3.56%,63.57%,Bell County,39.50%,54.30%,0.19%,3.37%,76.11%,17.85%,2.73%,Central Standard Time,97,61,36,36.42,77,0.2,6.5,71,555,5.8,1.65,TX-34508,30.8834713,-97.4025421,58%,69%,52%,55%,51%,41.1,55,68,73,36,7.01,6.59,23.37%,18.24%,24.33%,0
Kempner,Texas,1157,563,Killeen-Temple,365373,$73347,12.94%,43,$345000,1885,$183,29,68.59%,$898,37.57%,N/A,N/A,9.74%,3.17%,58.18%,Lampasas County,18.10%,77.80%,0.95%,2.93%,74.74%,14.66%,4.26%,Central Standard Time,96,59,37,36.27,67,0.2,6.5,70,933,6.1,2.05,TX-38800,31.0754954,-97.9727297,58%,69%,52%,55%,51%,41.1,55,68,72,33,7.81,6.04,20.74%,15.27%,22.11%,0
Killeen,Texas,140513,2579,Killeen-Temple,365373,$50335,20.18%,29,$236000,1788,$132,27,46.56%,$948,48.48%,383,2260,15.07%,10.33%,67.95%,Bell County,39.50%,54.30%,3.94%,39.59%,27.91%,26.23%,9.07%,Central Standard Time,98,61,37,35.57,67,0.2,6.5,62,837,5.8,54.85,TX-39148,31.0752699,-97.7297415,58%,69%,52%,56%,50%,43.1,53,68,73,36,7.63,6.11,20.74%,15.27%,22.11%,0
