City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Ashland,Oregon,20733,3122,Medford,221844,89,47,42,22,109,198,4,44.5,36.6,4,10,48,44,58.83%,$43500,12.3%,N/A,N/A,$460500,N/A,N/A,39,48.40%,4%,45%,23%,70,18 mins,5.30%,1.50%,3.10%,Jackson County,40.70%,49.30%,2.3%,1.6%,87.0%,5.7%,5.9%,Pacific Standard Time,1298,3.2,57.50%,53,N/A,59,18.9%,0.00,0,0,74,N/A,N/A,OR-03050,6.64
Butte Falls,Oregon,437,1016,Medford,221844,88,47,41,33,120,196,19,44.6,36.8,4,55,48,40,10.89%,$37500,27.69%,N/A,N/A,$161900,N/A,N/A,54,71.53%,6%,51%,26%,82,18 mins,17.18%,1.50%,-17.40%,Jackson County,40.70%,49.30%,1.14%,0.0%,76.66%,13.73%,4.58%,Pacific Standard Time,1298,3.2,64.10%,22,N/A,44,24.4%,0.00,0,0,125,N/A,N/A,OR-10050,0.43
Central Point,Oregon,18648,4745,Medford,221844,90,46,44,23,96,192,3,48.1,41.4,4,11,41,40,22.7%,$73015,11.16%,N/A,N/A,$276500,N/A,N/A,24,66.62%,7%,56%,28%,42,15 mins,5.46%,1.50%,7.90%,Jackson County,40.70%,49.30%,0.76%,0.88%,77.91%,14.91%,4.16%,Pacific Standard Time,1298,3.2,45.00%,33,N/A,49,22.2%,2.34,0,0,59,165,1930,OR-12400,3.93
Eagle Point,Oregon,9316,3137,Medford,221844,89,46,43,25,111,199,4,47.5,40.8,4,14,57,39,14.6%,$76711,8.33%,N/A,N/A,$311700,N/A,N/A,16,73.7%,5%,51%,26%,68,25 mins,4.51%,1.50%,12.60%,Jackson County,40.70%,49.30%,0.0%,1.88%,91.64%,5.91%,3.31%,Pacific Standard Time,1298,3.2,47.40%,61,N/A,47,18.3%,0.00,0,0,80,167,2350,OR-21550,2.97
Foots Creek,Oregon,796,131,Medford,221844,90,46,44,25,96,196,4,46.4,39.2,N/A,8,22,66,11.06%,$61214,10.43%,N/A,N/A,$411200,N/A,N/A,42,83.92%,6%,48%,27%,79,18 mins,18.22%,1.50%,-18.60%,Jackson County,40.70%,49.30%,0.0%,0.0%,94.72%,0.0%,0.0%,Pacific Standard Time,1298,3.2,44.00%,1,N/A,40,23.3%,0.00,0,0,50,N/A,N/A,OR-26165,6.07
Gold Hill,Oregon,1199,1578,Medford,221844,90,46,44,25,96,197,4,47.3,40.6,3,12,31,39,13.27%,$48472,15.53%,N/A,N/A,$303500,N/A,N/A,44,75.9%,4%,46%,25%,76,18 mins,10.22%,1.50%,22.10%,Jackson County,40.70%,49.30%,1.5%,0.0%,85.9%,7.84%,4.0%,Pacific Standard Time,1298,3.2,54.60%,45,N/A,50,22.7%,9.20,N/A,0,53,N/A,N/A,OR-29950,0.76
Jacksonville,Oregon,2883,1525,Medford,221844,89,47,42,23,110,199,4,44.9,37.8,4,7,20,55,52.25%,$87438,7.32%,N/A,N/A,$429400,N/A,N/A,31,54.8%,6%,48%,28%,68,21 mins,3.52%,1.50%,5.20%,Jackson County,40.70%,49.30%,1.63%,1.94%,90.81%,2.5%,6.94%,Pacific Standard Time,1298,3.2,34.60%,66,N/A,46,18.1%,0.00,0,0,51,102,2295,OR-37000,1.89
Medford,Oregon,82098,3171,Medford,221844,90,46,44,23,96,195,3,47.5,40.2,4,28,87,37,26.24%,$52243,14.67%,N/A,N/A,$277700,N/A,N/A,37,55.64%,7%,50%,28%,32,16 mins,5.09%,1.50%,7.40%,Jackson County,40.70%,49.30%,1.61%,0.99%,75.58%,16.18%,6.75%,Pacific Standard Time,1298,3.2,51.30%,37,25,54,21.4%,2.62,0,0,61,N/A,N/A,OR-47000,25.89
Phoenix,Oregon,4624,3234,Medford,221844,89,47,42,21,107,197,4,46.2,39,4,13,44,58,28.84%,$35641,9.45%,N/A,N/A,$279400,N/A,N/A,33,66.36%,8%,54%,29%,65,18 mins,4.3%,1.50%,0.50%,Jackson County,40.70%,49.30%,0.82%,0.61%,77.49%,8.78%,3.89%,Pacific Standard Time,1298,3.2,57.10%,74,N/A,79,26.5%,4.40,0,0,49,324,5359,OR-57500,1.43
Prospect,Oregon,483,138,Medford,221844,88,46,42,36,127,196,16,44.2,36.1,5,10,28,58,17.44%,$27652,23.75%,N/A,N/A,$189300,N/A,N/A,50,66.67%,6%,51%,28%,82,18 mins,10.77%,1.50%,18.50%,Jackson County,40.70%,49.30%,0.62%,0.0%,94.41%,0.0%,0.0%,Pacific Standard Time,1298,3.2,39.30%,24,N/A,N/A,19.9%,0.00,0,0,60,N/A,N/A,OR-60100,3.5
