City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Beech Grove,Kentucky,541,292,Owensboro,119795,89,44,45,46,105,202,7,65.1,47.4,7,9,21,36,N/A,$63818,22.9%,N/A,N/A,$50100,N/A,N/A,49,84.30%,10%,29%,33%,73,27 mins,5.00%,0.90%,150.50%,McLean County,21.60%,74.00%,0.0%,2.8%,97.2%,0.0%,4.1%,Eastern Standard Time,406,4.3,48.90%,24,N/A,N/A,23.1%,0.00,17,2,6,N/A,N/A,KY-04978,1.85
Calhoun,Kentucky,726,1117,Owensboro,119795,90,44,46,46,105,201,8,65,47.3,7,10,7,48,8.13%,$39792,18.42%,N/A,N/A,$87800,N/A,N/A,47,63.47%,10%,29%,31%,73,27 mins,5.00%,0.90%,-35.40%,McLean County,21.60%,74.00%,0.55%,0.55%,97.38%,1.1%,0.83%,Eastern Standard Time,406,4.3,50.80%,27,N/A,35,15.1%,71.43,17,1,4,N/A,N/A,KY-11854,0.65
Hawesville,Kentucky,956,590,Owensboro,119795,89,43,46,48,107,205,8,64.5,46.7,6,7,13,37,19.34%,$54167,24.23%,N/A,N/A,$134500,N/A,N/A,46,81.49%,10%,28%,31%,70,22 mins,4.40%,1.40%,-6.60%,Hancock County,29.00%,64.90%,0.84%,2.09%,96.76%,0.0%,1.88%,Eastern Standard Time,406,4.3,41.10%,20,N/A,N/A,16.1%,276.07,16,1,4,0,604,KY-35200,1.62
Island,Kentucky,576,1694,Owensboro,119795,88,43,45,46,102,205,6,64.6,47,7,7,18,49,8.55%,$42500,17.71%,N/A,N/A,$65100,N/A,N/A,36,78.82%,10%,28%,33%,73,27 mins,5.00%,0.90%,-13.20%,McLean County,21.60%,74.00%,0.17%,0.0%,97.57%,1.04%,1.04%,Eastern Standard Time,406,4.3,36.70%,14,N/A,32,15.7%,113.21,16,1,5,N/A,N/A,KY-39700,0.34
Lewisport,Kentucky,1824,1920,Owensboro,119795,89,44,45,48,107,204,8,64.4,46.4,6,7,9,35,14.59%,$50139,17.94%,N/A,N/A,$91300,N/A,N/A,44,59.42%,10%,29%,31%,72,22 mins,4.40%,1.40%,0.50%,Hancock County,29.00%,64.90%,1.92%,2.25%,93.64%,1.48%,2.74%,Eastern Standard Time,406,4.3,49.70%,7,N/A,37,13.4%,92.48,16,2,6,0,235,KY-45136,0.95
Livermore,Kentucky,1116,1083,Owensboro,119795,89,44,45,47,103,201,6,64.8,47.1,7,6,9,47,8.7%,$23438,28.94%,N/A,N/A,$86800,N/A,N/A,51,62.01%,10%,29%,33%,71,21 mins,5.00%,0.90%,6.10%,McLean County,21.60%,74.00%,0.0%,0.0%,95.7%,0.0%,0.0%,Eastern Standard Time,406,4.3,40.40%,32,N/A,34,17.1%,58.87,16,1,5,N/A,N/A,KY-47062,1.03
Maceo,Kentucky,414,278,Owensboro,119795,90,43,47,46,102,202,6,64.6,46.7,6,5,12,28,3.74%,$55645,13.77%,N/A,N/A,$101200,N/A,N/A,43,74.64%,7%,23%,30%,72,19 mins,4.40%,1.50%,-57.00%,Daviess County,30.90%,63.10%,0.0%,0.0%,99.76%,0.0%,0.0%,Eastern Standard Time,406,4,21.60%,10,N/A,35,20.0%,311.36,16,1,3,N/A,N/A,KY-49026,1.49
Masonville,Kentucky,1822,176,Owensboro,119795,89,44,45,46,102,203,6,64.9,47,N/A,5,12,29,33.24%,$67500,14.22%,N/A,N/A,$157700,N/A,N/A,45,97.64%,9%,26%,32%,73,20 mins,4.40%,1.50%,27.20%,Daviess County,30.90%,63.10%,0.0%,0.0%,90.78%,1.32%,0.0%,Eastern Standard Time,406,4,30.70%,0,N/A,N/A,13.8%,152.38,17,1,5,N/A,N/A,KY-50520,10.36
Owensboro,Kentucky,59796,2913,Owensboro,119795,90,43,47,45,102,202,7,65.5,47.5,7,15,56,38,24.62%,$46193,20.48%,N/A,N/A,$131800,N/A,N/A,47,56.42%,11%,29%,34%,56,16 mins,4.50%,1.50%,4.00%,Daviess County,30.90%,63.10%,2.41%,6.56%,82.55%,4.57%,4.0%,Eastern Standard Time,406,4,53.10%,36,N/A,50,16.6%,54.71,16,1,6,224,4046,KY-58620,20.53
Sacramento,Kentucky,443,1030,Owensboro,119795,89,43,46,46,111,205,6,64.9,47.3,7,10,25,38,11.04%,$28594,35.71%,N/A,N/A,$80200,N/A,N/A,50,45.37%,10%,28%,31%,73,27 mins,5.00%,0.90%,-24.80%,McLean County,21.60%,74.00%,1.35%,8.8%,87.58%,0.0%,1.35%,Eastern Standard Time,406,4.3,48.00%,12,N/A,48,13.8%,111.52,16,1,4,N/A,N/A,KY-67638,0.43
