City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Aaronsburg (Washington Cnty),Pennsylvania,341,609,Pittsburgh,2366544,$10958,13.5%,25,$190000,2289,$83,63,15.06%,N/A,88.06%,N/A,N/A,77.71%,0.0%,22.16%,Washington County,35.50%,60.00%,0.0%,11.14%,66.57%,0.0%,0.0%,Eastern Standard Time,85,39,46,64,22,57%,54%,39,58,87,42%,52%,29%,44.45,13.52,10.05,42.9%,40.55%,49.33%,30.5,14,7.8,34.4,56,684,3.6,0.56,PA-00104,40.0108233,-80.0009264
Adams township (Butler Cnty),Pennsylvania,13166,588,Pittsburgh,2366544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Butler County,29.20%,65.70%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,34,48,59,17,57%,54%,39,58,83,42%,52%,29%,45.75,13.67,10.0,39.29%,37.69%,42.0%,44.4,37,7.8,34.4,69,1005,3.5,22.39,PA-00300,40.7092328,-80.011842
Adamsburg,Pennsylvania,103,368,Pittsburgh,2366544,$56875,23.61%,41,N/A,N/A,N/A,60,54.35%,$650,68.89%,N/A,N/A,10.68%,0.0%,58.89%,Westmoreland County,32.50%,63.50%,0.0%,0.0%,93.2%,0.0%,0.0%,Eastern Standard Time,86,38,48,64,22,57%,54%,39,58,89,42%,52%,29%,48.56,15.06,10.34,42.41%,42.09%,47.89%,25.0,22,7.8,34.4,61,939,3.5,0.28,PA-00332,40.3124339,-79.654279
Aleppo township (Allegheny Cnty),Pennsylvania,1787,1010,Pittsburgh,2366544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,696,N/A,N/A,N/A,Allegheny County,55.90%,39.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,36,48,65,21,57%,54%,39,58,86,42%,52%,29%,39.86,12.22,8.64,43.29%,38.35%,53.67%,44.4,37,7.8,34.4,56,648,3.4,1.77,PA-00724,40.5329302,-80.14349
Aliquippa,Pennsylvania,9237,2199,Pittsburgh,2366544,$35688,17.66%,46,$138000,1221,$113,72,57.71%,$706,62.88%,N/A,N/A,27.92%,7.4%,54.44%,Beaver County,38.50%,57.00%,1.07%,36.83%,54.56%,2.58%,5.12%,Eastern Standard Time,84,36,48,65,21,57%,54%,39,58,86,42%,52%,29%,39.86,12.22,8.64,43.29%,38.35%,53.67%,44.4,37,7.8,34.4,65,648,3.7,4.2,PA-00820,40.6154563,-80.254845
Allegheny township (Butler Cnty),Pennsylvania,623,25,Pittsburgh,2366544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Butler County,29.20%,65.70%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,33,49,58,14,61%,56%,39,58,84,42%,52%,29%,49.96,14.81,10.75,50.47%,44.51%,60.33%,88.7,39,8.5,33.0,80,951,3.5,24.92,PA-00860,41.1373137,-79.7381763
Allegheny township (Westmoreland Cnty),Pennsylvania,8198,264,Pittsburgh,2366544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Westmoreland County,32.50%,63.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,37,47,64,21,57%,54%,39,58,86,42%,52%,29%,46.11,13.77,10.46,44.33%,39.56%,54.56%,25.0,22,7.8,34.4,64,696,3.5,31.05,PA-00892,40.6151384,-79.6440426
Allenport borough,Pennsylvania,472,222,Pittsburgh,2366544,$55625,33.86%,49,N/A,N/A,N/A,64,84.85%,$858,54.29%,N/A,N/A,9.79%,6.58%,53.9%,Washington County,35.50%,60.00%,0.0%,0.0%,91.1%,0.0%,4.03%,Eastern Standard Time,85,39,46,64,22,57%,54%,39,58,87,42%,52%,29%,44.45,13.52,10.05,40.66%,37.91%,47.44%,30.5,14,7.8,34.4,58,684,3.6,2.13,PA-00988,40.0922322,-79.8565814
Allison,Pennsylvania,356,531,Pittsburgh,2366544,N/A,19.7%,49,N/A,N/A,N/A,N/A,55.37%,N/A,29.29%,N/A,N/A,19.38%,0.0%,48.82%,Fayette County,33.20%,63.90%,0.0%,6.18%,88.2%,0.0%,0.0%,Eastern Standard Time,85,40,45,62,21,57%,54%,39,58,87,42%,52%,29%,48.64,13.95,12.27,44.66%,42.53%,51.22%,30.5,14,7.8,34.4,66,981,3.6,0.67,PA-02040,39.9852551,-79.8731366
Allison Park,Pennsylvania,23160,1671,Pittsburgh,2366544,$89200,56.11%,44,$300000,1224,$245,47,80.32%,$1053,40.07%,N/A,N/A,3.64%,4.51%,68.37%,Allegheny County,55.90%,39.50%,3.34%,2.99%,89.46%,2.1%,6.31%,Eastern Standard Time,84,36,48,63,19,57%,54%,39,58,86,42%,52%,29%,47.89,14.48,10.46,44.33%,39.56%,54.56%,44.4,37,7.8,34.4,57,684,3.4,13.86,PA-02056,40.573013,-79.9602675
