City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Alta,California,703,295,Sacramento--Roseville--Arden-Arcade,2374749,83,47,36,69,86,251,134,44.5,38.9,5,18,35,55,40.29%,$84167,5.97%,$1433,N/A,$336600,N/A,N/A,37,92.22%,6%,66%,44%,70,27 mins,4.85%,1.40%,-7.20%,Placer County,39.50%,51.10%,2.42%,0.71%,94.88%,0.57%,7.11%,Pacific Standard Time,25,4.8,32.10%,15,N/A,3,18.6%,113.85,0,0,244,N/A,N/A,CA-01276,2.38,64.58%
Antelope,California,48468,7086,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,60,265,0,51.7,46.2,4,17,32,34,24.84%,$82095,10.95%,$1712,974,$450000,1660,$271,24,66.31%,5%,48%,54%,26,29 mins,5.58%,1.40%,4.50%,Sacramento County,58.00%,33.80%,11.3%,8.74%,58.78%,15.88%,25.41%,Pacific Standard Time,25,5.2,47.00%,33,N/A,44,22.2%,10.69,0,0,27,N/A,N/A,CA-02210,6.84,65.11%
Arden-Arcade,California,93719,5894,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,61,268,0,51.7,46.2,N/A,22,43,37,37.15%,$52694,21.85%,$1147,N/A,$459000,1475,$311,52,42.81%,5%,43%,48%,23,24 mins,8.32%,1.40%,8.50%,Sacramento County,58.00%,33.80%,12.36%,8.75%,52.17%,20.71%,22.5%,Pacific Standard Time,25,5.2,54.80%,50,32,65,19.1%,0.00,0,0,29,N/A,N/A,CA-02553,15.9,61.19%
Auburn,California,14104,1964,Sacramento--Roseville--Arden-Arcade,2374749,92,55,37,38,70,253,1,44.5,38.9,4,23,31,49,40.4%,$67282,12.07%,$1176,N/A,$679000,2089,$325,40,62.23%,6%,47%,43%,44,22 mins,4.43%,1.40%,3.40%,Placer County,39.50%,51.10%,1.3%,0.49%,83.4%,9.75%,9.12%,Pacific Standard Time,25,4.8,49.10%,77,N/A,25,21.3%,108.87,0,0,13,352,1668,CA-03204,7.18,55.78%
Auburn Lake Trails,California,3495,275,Sacramento--Roseville--Arden-Arcade,2374749,91,54,37,39,70,246,2,42.9,37.5,5,13,22,51,35.99%,$105368,7.93%,$2193,N/A,$570000,2050,$278,29,85.84%,7%,45%,40%,60,29 mins,5.84%,1.70%,-8.10%,El Dorado County,38.30%,51.80%,0.0%,0.0%,91.59%,4.66%,4.29%,Pacific Standard Time,25,4.8,25.80%,0,N/A,N/A,19.7%,13.90,0,0,13,N/A,N/A,CA-03205,12.73,56.26%
Cameron Park,California,18370,1636,Sacramento--Roseville--Arden-Arcade,2374749,92,54,38,37,70,245,0,42.9,37.5,4,20,39,45,31.55%,$77014,7.88%,$1452,N/A,$622000,2229,$279,32,65.83%,7%,45%,41%,56,29 mins,3.06%,1.70%,14.50%,El Dorado County,38.30%,51.80%,3.46%,0.75%,74.92%,17.63%,9.21%,Pacific Standard Time,25,4.8,50.20%,19,N/A,22,23.0%,12.51,0,0,9,N/A,N/A,CA-10256,11.23,56.71%
Camino,California,2065,804,Sacramento--Roseville--Arden-Arcade,2374749,92,52,40,52,73,246,26,42.9,37.5,5,16,32,50,29.49%,$109917,7.22%,$1609,N/A,$572000,1958,$292,45,70.94%,6%,45%,45%,67,29 mins,7.72%,1.70%,-4.60%,El Dorado County,38.30%,51.80%,2.57%,0.0%,87.46%,4.55%,1.16%,Pacific Standard Time,25,4.8,40.40%,28,N/A,N/A,21.1%,10.36,0,0,12,N/A,N/A,CA-10270,2.57,56.89%
Carmichael,California,75642,4934,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,60,266,0,51.7,46.2,4,20,39,41,33.07%,$68227,11.66%,$1226,821,$500000,1666,$300,46,55.13%,5%,40%,49%,31,26 mins,6.01%,1.40%,5.30%,Sacramento County,58.00%,33.80%,7.1%,4.97%,67.62%,14.49%,15.11%,Pacific Standard Time,25,5.2,52.70%,44,N/A,56,19.3%,21.60,0,0,18,N/A,N/A,CA-11390,15.33,60.14%
Carnelian Bay,California,565,435,Sacramento--Roseville--Arden-Arcade,2374749,78,40,38,29,72,251,191,44.5,38.9,6,19,39,41,53.24%,$116591,3.72%,N/A,N/A,$670300,N/A,N/A,43,81.42%,6%,40%,31%,85,27 mins,0.0%,1.40%,50.50%,Placer County,39.50%,51.10%,6.19%,2.12%,69.2%,18.41%,10.8%,Pacific Standard Time,25,4.8,45.20%,11,N/A,N/A,23.0%,0.00,0,0,3251,N/A,N/A,CA-11418,1.3,67.17%
Citrus Heights,California,87665,6165,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,59,268,0,51.7,46.2,4,24,44,38,21.64%,$65867,10.45%,$1364,804,$425000,1470,$289,41,58.8%,5%,43%,52%,34,26 mins,5.98%,1.40%,2.70%,Sacramento County,58.00%,33.80%,3.48%,3.55%,67.62%,19.93%,13.66%,Pacific Standard Time,25,5.2,54.00%,43,N/A,47,21.2%,22.98,0,0,13,353,2540,CA-13588,14.22,64.93%
