City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Aumsville,Oregon,4145,3668,Salem,349152,$64009,7.79%,32,$445000,1469,$303,27,82.04%,$972,54.64%,N/A,N/A,18.05%,7.58%,70.55%,Marion County,42.20%,46.30%,0.17%,0.0%,81.09%,9.29%,1.62%,Pacific Standard Time,81,45,36,47.41,16.0,6.5,72,393,2.9,1.13,OR-03250,44.846171,-122.8698712,50%,67%,30%,59%,42%,4.6,43,51,53,33,2.73,18.49,45.75%,16.7%,65.11%,7,81
Aurora,Oregon,922,1921,Salem,349152,$90357,43.38%,42,$715000,2375,$301,26,84.27%,$1615,36.56%,N/A,N/A,2.39%,1.33%,70.19%,Marion County,42.20%,46.30%,0.87%,0.76%,91.65%,6.29%,4.45%,Pacific Standard Time,84,47,37,38.76,1.2,7.4,57,180,2.9,0.48,OR-03300,45.2283176,-122.7572274,50%,67%,30%,59%,46%,7.0,44,52,57,35,2.05,15.2,43.01%,16.37%,59.78%,0,84
Brooks,Oregon,621,1218,Salem,349152,$61208,12.94%,24,N/A,N/A,N/A,61,96.13%,N/A,32.28%,N/A,N/A,3.87%,0.0%,80.91%,Marion County,42.20%,46.30%,0.81%,0.0%,45.25%,37.52%,9.98%,Pacific Standard Time,81,45,36,40.73,1.2,6.5,64,129,2.9,0.51,OR-08750,45.050852,-122.9574381,50%,67%,30%,59%,42%,4.6,43,51,56,34,1.88,16.66,50.66%,17.25%,73.11%,0,81
Butteville,Oregon,317,302,Salem,349152,$130417,61.0%,47,N/A,N/A,N/A,44,82.97%,N/A,27.94%,N/A,N/A,0.0%,0.0%,52.23%,Marion County,42.20%,46.30%,0.0%,0.0%,97.48%,0.32%,2.84%,Pacific Standard Time,84,47,37,38.76,1.2,7.4,62,180,2.9,1.05,OR-10100,45.2562071,-122.8356956,50%,67%,30%,59%,46%,7.0,44,52,57,35,2.05,15.2,43.01%,16.37%,59.78%,0,84
Dallas,Oregon,16612,3383,Salem,349152,$58398,22.46%,42,$460000,1603,$287,34,69.0%,$925,48.43%,282,1919,16.2%,5.8%,52.25%,Polk County,40.70%,47.00%,0.32%,0.13%,91.46%,3.38%,2.82%,Pacific Standard Time,83,46,37,48.63,2.8,6.5,68,306,3,4.91,OR-17700,44.922134,-123.3130186,50%,67%,30%,59%,42%,4.6,43,51,52,34,1.9,21.81,43.23%,13.19%,64.56%,0,82
Detroit,Oregon,72,122,Salem,349152,$51250,40.28%,64,$758000,2016,$376,37,83.33%,N/A,22.22%,N/A,N/A,6.94%,0.0%,45.83%,Marion County,42.20%,46.30%,0.0%,0.0%,94.44%,0.0%,0.0%,Pacific Standard Time,82,43,39,95.03,93.8,6.5,76,1116,2.9,0.59,OR-19100,44.7338218,-122.1512356,50%,67%,30%,59%,42%,4.6,43,51,54,33,5.2,38.1,47.86%,18.79%,65.78%,26,81
Donald,Oregon,1465,5232,Salem,349152,$71875,13.48%,36,N/A,N/A,N/A,27,84.64%,$1288,42.57%,N/A,N/A,12.76%,9.01%,69.38%,Marion County,42.20%,46.30%,2.73%,2.59%,63.34%,30.17%,15.36%,Pacific Standard Time,84,47,37,38.76,1.2,6.5,62,180,2.9,0.28,OR-20100,45.2226509,-122.8388419,50%,67%,30%,59%,42%,4.6,43,51,57,35,2.05,15.2,43.01%,16.37%,59.78%,0,83
Falls City,Oregon,1496,1247,Salem,349152,$33625,9.7%,34,N/A,N/A,N/A,46,67.51%,$1010,48.85%,N/A,N/A,28.61%,14.62%,56.13%,Polk County,40.70%,47.00%,5.82%,0.67%,73.53%,16.11%,3.68%,Pacific Standard Time,81,44,37,78.23,2.8,6.5,83,630,3,1.2,OR-24550,44.8648027,-123.4375005,50%,67%,30%,59%,42%,4.6,43,51,51,33,2.3,36.95,43.23%,13.19%,64.56%,0,81
Four Corners,Oregon,16491,6704,Salem,349152,$55928,9.97%,34,$366000,1519,$241,45,62.08%,$1104,55.94%,N/A,N/A,13.51%,4.86%,64.66%,Marion County,42.20%,46.30%,3.71%,0.99%,48.49%,43.04%,18.06%,Pacific Standard Time,84,47,37,39.28,16.0,6.5,39,189,2.9,2.46,OR-26750,44.9291405,-122.9731474,50%,67%,30%,59%,42%,4.6,43,51,56,35,1.61,16.71,40.08%,13.19%,58.44%,7,83
Gervais,Oregon,2726,6649,Salem,349152,$72411,5.77%,33,$458000,1949,$235,26,72.02%,$1231,49.6%,71,467,10.99%,4.57%,75.08%,Marion County,42.20%,46.30%,0.26%,0.0%,14.12%,84.19%,27.48%,Pacific Standard Time,81,45,36,46.18,1.2,6.5,66,372,2.9,0.41,OR-28650,45.108038,-122.8964259,50%,67%,30%,59%,42%,4.6,43,51,56,34,2.48,18.0,50.66%,17.25%,73.11%,0,81
