City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Bloomfield,California,243,30,Santa Rosa,489819,84,57,27,30,75,260,0,51.1,45.8,5,19,38,47,60.89%,$108958,8.64%,$2456,940,N/A,N/A,N/A,42,75.31%,5%,51%,59%,77,25 mins,0.0%,1.70%,24.70%,Sonoma County,68.80%,22.00%,0.0%,0.0%,82.3%,6.17%,8.64%,Pacific Standard Time,167,4.9,57.50%,17,0,31,20.8%,0.00,N/A,0,1139,N/A,N/A,CA-07036,8.14,74.65%
Bodega,California,590,203,Santa Rosa,489819,76,56,20,45,77,260,0,51.1,45.8,5,18,36,45,29.8%,$110483,17.15%,N/A,N/A,N/A,N/A,N/A,44,89.66%,4%,49%,59%,82,25 mins,28.75%,1.70%,85.50%,Sonoma County,68.80%,22.00%,0.0%,4.58%,57.29%,2.03%,6.27%,Pacific Standard Time,167,4.9,47.50%,25,N/A,8,45.8%,0.00,N/A,0,858,N/A,N/A,CA-07246,2.9,63.12%
Bodega Bay,California,1069,128,Santa Rosa,489819,71,57,14,40,78,261,0,51.1,45.8,8,16,33,57,43.24%,$67433,1.1%,$1355,N/A,$1425000,2383,$598,33,62.75%,4%,42%,42%,83,25 mins,21.84%,1.70%,-19.80%,Sonoma County,68.80%,22.00%,0.0%,4.96%,63.8%,31.24%,13.28%,Pacific Standard Time,167,4.9,45.80%,40,N/A,44,19.6%,0.00,N/A,0,639,N/A,N/A,CA-07260,8.35,65.48%
Boyes Hot Springs,California,8006,7553,Santa Rosa,489819,85,57,28,31,72,261,0,51.1,45.8,5,21,36,36,26.74%,$62261,9.3%,$1612,1109,$735000,1512,$486,48,38.83%,5%,51%,57%,76,26 mins,1.73%,1.70%,5.30%,Sonoma County,68.80%,22.00%,1.29%,0.77%,41.07%,52.26%,26.47%,Pacific Standard Time,167,4.9,51.40%,76,N/A,N/A,24.0%,1.28,N/A,0,1724,N/A,N/A,CA-07848,1.06,64.89%
Cazadero,California,340,48,Santa Rosa,489819,78,56,22,51,75,260,0,51.1,45.8,5,19,40,48,26.72%,$95455,2.19%,$1019,N/A,$492000,560,$879,61,82.5%,4%,45%,42%,87,25 mins,2.87%,1.70%,-21.30%,Sonoma County,68.80%,22.00%,0.0%,0.0%,90.59%,9.41%,5.59%,Pacific Standard Time,167,4.9,54.00%,0,N/A,N/A,15.0%,68.03,0,0,37501,N/A,N/A,CA-12146,7.12,64.54%
Cloverdale,California,8854,2820,Santa Rosa,489819,91,57,34,44,76,264,0,51.1,45.8,5,11,25,43,24.69%,$80896,8.69%,$1324,N/A,$502000,1353,$371,32,67.99%,3%,51%,51%,84,27 mins,1.55%,1.70%,7.30%,Sonoma County,68.80%,22.00%,1.57%,1.2%,64.93%,27.86%,18.14%,Pacific Standard Time,167,4.9,40.60%,80,N/A,68,22.1%,19.96,0,0,38100,179,1301,CA-14190,3.14,63.37%
Cotati,California,7487,4004,Santa Rosa,489819,83,58,25,34,78,257,0,51.1,45.8,5,22,23,39,33.62%,$86982,9.55%,$1643,N/A,$750000,1678,$447,32,57.83%,6%,52%,63%,68,29 mins,2.99%,1.70%,5.30%,Sonoma County,68.80%,22.00%,2.35%,1.12%,70.16%,22.29%,12.22%,Pacific Standard Time,167,4.9,52.40%,88,N/A,69,22.2%,17.95,0,0,2408,523,1243,CA-16560,1.87,70.13%
El Verano,California,3256,2831,Santa Rosa,489819,85,57,28,31,72,261,0,51.1,45.8,5,18,31,51,28.93%,$101813,2.36%,$1734,1109,$900000,1607,$560,42,57.01%,5%,51%,60%,77,25 mins,8.36%,1.70%,-2.20%,Sonoma County,68.80%,22.00%,0.15%,1.2%,72.02%,24.66%,11.58%,Pacific Standard Time,167,4.9,46.50%,48,N/A,N/A,22.0%,0.00,0,0,1709,N/A,N/A,CA-22510,1.15,63.37%
Eldridge,California,960,1477,Santa Rosa,489819,86,57,29,33,72,260,0,51.1,45.8,5,16,33,45,46.43%,$144241,8.25%,$1456,775,N/A,N/A,N/A,37,52.31%,4%,51%,57%,81,25 mins,9.95%,1.70%,-15.40%,Sonoma County,68.80%,22.00%,0.42%,0.0%,70.52%,12.4%,9.06%,Pacific Standard Time,167,4.9,36.80%,11,N/A,49,20.8%,0.00,0,0,1725,N/A,N/A,CA-21894,0.65,79.52%
Fetters Hot Springs-Agua Caliente,California,3554,2434,Santa Rosa,489819,85,57,28,31,72,259,0,51.1,45.8,N/A,21,36,43,29.98%,$82260,2.84%,$1424,1109,$600000,1288,$466,37,55.33%,4%,51%,61%,76,23 mins,3.47%,1.70%,38.40%,Sonoma County,68.80%,22.00%,1.55%,0.0%,52.22%,40.32%,31.43%,Pacific Standard Time,167,4.9,47.60%,62,N/A,20,29.6%,0.00,N/A,0,1719,N/A,N/A,CA-23973,1.46,68.56%
