City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Algoma,Mississippi,1065,161,Tupelo,163409,$60000,21.84%,36,N/A,N/A,N/A,24,80.49%,$910,54.07%,N/A,N/A,13.43%,2.98%,62.33%,Pontotoc County,18.40%,79.60%,0.0%,6.76%,77.0%,7.61%,0.19%,N/A,90,52,38,70,31,57%,56%,50,68,98,63%,74%,52%,57.5,12.83,16.36,23.07%,22.75%,27.33%,1.7,0,6.4,53.4,63,369,5,6.6,MS-00820,34.1788455,-89.0335626
Baldwyn,Mississippi,3005,259,Tupelo,163409,$43333,15.29%,45,N/A,N/A,N/A,37,74.82%,$481,56.56%,N/A,N/A,19.81%,4.26%,52.03%,Prentiss County,20.90%,77.50%,1.63%,45.79%,43.86%,0.0%,1.63%,N/A,89,50,39,69,29,57%,56%,50,68,96,63%,74%,52%,57.48,12.46,16.57,28.99%,27.8%,33.11%,1.0,0,6.4,53.4,60,330,4.8,11.59,MS-02700,34.5071082,-88.6416225
Ecru,Mississippi,1566,332,Tupelo,163409,$68500,23.6%,30,N/A,N/A,N/A,25,72.22%,$808,53.76%,N/A,N/A,8.34%,12.21%,64.3%,Pontotoc County,18.40%,79.60%,0.0%,30.33%,52.87%,13.47%,8.05%,N/A,90,52,38,70,31,57%,56%,50,68,98,63%,74%,52%,57.73,12.37,16.47,23.07%,22.75%,27.33%,1.7,0,6.4,53.4,62,441,5,4.72,MS-21340,34.3550305,-89.0221762
Fulton,Mississippi,4511,531,Tupelo,163409,$56620,20.93%,33,N/A,N/A,N/A,42,77.22%,$738,68.4%,N/A,3461,9.62%,6.59%,47.31%,Itawamba County,11.50%,87.00%,0.0%,17.78%,79.38%,0.44%,0.38%,N/A,92,53,39,71,31,57%,56%,49,67,103,58%,63%,49%,57.75,12.87,16.44,33.37%,33.3%,39.11%,1.0,0,6.4,56.3,57,237,5,8.49,MS-26300,34.2615572,-88.4021282
Guntown,Mississippi,2174,467,Tupelo,163409,$72292,26.11%,34,N/A,N/A,N/A,18,78.06%,$1103,42.53%,N/A,N/A,6.82%,3.73%,71.8%,Lee County,30.50%,67.50%,0.55%,22.36%,67.89%,7.13%,1.24%,N/A,90,52,38,71,31,57%,56%,50,68,98,63%,74%,52%,57.48,12.46,16.57,28.99%,27.8%,33.11%,1.0,0,6.4,53.4,60,330,5.1,4.66,MS-29940,34.4446437,-88.6640764
Mantachie,Mississippi,1745,443,Tupelo,163409,$81818,15.62%,38,N/A,N/A,N/A,39,71.86%,$953,44.53%,N/A,N/A,12.04%,2.79%,69.07%,Itawamba County,11.50%,87.00%,0.0%,6.13%,82.23%,8.02%,0.34%,N/A,90,52,38,71,31,57%,56%,49,67,98,63%,74%,52%,57.75,12.87,16.44,28.77%,27.25%,34.67%,1.0,0,6.4,56.3,61,237,5,3.94,MS-44920,34.325116,-88.496084
Mooreville,Mississippi,2052,735,Tupelo,163409,$143681,59.14%,20,N/A,N/A,N/A,28,87.51%,$1102,37.67%,N/A,N/A,10.86%,23.18%,74.61%,Lee County,30.50%,67.50%,0.63%,8.14%,91.23%,0.0%,0.34%,N/A,90,52,38,71,31,57%,56%,50,68,98,63%,74%,52%,57.75,12.87,16.44,28.77%,27.25%,34.67%,1.0,0,6.4,53.4,58,237,5.1,2.79,MS-48720,34.2648968,-88.5768692
Nettleton,Mississippi,2023,502,Tupelo,163409,$44178,7.35%,39,N/A,N/A,N/A,37,84.35%,$809,55.63%,N/A,N/A,13.79%,8.03%,52.34%,Monroe County,34.80%,64.00%,0.0%,35.1%,64.76%,0.0%,0.0%,N/A,92,53,39,71,31,57%,56%,50,68,103,63%,74%,52%,58.01,13.38,16.54,26.77%,26.04%,31.22%,1.0,0,6.4,53.4,59,297,5.2,4.03,MS-50880,34.0852933,-88.6247855
Plantersville,Mississippi,953,456,Tupelo,163409,$34034,16.4%,31,N/A,N/A,N/A,29,53.92%,$846,65.36%,N/A,N/A,33.05%,6.97%,60.88%,Lee County,30.50%,67.50%,0.0%,74.92%,20.36%,0.0%,0.0%,N/A,92,53,39,71,31,57%,56%,50,68,103,63%,74%,52%,57.75,12.87,16.44,26.77%,26.04%,31.22%,1.0,0,6.4,53.4,59,237,5.1,2.09,MS-58440,34.2102758,-88.665449
Pontotoc,Mississippi,5717,511,Tupelo,163409,$50230,19.78%,34,N/A,N/A,N/A,52,49.08%,$830,56.31%,N/A,N/A,18.41%,4.67%,65.18%,Pontotoc County,18.40%,79.60%,0.0%,26.62%,46.79%,16.83%,7.77%,N/A,90,52,38,70,31,57%,56%,50,68,98,63%,74%,52%,55.9,12.39,16.21,23.07%,22.75%,27.33%,1.7,0,6.4,53.4,58,429,5,11.18,MS-59160,34.2531355,-89.0090581
Saltillo,Mississippi,4962,606,Tupelo,163409,$84063,33.52%,35,N/A,N/A,N/A,20,81.0%,$1195,43.33%,N/A,N/A,8.29%,2.19%,69.03%,Lee County,30.50%,67.50%,0.0%,12.86%,82.16%,2.06%,1.35%,N/A,90,52,38,71,31,57%,56%,50,68,98,63%,74%,52%,56.53,12.48,15.77,28.99%,27.8%,33.11%,1.0,0,6.4,53.4,59,393,5.1,8.19,MS-64840,34.3789209,-88.6938543
Shannon,Mississippi,1719,424,Tupelo,163409,$42208,13.44%,37,N/A,N/A,N/A,30,65.83%,$723,67.75%,N/A,N/A,19.88%,7.21%,55.85%,Lee County,30.50%,67.50%,0.0%,59.39%,29.84%,7.5%,4.36%,N/A,92,53,39,71,31,57%,56%,50,68,103,63%,74%,52%,58.01,13.38,16.54,26.77%,26.04%,31.22%,1.7,0,6.4,53.4,59,297,5.1,4.05,MS-66720,34.1144153,-88.693133
Sherman,Mississippi,515,296,Tupelo,163409,$57969,15.8%,50,N/A,N/A,N/A,40,56.17%,$679,57.21%,N/A,N/A,13.98%,5.95%,65.13%,Pontotoc County,18.40%,79.60%,0.0%,8.74%,87.38%,0.97%,0.58%,N/A,90,52,38,71,31,57%,56%,50,68,98,63%,74%,52%,56.05,12.67,15.89,28.77%,27.25%,34.67%,1.0,0,6.4,53.4,63,321,5,1.74,MS-67200,34.36117,-88.8387446
Thaxton,Mississippi,650,63,Tupelo,163409,$81250,26.72%,41,N/A,N/A,N/A,28,73.55%,$788,36.31%,N/A,N/A,12.46%,0.0%,62.39%,Pontotoc County,18.40%,79.60%,0.0%,0.0%,93.54%,2.0%,0.31%,N/A,90,52,38,70,31,57%,56%,50,68,98,63%,74%,52%,55.9,12.39,16.21,23.07%,22.75%,27.33%,1.7,0,6.4,53.4,63,429,5,10.38,MS-72760,34.3071104,-89.1745127
Toccopola,Mississippi,286,34,Tupelo,163409,N/A,22.92%,42,N/A,N/A,N/A,42,83.22%,$850,47.24%,N/A,N/A,30.77%,4.08%,58.33%,Pontotoc County,18.40%,79.60%,0.0%,25.17%,68.88%,0.0%,0.0%,N/A,90,52,38,70,31,57%,56%,50,68,98,63%,74%,52%,55.9,12.39,16.21,23.07%,22.75%,27.33%,1.7,0,6.4,53.4,63,429,5,8.45,MS-73760,34.2561461,-89.2210883
