City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Amsterdam,Ohio,508,1588,Weirton-Steubenville,115184,$42386,6.96%,35,$92000,1314,$70,78,58.27%,$596,55.74%,N/A,N/A,23.62%,5.65%,69.53%,Jefferson County,29.90%,65.20%,0.0%,0.0%,97.44%,2.56%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,145,N/A,8.5,79,1223,3.5,0.32,OH-01938,40.4717335,-80.9216882,42%,52%,29%,61%,56%,33.0,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11
Bergholz,Ohio,636,1136,Weirton-Steubenville,115184,$43438,12.71%,34,N/A,N/A,N/A,78,64.62%,$618,40.3%,N/A,N/A,27.2%,3.07%,58.0%,Jefferson County,29.90%,65.20%,0.0%,0.0%,96.38%,1.89%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,143,N/A,8.5,79,1223,3.5,0.56,OH-05718,40.520796,-80.8850569,42%,52%,29%,61%,56%,33.0,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11
Bloomingdale,Ohio,146,1622,Weirton-Steubenville,115184,$65625,6.48%,33,N/A,N/A,N/A,61,78.08%,N/A,30.56%,N/A,N/A,21.92%,8.86%,73.15%,Jefferson County,29.90%,65.20%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,145,N/A,7.8,78,1223,3.5,0.09,OH-07202,40.3422279,-80.8178503,42%,52%,29%,57%,54%,34.4,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11
Brilliant,Ohio,1302,744,Weirton-Steubenville,115184,$40406,6.52%,41,N/A,N/A,N/A,70,70.43%,$535,60.59%,N/A,N/A,14.98%,0.0%,60.22%,Jefferson County,29.90%,65.20%,0.0%,0.0%,95.39%,0.0%,0.77%,Eastern Standard Time,N/A,N/A,N/A,N/A,148,N/A,7.8,72,1223,3.5,1.75,OH-08812,40.2701617,-80.6319313,42%,52%,29%,57%,54%,34.4,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11
Brush Creek township (Jefferson Cnty),Ohio,480,20,Weirton-Steubenville,115184,$68750,N/A,N/A,N/A,N/A,N/A,43,80.00%,N/A,35.60%,N/A,N/A,N/A,6.20%,N/A,Jefferson County,29.90%,65.20%,0.0%,0.0%,100.0%,0.0%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,137,N/A,8.5,78,1223,3.5,24.0,OH-09750,40.5698088,-80.8052378,42%,52%,29%,61%,56%,33.0,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11
Cross Creek,Ohio,8064,258,Weirton-Steubenville,115184,$46903,19.00%,N/A,N/A,N/A,N/A,52,61.20%,N/A,46.90%,N/A,N/A,N/A,6.20%,N/A,Jefferson County,29.90%,65.20%,0.5%,4.5%,92.2%,1.6%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,145,N/A,7.8,68,1223,3.5,31.26,OH-19484,40.3300951,-80.7049603,42%,52%,29%,57%,54%,34.4,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11
Dillonvale,Ohio,759,1946,Weirton-Steubenville,115184,$32386,7.95%,49,$144000,1398,$103,73,76.15%,$676,69.97%,N/A,N/A,16.07%,7.86%,55.82%,Jefferson County,29.90%,65.20%,0.0%,0.92%,97.5%,0.26%,0.26%,Eastern Standard Time,N/A,N/A,N/A,N/A,144,N/A,7.8,78,1223,3.5,0.39,OH-22022,40.198532,-80.7756594,42%,52%,29%,57%,54%,34.4,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11
Empire,Ohio,203,677,Weirton-Steubenville,115184,$47750,0.0%,50,N/A,N/A,N/A,46,71.92%,$539,50.0%,N/A,N/A,25.12%,6.86%,56.67%,Jefferson County,29.90%,65.20%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,144,N/A,7.8,72,1223,3.5,0.3,OH-25368,40.5116853,-80.6261177,42%,52%,29%,57%,54%,34.4,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37
Irondale,Ohio,389,268,Weirton-Steubenville,115184,$39583,8.23%,35,N/A,N/A,N/A,78,78.15%,$625,43.23%,N/A,N/A,29.18%,19.64%,58.13%,Jefferson County,29.90%,65.20%,0.0%,0.0%,96.4%,0.0%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,142,N/A,8.5,78,1223,3.5,1.45,OH-37422,40.5728008,-80.7259521,42%,52%,29%,61%,56%,33.0,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37
Island Creek,Ohio,10167,243,Weirton-Steubenville,115184,$42686,12.36%,N/A,N/A,N/A,N/A,53,67.10%,N/A,48.60%,N/A,N/A,N/A,6.20%,N/A,Jefferson County,29.90%,65.20%,0.1%,2.9%,93.2%,1.6%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,145,N/A,7.8,64,1223,3.5,41.84,OH-37534,40.4252816,-80.6826772,42%,52%,29%,57%,54%,34.4,39,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11
