City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Ahtanum,Washington,3076,443,Yakima,251879,88,36,52,9,74,201,18,46.5,36.4,5,13,44,37,18.28%,$49087,16.3%,N/A,N/A,$305000,1399,$218,36,74.60%,9%,43%,35%,69,18 mins,6.10%,3.40%,-20.40%,Yakima County,39.20%,52.30%,0.3%,2.2%,70.5%,25.4%,13.5%,Pacific Standard Time,1066,2.6,37.00%,16,N/A,33,19.4%,0.00,0,0,187
Buena,Washington,1345,1978,Yakima,251879,89,37,52,8,66,201,16,47.1,37,6,13,41,21,N/A,$23207,39.8%,N/A,N/A,$137200,N/A,N/A,45,56.40%,9%,45%,37%,88,18 mins,6.10%,3.40%,142.30%,Yakima County,39.20%,52.30%,0.0%,0.0%,10.8%,89.2%,33.1%,Pacific Standard Time,1066,2.6,40.40%,7,N/A,21,17.9%,0.00,0,0,330
Cliffdell,Washington,80,46,Yakima,251879,89,37,52,9,82,201,22,46.5,36.4,N/A,13,41,46,10.08%,$0,0%,N/A,N/A,$215200,N/A,N/A,49,17.70%,10%,42%,36%,91,1 mins,6.10%,3.40%,196.30%,Yakima County,39.20%,52.30%,0.0%,0.0%,97.5%,0.0%,0%,Pacific Standard Time,1066,2.6,62.00%,0,N/A,2,N/A,0.00,N/A,0,182
Cowiche,Washington,960,1836,Yakima,251879,87,36,51,9,80,201,20,45.9,35.7,5,14,45,21,N/A,$29583,0%,$908,842,$210500,N/A,N/A,24,0.00%,9%,43%,37%,90,18 mins,6.10%,3.40%,392.30%,Yakima County,39.20%,52.30%,0.0%,0.0%,3.3%,69.1%,28.6%,Pacific Standard Time,1066,2.6,30.20%,26,N/A,33,N/A,0.00,N/A,0,164
Eschbach,Washington,377,321,Yakima,251879,88,36,52,9,72,201,18,46.5,36.4,N/A,8,25,44,N/A,$24318,0%,$908,842,$177700,N/A,N/A,61,79.90%,10%,44%,35%,82,18 mins,6.10%,3.40%,-11.30%,Yakima County,39.20%,52.30%,0.0%,0.0%,85.1%,5.8%,3.4%,Pacific Standard Time,1066,2.6,28.80%,5,N/A,44,14.2%,0.00,0,0,168
Gleed,Washington,2474,458,Yakima,251879,88,36,52,9,74,201,19,46.5,36.4,5,8,26,48,20.12%,$53000,3.1%,$908,842,$299500,1380,$217,44,84.70%,9%,43%,37%,76,16 mins,6.10%,3.40%,-2.90%,Yakima County,39.20%,52.30%,0.0%,1.3%,84.7%,10.0%,4%,Pacific Standard Time,1066,2.6,41.40%,7,N/A,45,17.2%,0.00,0,0,170
Grandview,Washington,11112,1734,Yakima,251879,90,38,52,8,63,197,9,46.8,37.4,8,10,30,28,6.43%,$37012,11.3%,N/A,N/A,$292800,1608,$182,43,53.30%,10%,48%,47%,67,20 mins,6.10%,3.40%,6.90%,Yakima County,39.20%,52.30%,0.2%,0.1%,16.8%,82.5%,30.1%,Pacific Standard Time,1066,2.6,49.00%,60,N/A,N/A,19.8%,8.36,0,0,327
Granger,Washington,3594,2076,Yakima,251879,90,38,52,8,63,198,10,47.2,37.4,6,9,32,21,3.58%,$39850,19.1%,N/A,N/A,$265000,1596,$166,35,55.80%,12%,51%,43%,86,18 mins,6.10%,3.40%,16.20%,Yakima County,39.20%,52.30%,0.0%,1.3%,10.9%,86.3%,31.1%,Pacific Standard Time,1066,2.6,55.30%,37,N/A,N/A,16.9%,9.30,0,0,331
Harrah,Washington,659,3037,Yakima,251879,89,37,52,8,72,201,17,47.7,37.2,6,13,41,27,11.35%,$48000,9.6%,N/A,N/A,$151300,N/A,N/A,41,64.10%,9%,44%,37%,85,18 mins,6.10%,3.40%,21.60%,Yakima County,39.20%,52.30%,0.0%,0.6%,15.0%,64.6%,23.6%,Pacific Standard Time,1066,2.6,52.60%,25,N/A,N/A,14.9%,0.00,0,0,152
Mabton,Washington,2103,2537,Yakima,251879,90,38,52,8,63,202,9,47.3,37.7,7,12,27,25,2.24%,$35129,24.3%,N/A,N/A,$194500,1360,$143,46,71.00%,10%,42%,36%,91,27 mins,6.10%,3.40%,24.60%,Yakima County,39.20%,52.30%,0.7%,0.0%,5.7%,93.5%,40%,Pacific Standard Time,1066,2.6,51.30%,33,N/A,43,17.4%,0.00,0,0,322
Moxee,Washington,3877,1670,Yakima,251879,88,36,52,9,74,199,17,46,35.9,6,9,14,25,19.49%,$56354,15.9%,N/A,N/A,$299000,1451,$206,14,76.30%,10%,34%,31%,86,19 mins,6.10%,3.40%,36.20%,Yakima County,39.20%,52.30%,0.9%,0.4%,42.2%,50.9%,13.4%,Pacific Standard Time,1066,2.6,43.10%,56,N/A,39,24.5%,3.06,0,0,360
Naches,Washington,710,1050,Yakima,251879,89,37,52,9,82,203,22,45.5,35.4,5,11,36,43,19.20%,$49231,6.7%,N/A,N/A,$349000,1982,$176,61,66.20%,7%,44%,33%,82,18 mins,6.10%,3.40%,9.20%,Yakima County,39.20%,52.30%,0.0%,3.0%,88.3%,7.5%,1.4%,Pacific Standard Time,1066,2.6,48.40%,44,N/A,50,16.5%,58.75,0,0,170
Nile,Washington,98,128,Yakima,251879,89,37,52,9,82,201,22,46.5,36.4,5,6,19,78,N/A,$75609,0%,N/A,N/A,$322800,N/A,N/A,43,100.00%,9%,42%,37%,91,18 mins,6.10%,3.40%,-33.30%,Yakima County,39.20%,52.30%,0.0%,0.0%,100.0%,0.0%,6.9%,Pacific Standard Time,1066,2.6,8.20%,0,0,25,9.0%,0.00,0,0,200
Parker,Washington,60,504,Yakima,251879,88,36,52,8,72,201,17,46.7,36.4,6,16,50,62,N/A,$26250,30.8%,N/A,N/A,$215200,N/A,N/A,69,100.00%,9%,44%,35%,85,18 mins,6.10%,3.40%,-88.20%,Yakima County,39.20%,52.30%,0.0%,0.0%,60.0%,25.0%,51.1%,Pacific Standard Time,1066,2.6,75.00%,6,N/A,26,14.4%,0.00,0,0,227
Summitview,Washington,1182,467,Yakima,251879,88,36,52,9,72,201,18,46.5,36.4,N/A,9,30,45,N/A,$93514,0%,$908,842,$519000,3145,$165,51,93.60%,9%,42%,36%,77,18 mins,6.10%,3.40%,11.60%,Yakima County,39.20%,52.30%,0.0%,0.0%,81.9%,18.1%,3.1%,Pacific Standard Time,1066,2.6,41.50%,9,N/A,20,18.6%,0.00,0,0,169
Sunnyside,Washington,16248,2163,Yakima,251879,90,38,52,8,63,203,10,46.8,37.2,6,13,40,25,6.51%,$32641,22.4%,N/A,N/A,$254500,1353,$188,44,53.80%,10%,53%,39%,71,18 mins,6.10%,3.40%,5.90%,Yakima County,39.20%,52.30%,0.2%,0.1%,11.3%,87.6%,30%,Pacific Standard Time,1066,2.6,50.30%,73,N/A,50,20.1%,4.44,N/A,0,332
Tampico,Washington,465,120,Yakima,251879,88,36,52,9,74,201,18,46.5,36.4,5,15,47,41,N/A,$34167,0%,N/A,N/A,$168700,N/A,N/A,37,83.60%,9%,44%,37%,91,18 mins,6.10%,3.40%,322.70%,Yakima County,39.20%,52.30%,0.0%,0.0%,95.3%,0.0%,0%,Pacific Standard Time,1066,2.6,65.00%,15,0,N/A,22.7%,0.00,0,0,180
Terrace Heights,Washington,7849,979,Yakima,251879,88,37,51,9,74,199,18,46.5,36.4,N/A,13,44,39,29.60%,$57865,6.7%,$804,746,$356700,1877,$190,32,68.00%,9%,35%,27%,73,18 mins,6.10%,3.40%,17.50%,Yakima County,39.20%,52.30%,1.0%,2.0%,75.8%,16.5%,7.8%,Pacific Standard Time,1066,2.6,45.10%,30,0,18,16.9%,0.00,0,0,330
Tieton,Washington,1471,1679,Yakima,251879,84,34,50,13,108,203,50,45.7,35.5,5,6,22,28,3.98%,$39063,13.5%,N/A,N/A,$259000,1569,$165,37,49.70%,10%,35%,40%,90,18 mins,6.10%,3.40%,30.80%,Yakima County,39.20%,52.30%,0.6%,0.0%,25.2%,72.1%,38%,Pacific Standard Time,1066,2.6,45.70%,21,N/A,30,23.4%,26.41,0,0,170
Toppenish,Washington,8923,4223,Yakima,251879,89,37,52,8,65,201,16,47.4,37.4,6,18,64,26,7.28%,$29135,20.3%,N/A,N/A,$299000,2034,$147,59,61.40%,9%,41%,33%,67,19 mins,6.10%,3.40%,1.20%,Yakima County,39.20%,52.30%,1.0%,0.6%,9.2%,84.6%,32.8%,Pacific Standard Time,1066,2.6,49.10%,74,N/A,50,19.6%,5.60,0,0,321
Union Gap,Washington,6152,1102,Yakima,251879,88,36,52,9,74,202,18,46.4,36,6,16,95,35,7.17%,$34624,21%,N/A,N/A,$205000,1025,$200,50,64.20%,9%,52%,39%,61,17 mins,6.10%,3.40%,4.40%,Yakima County,39.20%,52.30%,0.9%,0.0%,40.6%,55.2%,20.7%,Pacific Standard Time,1066,2.6,55.30%,47,N/A,48,19.8%,0.00,0,0,221
Wapato,Washington,5049,4264,Yakima,251879,88,36,52,8,72,205,17,47,36.8,6,20,46,25,3.95%,$32803,30.3%,N/A,N/A,$227500,1292,$176,44,47.10%,10%,47%,41%,68,18 mins,6.10%,3.40%,3.70%,Yakima County,39.20%,52.30%,0.2%,0.4%,6.7%,79.0%,28.6%,Pacific Standard Time,1066,2.6,52.60%,62,N/A,48,19.9%,10.03,0,0,293
White Swan,Washington,973,365,Yakima,251879,89,37,52,8,73,205,18,46.8,36.7,6,16,49,21,4.76%,$35893,34.9%,N/A,N/A,$89800,N/A,N/A,42,37.80%,9%,43%,37%,89,18 mins,6.10%,3.40%,-14.60%,Yakima County,39.20%,52.30%,0.0%,0.0%,2.8%,15.3%,7.4%,Pacific Standard Time,1066,2.6,70.80%,12,N/A,33,9.0%,39.58,0,0,152
Yakima,Washington,93182,3357,Yakima,251879,88,36,52,9,73,199,18,46.3,35.9,5,28,69,33,18.98%,$40189,15.8%,$828,804,$305000,1685,$181,48,51.20%,8%,44%,36%,40,17 mins,6.00%,3.40%,5.10%,Yakima County,39.20%,52.30%,1.1%,0.9%,48.5%,46.2%,17%,Pacific Standard Time,1066,2.6,54.20%,50,27,50,18.5%,14.07,0,0,187
