"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US10cher024","01"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","01","99","99","    0.44"," ","E","10"
"US10cher024","02"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","02","99","99","    0.68"," ","E","10"
"US10cher024","03"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","03","99","99","    1.21"," ","E"," 9"
"US10cher024","04"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","04","99","99","    2.54"," ","E","11"
"US10cher024","05"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","05","99","99","    4.02"," ","E","11"
"US10cher024","06"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","06","99","99","    3.87"," ","E","12"
"US10cher024","07"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","07","99","99","    2.60"," ","E","11"
"US10cher024","08"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","08","99","99","    2.84"," ","E","11"
"US10cher024","09"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","09","99","99","    1.84"," ","E","11"
"US10cher024","10"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","10","99","99","    1.38"," ","E","11"
"US10cher024","11"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","11","99","99","    0.52"," ","E","12"
"US10cher024","12"," 42.8200","-101.2825"," 862.9","CODY 8.2 SSW, NE US","12","99","99","    0.84"," ","E"," 9"
