"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US10chey028","01"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","01","99","99","    0.28"," ","R","10","     2.5"," ","P","11","     0.9"," ","P","11","     0.4"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.11"," ","R","10","    0.27"," ","R","10","    0.43"," ","R","10","    0.10"," ","R","10","    0.15"," ","R","10","    0.33"," ","R","10","    0.43"," ","R","10","    0.14"," ","R","10","    0.39"," ","R","10"
"US10chey028","02"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","02","99","99","    0.37"," ","S","13","     5.2"," ","S","13","     1.6"," ","S","13","     0.3"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.24"," ","S","13","    0.38"," ","S","13","    0.48"," ","S","13","    0.23"," ","S","13","    0.29"," ","S","13","    0.43"," ","S","13","    0.51"," ","S","13","    0.25"," ","S","13","    0.45"," ","S","13"
"US10chey028","03"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","03","99","99","    0.91"," ","S","13","     6.4"," ","S","13","     2.5"," ","S","13","     1.0"," ","S","13","     0.5"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.39"," ","S","13","    0.71"," ","S","13","    1.20"," ","S","13","    0.37"," ","S","13","    0.60"," ","S","13","    0.92"," ","S","13","    1.24"," ","S","13","    0.44"," ","S","13","    1.15"," ","S","13"
"US10chey028","04"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","04","99","99","    2.29"," ","S","13","     9.0"," ","S","13","     4.5"," ","S","13","     2.3"," ","S","13","     1.4"," ","S","13","     0.6"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.12"," ","S","13","    1.97"," ","S","13","    3.41"," ","S","13","    0.98"," ","S","13","    1.67"," ","S","13","    2.47"," ","S","13","    3.63"," ","S","13","    1.25"," ","S","13","    2.93"," ","S","13"
"US10chey028","05"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","05","99","99","    3.63"," ","S","12","    13.8"," ","S","14","     7.6"," ","S","14","     4.7"," ","S","14","     2.7"," ","S","14","     0.7"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.61"," ","S","12","    3.23"," ","S","12","    4.51"," ","S","12","    2.49"," ","S","12","    3.04"," ","S","12","    3.50"," ","S","12","    5.30"," ","S","12","    2.84"," ","S","12","    3.66"," ","S","12"
"US10chey028","06"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","06","99","99","    2.96"," ","S","14","    10.0"," ","S","14","     5.9"," ","S","14","     3.8"," ","S","14","     1.6"," ","S","14","     0.8"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.74"," ","S","14","    2.69"," ","S","14","    3.22"," ","S","14","    1.31"," ","S","14","    2.19"," ","S","14","    2.93"," ","S","14","    3.53"," ","S","14","    2.15"," ","S","14","    3.07"," ","S","14"
"US10chey028","07"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","07","99","99","    2.44"," ","R","11","     9.4"," ","S","14","     4.8"," ","S","14","     2.6"," ","S","14","     1.4"," ","S","14","     0.5"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.70"," ","R","11","    2.35"," ","R","11","    2.81"," ","R","11","    1.59"," ","R","11","    2.20"," ","R","11","    2.57"," ","R","11","    2.96"," ","R","11","    2.02"," ","R","11","    2.73"," ","R","11"
"US10chey028","08"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","08","99","99","    2.17"," ","S","14","     8.2"," ","S","14","     4.5"," ","S","14","     2.3"," ","S","14","     1.1"," ","S","14","     0.5"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.06"," ","S","14","    2.20"," ","S","14","    3.12"," ","S","14","    0.84"," ","S","14","    1.82"," ","S","14","    2.87"," ","S","14","    3.26"," ","S","14","    1.56"," ","S","14","    2.97"," ","S","14"
"US10chey028","09"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","09","99","99","    1.37"," ","S","13","     6.8"," ","S","14","     3.8"," ","S","14","     1.9"," ","S","14","     0.5"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.70"," ","S","13","    1.02"," ","S","13","    1.51"," ","S","13","    0.67"," ","S","13","    0.94"," ","S","13","    1.10"," ","S","13","    1.83"," ","S","13","    0.80"," ","S","13","    1.18"," ","S","13"
"US10chey028","10"," 41.0317","-102.9277","1296.9","SIDNEY 8.1 SSE, NE US","10","99","99","    0.90"," ","R","11","     7.2"," ","S","12","     3.0"," ","S","12","     1.4"," ","S","12","     0.6"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.65"," ","R","11","    0.90"," ","R","11","    1.09"," ","R","11","    0.61"," ","R","11","    0.68"," ","R","11","    1.05"," ","R","11","    1.14"," ","R","11","    0.66"," ","R","11","    1.08"," ","R","11"
