"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US10gree011","01"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","01","99","99","    0.29"," ","E"," 6"
"US10gree011","02"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","02","99","99","    0.50"," ","E"," 5"
"US10gree011","03"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","03","99","99","    1.48"," ","E"," 6"
"US10gree011","04"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","04","99","99","    2.97"," ","E"," 7"
"US10gree011","05"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","05","99","99","    4.77"," ","E"," 9"
"US10gree011","06"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","06","99","99","    4.17"," ","E","11"
"US10gree011","07"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","07","99","99","    3.09"," ","E","10"
"US10gree011","08"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","08","99","99","    3.98"," ","E","10"
"US10gree011","09"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","09","99","99","    2.04"," ","E","11"
"US10gree011","10"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","10","99","99","    2.41"," ","E","10"
"US10gree011","11"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","11","99","99","    0.64"," ","E"," 8"
"US10gree011","12"," 41.5810"," -98.3857"," 616.9","SPALDING 7.5 SSW, NE US","12","99","99","    0.92"," ","E"," 6"
