"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US10jeff012","01"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","01","99","99","    0.18"," ","E"," 9"
"US10jeff012","02"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","02","99","99","    0.00"," ","E","10"
"US10jeff012","03"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","03","99","99","    1.27"," ","E","11"
"US10jeff012","04"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","04","99","99","    3.18"," ","E","11"
"US10jeff012","05"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","05","99","99","    5.01"," ","E","11"
"US10jeff012","06"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","06","99","99","    5.44"," ","E","14"
"US10jeff012","07"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","07","99","99","    3.25"," ","E","13"
"US10jeff012","08"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","08","99","99","    3.92"," ","E","11"
"US10jeff012","09"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","09","99","99","    3.43"," ","E","13"
"US10jeff012","10"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","10","99","99","    2.61"," ","E"," 8"
"US10jeff012","11"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","11","99","99","    0.96"," ","E"," 2"
"US10jeff012","12"," 40.3318"," -96.9568"," 415.1","DEWITT 4.6 SSW, NE US","12","99","99","    0.09"," ","E"," 5"
