"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US10kear005","01"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","01","99","99","    0.51"," ","S","12","     4.2"," ","S","13","     1.8"," ","S","13","     0.4"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.28"," ","S","12","    0.44"," ","S","12","    0.72"," ","S","12","    0.26"," ","S","12","    0.39"," ","S","12","    0.49"," ","S","12","    0.78"," ","S","12","    0.35"," ","S","12","    0.59"," ","S","12"
"US10kear005","02"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","02","99","99","    0.62"," ","R","11","     4.3"," ","S","13","     2.1"," ","S","13","     0.8"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.29"," ","R","11","    0.52"," ","R","11","    0.90"," ","R","11","    0.25"," ","R","11","    0.43"," ","R","11","    0.77"," ","R","11","    0.96"," ","R","11","    0.36"," ","R","11","    0.80"," ","R","11"
"US10kear005","03"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","03","99","99","    1.90"," ","R","11","     5.5"," ","S","13","     2.8"," ","S","13","     1.9"," ","S","13","     1.0"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.80"," ","R","11","    1.18"," ","R","11","    2.54"," ","R","11","    0.72"," ","R","11","    1.01"," ","R","11","    2.00"," ","R","11","    3.01"," ","R","11","    0.88"," ","R","11","    2.21"," ","R","11"
"US10kear005","04"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","04","99","99","    3.23"," ","R","11","     9.4"," ","S","13","     6.3"," ","S","13","     3.5"," ","S","13","     2.3"," ","S","13","     0.9"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.82"," ","R","11","    3.34"," ","R","11","    4.30"," ","R","11","    1.64"," ","R","11","    2.42"," ","R","11","    3.75"," ","R","11","    4.44"," ","R","11","    2.24"," ","R","11","    4.06"," ","R","11"
"US10kear005","05"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","05","99","99","    4.35"," ","S","12","    11.9"," ","S","13","     7.6"," ","S","13","     4.7"," ","S","13","     2.7"," ","S","13","     1.0"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    3.03"," ","S","12","    4.63"," ","S","12","    5.82"," ","S","12","    2.68"," ","S","12","    3.77"," ","S","12","    5.31"," ","S","12","    5.89"," ","S","12","    3.54"," ","S","12","    5.48"," ","S","12"
"US10kear005","06"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","06","99","99","    4.44"," ","S","12","    10.0"," ","S","13","     6.9"," ","S","13","     4.6"," ","S","13","     2.7"," ","S","13","     1.2"," ","S","13","     0.4"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.72"," ","S","12","    3.95"," ","S","12","    4.82"," ","S","12","    2.55"," ","S","12","    2.90"," ","S","12","    4.37"," ","S","12","    5.29"," ","S","12","    2.87"," ","S","12","    4.65"," ","S","12"
"US10kear005","07"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","07","99","99","    3.19"," ","S","12","     8.3"," ","S","12","     4.7"," ","S","12","     3.2"," ","S","12","     2.1"," ","S","12","     0.5"," ","S","12","     0.2"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","    2.00"," ","S","12","    2.82"," ","S","12","    3.94"," ","S","12","    1.80"," ","S","12","    2.55"," ","S","12","    3.69"," ","S","12","    4.07"," ","S","12","    2.20"," ","S","12","    3.81"," ","S","12"
"US10kear005","08"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","08","99","99","    3.87"," ","S","12","     8.9"," ","S","13","     5.8"," ","S","13","     4.3"," ","S","13","     2.7"," ","S","13","     1.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.90"," ","S","12","    3.60"," ","S","12","    4.95"," ","S","12","    2.77"," ","S","12","    3.29"," ","S","12","    3.79"," ","S","12","    5.17"," ","S","12","    2.99"," ","S","12","    4.12"," ","S","12"
"US10kear005","09"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","09","99","99","    2.25"," ","S","12","     7.3"," ","S","13","     4.2"," ","S","13","     2.6"," ","S","13","     1.2"," ","S","13","     0.4"," ","S","13","     0.1"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","    1.09"," ","S","12","    2.03"," ","S","12","    2.80"," ","S","12","    1.05"," ","S","12","    1.92"," ","S","12","    2.12"," ","S","12","    3.04"," ","S","12","    1.64"," ","S","12","    2.29"," ","S","12"
"US10kear005","10"," 40.3622"," -99.1735"," 686.1","WILCOX 0.3 SW, NE US","10","99","99","    2.34"," ","S","12","     7.7"," ","S","13","     4.2"," ","S","13","     2.8"," ","S","13","     1.6"," ","S","13","     0.8"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.78"," ","S","12","    1.37"," ","S","12","    3.11"," ","S","12","    0.57"," ","S","12","    1.18"," ","S","12","    2.26"," ","S","12","    3.57"," ","S","12","    0.94"," ","S","12","    2.63"," ","S","12"
