"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ALWS0001","01"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","01","99","99","    4.79"," ","E","10"
"US1ALWS0001","02"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","02","99","99","    5.30"," ","E","12"
"US1ALWS0001","03"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","03","99","99","    4.51"," ","E","10"
"US1ALWS0001","04"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","04","99","99","    5.10"," ","E","10"
"US1ALWS0001","05"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","05","99","99","    5.14"," ","E"," 9"
"US1ALWS0001","06"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","06","99","99","    5.16"," ","E","10"
"US1ALWS0001","07"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","07","99","99","    5.84"," ","E","11"
"US1ALWS0001","08"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","08","99","99","    7.09"," ","E"," 8"
"US1ALWS0001","09"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","09","99","99","    4.12"," ","E"," 9"
"US1ALWS0001","10"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","10","99","99","    4.28"," ","E","10"
"US1ALWS0001","11"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","11","99","99","    3.49"," ","E","13"
"US1ALWS0001","12"," 31.5095"," -87.9600","  39.0","JACKSON 4.3 WSW, AL US","12","99","99","    6.82"," ","E","10"
