"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1AZMR0075","01"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","01","99","99","    1.04"," ","R","11","     3.0"," ","P","11","     2.0"," ","P","11","     1.5"," ","P","11","     0.9"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.08"," ","R","11","    0.74"," ","R","11","    1.62"," ","R","11","    0.03"," ","R","11","    0.37"," ","R","11","    1.06"," ","R","11","    1.94"," ","R","11","    0.21"," ","R","11","    1.20"," ","R","11"
"US1AZMR0075","02"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","02","99","99","    0.71"," ","R","11","     3.0"," ","P","11","     1.9"," ","P","11","     1.2"," ","P","11","     0.3"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.08"," ","R","11","    0.49"," ","R","11","    1.14"," ","R","11","    0.07"," ","R","11","    0.37"," ","R","11","    0.78"," ","R","11","    1.20"," ","R","11","    0.27"," ","R","11","    0.99"," ","R","11"
"US1AZMR0075","03"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","03","99","99","    0.58"," ","R","11","     1.8"," ","P","11","     1.6"," ","P","11","     0.6"," ","P","11","     0.5"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.09"," ","R","11","    0.34"," ","R","11","    0.90"," ","R","11","    0.03"," ","R","11","    0.20"," ","R","11","    0.50"," ","R","11","    1.13"," ","R","11","    0.15"," ","R","11","    0.67"," ","R","11"
"US1AZMR0075","04"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","04","99","99","    0.12"," ","R","11","     0.7"," ","P","11","     0.5"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.03"," ","R","11","    0.20"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.07"," ","R","11","    0.29"," ","R","11","    0.00"," ","R","11","    0.10"," ","R","11"
"US1AZMR0075","05"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","05","99","99","    0.14"," ","R","11","     0.6"," ","P","11","     0.4"," ","P","11","     0.2"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.01"," ","R","11","    0.09"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.04"," ","R","11","    0.13"," ","R","11","    0.00"," ","R","11","    0.06"," ","R","11"
"US1AZMR0075","06"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","06","99","99","    0.04"," ","R","11","     0.4"," ","P","11","     0.2"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.03"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.05"," ","R","11","    0.00"," ","R","11","    0.01"," ","R","11"
"US1AZMR0075","07"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","07","99","99","    1.02"," ","R","11","     3.6"," ","P","11","     2.0"," ","P","11","     1.5"," ","P","11","     0.7"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.81"," ","R","11","    0.90"," ","R","11","    1.19"," ","R","11","    0.79"," ","R","11","    0.84"," ","R","11","    0.93"," ","R","11","    1.35"," ","R","11","    0.82"," ","R","11","    0.99"," ","R","11"
"US1AZMR0075","08"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","08","99","99","    0.98"," ","R","10","     3.9"," ","P","11","     2.3"," ","P","11","     1.1"," ","P","11","     0.6"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.19"," ","R","10","    1.02"," ","R","10","    1.32"," ","R","10","    0.18"," ","R","10","    0.61"," ","R","10","    1.22"," ","R","10","    1.39"," ","R","10","    0.29"," ","R","10","    1.23"," ","R","10"
"US1AZMR0075","09"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","09","99","99","    1.10"," ","R","10","     2.6"," ","P","11","     1.8"," ","P","11","     1.4"," ","P","11","     0.7"," ","P","11","     0.4"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","    0.19"," ","R","10","    0.49"," ","R","10","    1.24"," ","R","10","    0.10"," ","R","10","    0.42"," ","R","10","    1.00"," ","R","10","    1.32"," ","R","10","    0.32"," ","R","10","    1.10"," ","R","10"
"US1AZMR0075","10"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","10","99","99","    0.49"," ","R","11","     1.8"," ","S","12","     0.9"," ","S","12","     0.6"," ","S","12","     0.4"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.00"," ","R","11","    0.03"," ","R","11","    0.54"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.18"," ","R","11","    0.72"," ","R","11","    0.00"," ","R","11","    0.29"," ","R","11"
