"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1AZPM0194","01"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","01","99","99","    0.79"," ","E"," 4"
"US1AZPM0194","02"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","02","99","99","    0.93"," ","E"," 6"
"US1AZPM0194","03"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","03","99","99","    0.34"," ","E"," 3"
"US1AZPM0194","04"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","04","99","99","    0.17"," ","E"," 6"
"US1AZPM0194","05"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","05","99","99","    0.23"," ","E"," 4"
"US1AZPM0194","06"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","06","99","99","    0.33"," ","E"," 4"
"US1AZPM0194","07"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","07","99","99","    2.72"," ","E"," 5"
"US1AZPM0194","08"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","08","99","99","    1.87"," ","E"," 6"
"US1AZPM0194","09"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","09","99","99","    1.90"," ","E"," 7"
"US1AZPM0194","10"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","10","99","99","    0.59"," ","E"," 6"
"US1AZPM0194","11"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","11","99","99","    0.56"," ","E"," 6"
"US1AZPM0194","12"," 31.8884","-110.9462"," 878.7","GREEN VALLEY 3.7 NE, AZ US","12","99","99","    1.11"," ","E"," 5"
