"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1COAD0082","01"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","01","99","99","    0.65"," ","S","14","     3.7"," ","S","14","     2.1"," ","S","14","     1.2"," ","S","14","     0.4"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.21"," ","S","14","    0.36"," ","S","14","    0.88"," ","S","14","    0.21"," ","S","14","    0.32"," ","S","14","    0.49"," ","S","14","    1.18"," ","S","14","    0.27"," ","S","14","    0.61"," ","S","14"
"US1COAD0082","02"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","02","99","99","    1.02"," ","R","11","     4.7"," ","S","13","     3.0"," ","S","13","     1.4"," ","S","13","     0.7"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.52"," ","R","11","    0.84"," ","R","11","    1.01"," ","R","11","    0.47"," ","R","11","    0.59"," ","R","11","    0.90"," ","R","11","    1.20"," ","R","11","    0.54"," ","R","11","    0.97"," ","R","11"
"US1COAD0082","03"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","03","99","99","    1.46"," ","S","12","     4.4"," ","S","13","     3.2"," ","S","13","     1.9"," ","S","13","     0.7"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.81"," ","S","12","    1.70"," ","S","12","    1.95"," ","S","12","    0.73"," ","S","12","    1.44"," ","S","12","    1.91"," ","S","12","    2.01"," ","S","12","    1.02"," ","S","12","    1.93"," ","S","12"
"US1COAD0082","04"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","04","99","99","    1.90"," ","S","13","     7.2"," ","S","13","     4.5"," ","S","13","     2.6"," ","S","13","     1.2"," ","S","13","     0.3"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.87"," ","S","13","    1.69"," ","S","13","    2.54"," ","S","13","    0.84"," ","S","13","    1.12"," ","S","13","    2.17"," ","S","13","    2.71"," ","S","13","    0.98"," ","S","13","    2.37"," ","S","13"
"US1COAD0082","05"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","05","99","99","    3.07"," ","S","12","    12.2"," ","S","12","     7.2"," ","S","12","     4.2"," ","S","12","     2.1"," ","S","12","     0.5"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    2.30"," ","S","12","    2.73"," ","S","12","    3.39"," ","S","12","    2.08"," ","S","12","    2.59"," ","S","12","    2.87"," ","S","12","    3.70"," ","S","12","    2.53"," ","S","12","    2.96"," ","S","12"
"US1COAD0082","06"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","06","99","99","    1.31"," ","S","12","     6.1"," ","S","13","     2.9"," ","S","13","     1.9"," ","S","13","     0.6"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.57"," ","S","12","    1.07"," ","S","12","    1.57"," ","S","12","    0.46"," ","S","12","    0.93"," ","S","12","    1.23"," ","S","12","    1.83"," ","S","12","    0.70"," ","S","12","    1.44"," ","S","12"
"US1COAD0082","07"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","07","99","99","    1.88"," ","S","13","     9.6"," ","S","13","     4.6"," ","S","13","     2.5"," ","S","13","     1.0"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.01"," ","S","13","    1.63"," ","S","13","    2.29"," ","S","13","    0.74"," ","S","13","    1.42"," ","S","13","    1.89"," ","S","13","    2.35"," ","S","13","    1.31"," ","S","13","    2.07"," ","S","13"
"US1COAD0082","08"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","08","99","99","    1.45"," ","R","11","     8.0"," ","S","12","     3.3"," ","S","12","     1.5"," ","S","12","     0.9"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.73"," ","R","11","    1.07"," ","R","11","    1.96"," ","R","11","    0.73"," ","R","11","    0.93"," ","R","11","    1.42"," ","R","11","    2.10"," ","R","11","    0.82"," ","R","11","    1.84"," ","R","11"
"US1COAD0082","09"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","09","99","99","    1.46"," ","S","12","     6.4"," ","S","13","     2.8"," ","S","13","     1.7"," ","S","13","     1.1"," ","S","13","     0.5"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.50"," ","S","12","    1.00"," ","S","12","    1.95"," ","S","12","    0.39"," ","S","12","    0.72"," ","S","12","    1.27"," ","S","12","    2.07"," ","S","12","    0.65"," ","S","12","    1.65"," ","S","12"
"US1COAD0082","10"," 39.8782","-105.0364","1688.0","WESTMINSTER 0.8 ESE, CO US","10","99","99","    1.53"," ","R","11","     6.1"," ","S","12","     3.6"," ","S","12","     2.2"," ","S","12","     0.8"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.00"," ","R","11","    1.70"," ","R","11","    1.82"," ","R","11","    0.83"," ","R","11","    1.28"," ","R","11","    1.73"," ","R","11","    1.86"," ","R","11","    1.17"," ","R","11","    1.77"," ","R","11"
