"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1CODG0062","01"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","01","99","99","    0.66"," ","E"," 8"
"US1CODG0062","02"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","02","99","99","    0.93"," ","E"," 9"
"US1CODG0062","03"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","03","99","99","    1.30"," ","E","10"
"US1CODG0062","04"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","04","99","99","    2.13"," ","E","11"
"US1CODG0062","05"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","05","99","99","    2.41"," ","E","10"
"US1CODG0062","06"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","06","99","99","    1.78"," ","E","10"
"US1CODG0062","07"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","07","99","99","    3.11"," ","E","11"
"US1CODG0062","08"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","08","99","99","    2.05"," ","E","10"
"US1CODG0062","09"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","09","99","99","    1.57"," ","E"," 7"
"US1CODG0062","10"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","10","99","99","    1.26"," ","E","10"
"US1CODG0062","11"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","11","99","99","    0.68"," ","E","10"
"US1CODG0062","12"," 39.3475","-104.8649","1933.0","CASTLE ROCK 1.7 SSW, CO US","12","99","99","    0.92"," ","E"," 7"
