"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1CODR0003","01"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","01","99","99","    1.47"," ","S","15","     6.8"," ","S","15","     3.8"," ","S","15","     1.9"," ","S","15","     0.9"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.55"," ","S","15","    1.08"," ","S","15","    2.17"," ","S","15","    0.44"," ","S","15","    0.94"," ","S","15","    1.41"," ","S","15","    2.44"," ","S","15","    0.70"," ","S","15","    1.77"," ","S","15"
"US1CODR0003","02"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","02","99","99","    1.41"," ","S","15","     6.7"," ","S","15","     3.8"," ","S","15","     2.1"," ","S","15","     0.9"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.87"," ","S","15","    1.19"," ","S","15","    1.96"," ","S","15","    0.76"," ","S","15","    1.11"," ","S","15","    1.30"," ","S","15","    1.99"," ","S","15","    1.01"," ","S","15","    1.52"," ","S","15"
"US1CODR0003","03"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","03","99","99","    1.20"," ","S","15","     5.0"," ","S","15","     3.7"," ","S","15","     1.9"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.63"," ","S","15","    0.84"," ","S","15","    1.41"," ","S","15","    0.61"," ","S","15","    0.82"," ","S","15","    0.92"," ","S","15","    1.55"," ","S","15","    0.75"," ","S","15","    1.13"," ","S","15"
"US1CODR0003","04"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","04","99","99","    0.77"," ","S","13","     4.2"," ","S","15","     2.4"," ","S","15","     1.2"," ","S","15","     0.4"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.34"," ","S","13","    0.80"," ","S","13","    1.07"," ","S","13","    0.31"," ","S","13","    0.76"," ","S","13","    0.86"," ","S","13","    1.18"," ","S","13","    0.63"," ","S","13","    0.94"," ","S","13"
"US1CODR0003","05"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","05","99","99","    1.21"," ","S","15","     5.7"," ","S","15","     3.3"," ","S","15","     2.0"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.55"," ","S","15","    1.06"," ","S","15","    1.88"," ","S","15","    0.34"," ","S","15","    0.98"," ","S","15","    1.07"," ","S","15","    2.10"," ","S","15","    0.86"," ","S","15","    1.30"," ","S","15"
"US1CODR0003","06"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","06","99","99","    0.40"," ","S","15","     1.9"," ","S","15","     1.1"," ","S","15","     0.5"," ","S","15","     0.2"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.02"," ","S","15","    0.31"," ","S","15","    0.36"," ","S","15","    0.00"," ","S","15","    0.08"," ","S","15","    0.33"," ","S","15","    0.41"," ","S","15","    0.04"," ","S","15","    0.34"," ","S","15"
"US1CODR0003","07"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","07","99","99","    1.44"," ","S","15","     8.5"," ","S","15","     3.3"," ","S","15","     1.7"," ","S","15","     0.8"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.99"," ","S","15","    1.37"," ","S","15","    1.85"," ","S","15","    0.81"," ","S","15","    1.32"," ","S","15","    1.60"," ","S","15","    1.87"," ","S","15","    1.24"," ","S","15","    1.72"," ","S","15"
"US1CODR0003","08"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","08","99","99","    1.12"," ","S","14","     7.1"," ","S","15","     3.0"," ","S","15","     1.3"," ","S","15","     0.3"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.57"," ","S","14","    1.06"," ","S","14","    1.70"," ","S","14","    0.51"," ","S","14","    0.89"," ","S","14","    1.14"," ","S","14","    1.95"," ","S","14","    0.78"," ","S","14","    1.34"," ","S","14"
"US1CODR0003","09"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","09","99","99","    1.54"," ","S","14","     5.6"," ","S","15","     3.2"," ","S","15","     2.1"," ","S","15","     0.9"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.69"," ","S","14","    0.92"," ","S","14","    1.85"," ","S","14","    0.58"," ","S","14","    0.88"," ","S","14","    1.20"," ","S","14","    2.20"," ","S","14","    0.81"," ","S","14","    1.43"," ","S","14"
"US1CODR0003","10"," 37.6009","-108.9951","2012.9","DOVE CREEK 12.4 SSW, CO US","10","99","99","    1.33"," ","S","15","     5.3"," ","S","15","     3.2"," ","S","15","     1.7"," ","S","15","     0.7"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.27"," ","S","15","    0.78"," ","S","15","    2.12"," ","S","15","    0.20"," ","S","15","    0.49"," ","S","15","    1.37"," ","S","15","    2.25"," ","S","15","    0.38"," ","S","15","    1.85"," ","S","15"
