"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1COLG0002","01"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","01","99","99","    0.30"," ","R","11","     3.3"," ","S","12","     1.3"," ","S","12","     0.3"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.10"," ","R","11","    0.15"," ","R","11","    0.41"," ","R","11","    0.09"," ","R","11","    0.13"," ","R","11","    0.33"," ","R","11","    0.45"," ","R","11","    0.11"," ","R","11","    0.36"," ","R","11"
"US1COLG0002","02"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","02","99","99","    0.47"," ","S","12","     5.0"," ","S","12","     1.8"," ","S","12","     0.7"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.29"," ","S","12","    0.44"," ","S","12","    0.70"," ","S","12","    0.19"," ","S","12","    0.39"," ","S","12","    0.51"," ","S","12","    0.76"," ","S","12","    0.38"," ","S","12","    0.59"," ","S","12"
"US1COLG0002","03"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","03","99","99","    0.86"," ","R","11","     6.1"," ","S","12","     2.6"," ","S","12","     1.0"," ","S","12","     0.3"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.57"," ","R","11","    0.79"," ","R","11","    1.11"," ","R","11","    0.48"," ","R","11","    0.73"," ","R","11","    0.94"," ","R","11","    1.17"," ","R","11","    0.68"," ","R","11","    1.04"," ","R","11"
"US1COLG0002","04"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","04","99","99","    2.06"," ","S","12","     9.3"," ","S","12","     4.8"," ","S","12","     2.8"," ","S","12","     1.6"," ","S","12","     0.5"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.02"," ","S","12","    1.89"," ","S","12","    2.98"," ","S","12","    0.84"," ","S","12","    1.41"," ","S","12","    2.31"," ","S","12","    3.03"," ","S","12","    1.20"," ","S","12","    2.56"," ","S","12"
"US1COLG0002","05"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","05","99","99","    3.37"," ","R","11","    11.3"," ","P","11","     6.5"," ","P","11","     4.4"," ","P","11","     2.2"," ","P","11","     0.7"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.03"," ","R","11","    3.47"," ","R","11","    4.27"," ","R","11","    1.57"," ","R","11","    3.09"," ","R","11","    3.69"," ","R","11","    4.53"," ","R","11","    2.68"," ","R","11","    3.81"," ","R","11"
"US1COLG0002","06"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","06","99","99","    1.88"," ","R","11","     8.3"," ","P","11","     3.7"," ","P","11","     2.2"," ","P","11","     0.7"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.86"," ","R","11","    1.41"," ","R","11","    2.82"," ","R","11","    0.68"," ","R","11","    1.26"," ","R","11","    1.54"," ","R","11","    3.35"," ","R","11","    1.08"," ","R","11","    1.83"," ","R","11"
"US1COLG0002","07"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","07","99","99","    3.00"," ","R","11","    10.1"," ","S","12","     5.9"," ","S","12","     3.5"," ","S","12","     2.0"," ","S","12","     0.8"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    2.19"," ","R","11","    2.59"," ","R","11","    3.72"," ","R","11","    2.07"," ","R","11","    2.39"," ","R","11","    2.78"," ","R","11","    3.88"," ","R","11","    2.36"," ","R","11","    3.18"," ","R","11"
"US1COLG0002","08"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","08","99","99","    2.23"," ","R","11","     9.0"," ","S","12","     4.4"," ","S","12","     2.3"," ","S","12","     1.1"," ","S","12","     0.6"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.59"," ","R","11","    2.58"," ","R","11","    3.12"," ","R","11","    0.42"," ","R","11","    1.72"," ","R","11","    2.67"," ","R","11","    3.30"," ","R","11","    1.12"," ","R","11","    2.81"," ","R","11"
"US1COLG0002","09"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","09","99","99","    0.84"," ","R","11","     6.3"," ","P","11","     2.5"," ","P","11","     0.7"," ","P","11","     0.5"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.42"," ","R","11","    0.77"," ","R","11","    1.20"," ","R","11","    0.35"," ","R","11","    0.61"," ","R","11","    0.88"," ","R","11","    1.22"," ","R","11","    0.56"," ","R","11","    1.00"," ","R","11"
"US1COLG0002","10"," 40.6421","-103.2376","1218.9","STERLING 1.8 NW, CO US","10","99","99","    1.03"," ","R","11","     6.1"," ","P","11","     3.1"," ","P","11","     1.4"," ","P","11","     0.8"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.61"," ","R","11","    0.95"," ","R","11","    1.25"," ","R","11","    0.54"," ","R","11","    0.84"," ","R","11","    1.04"," ","R","11","    1.36"," ","R","11","    0.77"," ","R","11","    1.10"," ","R","11"
