"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1COLN0053","01"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","01","99","99","    0.35"," ","E"," 3"
"US1COLN0053","02"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","02","99","99","    0.70"," ","E"," 4"
"US1COLN0053","03"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","03","99","99","    1.75"," ","E"," 4"
"US1COLN0053","04"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","04","99","99","    1.54"," ","E"," 5"
"US1COLN0053","05"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","05","99","99","    2.79"," ","E"," 4"
"US1COLN0053","06"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","06","99","99","    1.96"," ","E"," 5"
"US1COLN0053","07"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","07","99","99","    2.94"," ","E"," 5"
"US1COLN0053","08"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","08","99","99","    2.43"," ","E"," 3"
"US1COLN0053","09"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","09","99","99","    1.35"," ","E"," 4"
"US1COLN0053","10"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","10","99","99","    1.02"," ","E"," 6"
"US1COLN0053","11"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","11","99","99","    0.44"," ","E"," 6"
"US1COLN0053","12"," 39.2669","-103.6952","1644.7","LIMON 0.3 W, CO US","12","99","99","    0.70"," ","E"," 5"
