"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLCB0012","01"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","01","99","99","    3.40"," ","E"," 6"
"US1FLCB0012","02"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","02","99","99","    3.08"," ","E"," 5"
"US1FLCB0012","03"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","03","99","99","    2.93"," ","E"," 6"
"US1FLCB0012","04"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","04","99","99","    4.43"," ","E"," 6"
"US1FLCB0012","05"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","05","99","99","    3.96"," ","E"," 6"
"US1FLCB0012","06"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","06","99","99","    7.19"," ","E"," 4"
"US1FLCB0012","07"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","07","99","99","    6.38"," ","E"," 5"
"US1FLCB0012","08"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","08","99","99","    6.61"," ","E"," 6"
"US1FLCB0012","09"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","09","99","99","    5.81"," ","E"," 6"
"US1FLCB0012","10"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","10","99","99","    2.52"," ","E"," 5"
"US1FLCB0012","11"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","11","99","99","    2.31"," ","E"," 6"
"US1FLCB0012","12"," 30.0812"," -82.6710","  25.3","LAKE CITY 7.9 SSW, FL US","12","99","99","    2.96"," ","E"," 6"
