"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLCT0011","01"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","01","99","99","    2.81"," ","E"," 7"
"US1FLCT0011","02"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","02","99","99","    2.61"," ","E","10"
"US1FLCT0011","03"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","03","99","99","    2.46"," ","E"," 9"
"US1FLCT0011","04"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","04","99","99","    2.81"," ","E","10"
"US1FLCT0011","05"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","05","99","99","    4.62"," ","E","11"
"US1FLCT0011","06"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","06","99","99","    8.03"," ","E","11"
"US1FLCT0011","07"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","07","99","99","    8.58"," ","E","11"
"US1FLCT0011","08"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","08","99","99","    8.62"," ","E","10"
"US1FLCT0011","09"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","09","99","99","    5.72"," ","E","10"
"US1FLCT0011","10"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","10","99","99","    2.74"," ","E","10"
"US1FLCT0011","11"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","11","99","99","    2.08"," ","E","12"
"US1FLCT0011","12"," 28.9298"," -82.3704","  23.2","HERNANDO 1.6 N, FL US","12","99","99","    3.09"," ","E","11"
