"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLGL0007","01"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","01","99","99","    1.96"," ","E"," 7"
"US1FLGL0007","02"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","02","99","99","    1.78"," ","E"," 8"
"US1FLGL0007","03"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","03","99","99","    1.85"," ","E"," 7"
"US1FLGL0007","04"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","04","99","99","    2.24"," ","E"," 9"
"US1FLGL0007","05"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","05","99","99","    4.52"," ","E"," 6"
"US1FLGL0007","06"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","06","99","99","    9.59"," ","E"," 9"
"US1FLGL0007","07"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","07","99","99","    8.91"," ","E"," 7"
"US1FLGL0007","08"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","08","99","99","    9.65"," ","E"," 9"
"US1FLGL0007","09"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","09","99","99","    6.63"," ","E"," 8"
"US1FLGL0007","10"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","10","99","99","    2.94"," ","E"," 9"
"US1FLGL0007","11"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","11","99","99","    1.32"," ","E"," 8"
"US1FLGL0007","12"," 26.8206"," -81.4495","  11.9","LA BELLE 4.5 NNW, FL US","12","99","99","    1.71"," ","E","10"
