"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1FLHB0048","01"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","01","99","99","    3.17"," ","S","13","     6.5"," ","S","13","     4.7"," ","S","13","     3.2"," ","S","13","     2.2"," ","S","13","     1.2"," ","S","13","     0.3"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.47"," ","S","13","    2.59"," ","S","13","    4.58"," ","S","13","    1.32"," ","S","13","    1.57"," ","S","13","    3.29"," ","S","13","    4.73"," ","S","13","    1.55"," ","S","13","    4.09"," ","S","13"
"US1FLHB0048","02"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","02","99","99","    2.50"," ","S","12","     5.7"," ","S","13","     3.7"," ","S","13","     2.7"," ","S","13","     1.9"," ","S","13","     0.6"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.93"," ","S","12","    2.41"," ","S","12","    2.81"," ","S","12","    1.73"," ","S","12","    2.23"," ","S","12","    2.58"," ","S","12","    2.88"," ","S","12","    2.10"," ","S","12","    2.68"," ","S","12"
"US1FLHB0048","03"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","03","99","99","    2.16"," ","S","13","     4.5"," ","S","13","     3.2"," ","S","13","     2.6"," ","S","13","     1.6"," ","S","13","     0.7"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.70"," ","S","13","    1.54"," ","S","13","    3.15"," ","S","13","    0.65"," ","S","13","    1.07"," ","S","13","    1.77"," ","S","13","    3.94"," ","S","13","    0.94"," ","S","13","    2.12"," ","S","13"
"US1FLHB0048","04"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","04","99","99","    3.46"," ","R","11","     5.3"," ","S","13","     4.4"," ","S","13","     3.3"," ","S","13","     2.0"," ","S","13","     1.1"," ","S","13","     0.3"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","    2.28"," ","R","11","    2.56"," ","R","11","    3.98"," ","R","11","    2.06"," ","R","11","    2.48"," ","R","11","    3.26"," ","R","11","    4.46"," ","R","11","    2.43"," ","R","11","    3.94"," ","R","11"
"US1FLHB0048","05"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","05","99","99","    4.42"," ","S","13","     6.3"," ","S","13","     5.2"," ","S","13","     4.0"," ","S","13","     3.1"," ","S","13","     1.8"," ","S","13","     0.4"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","    1.90"," ","S","13","    3.19"," ","S","13","    6.35"," ","S","13","    1.65"," ","S","13","    2.60"," ","S","13","    4.30"," ","S","13","    7.90"," ","S","13","    2.19"," ","S","13","    4.72"," ","S","13"
"US1FLHB0048","06"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","06","99","99","    9.44"," ","S","13","    13.6"," ","S","13","    11.2"," ","S","13","     8.6"," ","S","13","     5.8"," ","S","13","     3.2"," ","S","13","     1.0"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","    7.15"," ","S","13","    8.50"," ","S","13","   10.88"," ","S","13","    6.16"," ","S","13","    8.42"," ","S","13","    9.06"," ","S","13","   12.29"," ","S","13","    8.29"," ","S","13","    9.33"," ","S","13"
"US1FLHB0048","07"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","07","99","99","   11.48"," ","S","12","    18.8"," ","S","13","    14.7"," ","S","13","    10.4"," ","S","13","     7.3"," ","S","13","     3.9"," ","S","13","     1.1"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","    9.80"," ","S","12","   10.62"," ","S","12","   13.16"," ","S","12","    9.42"," ","S","12","   10.49"," ","S","12","   12.45"," ","S","12","   13.44"," ","S","12","   10.23"," ","S","12","   12.69"," ","S","12"
"US1FLHB0048","08"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","08","99","99","   10.98"," ","S","13","    17.7"," ","S","13","    14.2"," ","S","13","     9.8"," ","S","13","     6.9"," ","S","13","     3.8"," ","S","13","     1.1"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","    8.11"," ","S","13","   11.25"," ","S","13","   11.93"," ","S","13","    6.78"," ","S","13","   10.56"," ","S","13","   11.51"," ","S","13","   12.52"," ","S","13","    9.75"," ","S","13","   11.54"," ","S","13"
"US1FLHB0048","09"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","09","99","99","    7.42"," ","S","12","    12.1"," ","S","13","     9.2"," ","S","13","     7.0"," ","S","13","     4.3"," ","S","13","     2.0"," ","S","13","     0.9"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","    5.05"," ","S","12","    8.14"," ","S","12","    9.69"," ","S","12","    4.63"," ","S","12","    6.93"," ","S","12","    8.52"," ","S","12","   10.10"," ","S","12","    5.43"," ","S","12","    9.05"," ","S","12"
"US1FLHB0048","10"," 28.1071"," -82.5132","  25.9","GREATER NORTHDALE 0.4 ENE, FL US","10","99","99","    2.49"," ","S","14","     6.5"," ","S","14","     4.6"," ","S","14","     2.9"," ","S","14","     1.8"," ","S","14","     0.6"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.60"," ","S","14","    2.17"," ","S","14","    3.27"," ","S","14","    1.55"," ","S","14","    1.76"," ","S","14","    2.92"," ","S","14","    3.31"," ","S","14","    1.65"," ","S","14","    3.14"," ","S","14"
