"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLHB0114","01"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","01","99","99","    2.76"," ","E"," 5"
"US1FLHB0114","02"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","02","99","99","    2.04"," ","E"," 4"
"US1FLHB0114","03"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","03","99","99","    2.31"," ","E"," 4"
"US1FLHB0114","04"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","04","99","99","    2.40"," ","E"," 4"
"US1FLHB0114","05"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","05","99","99","    4.18"," ","E"," 4"
"US1FLHB0114","06"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","06","99","99","    8.01"," ","E"," 5"
"US1FLHB0114","07"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","07","99","99","    9.32"," ","E"," 5"
"US1FLHB0114","08"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","08","99","99","   10.11"," ","E"," 4"
"US1FLHB0114","09"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","09","99","99","    6.85"," ","E"," 5"
"US1FLHB0114","10"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","10","99","99","    2.34"," ","E"," 5"
"US1FLHB0114","11"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","11","99","99","    1.95"," ","E"," 3"
"US1FLHB0114","12"," 27.8735"," -82.3029","   7.0","RIVERVIEW 0.9 ENE, FL US","12","99","99","    1.96"," ","E"," 5"
