"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLPB0069","01"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","01","99","99","    2.73"," ","E"," 6"
"US1FLPB0069","02"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","02","99","99","    2.93"," ","E"," 6"
"US1FLPB0069","03"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","03","99","99","    3.06"," ","E"," 6"
"US1FLPB0069","04"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","04","99","99","    3.79"," ","E"," 5"
"US1FLPB0069","05"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","05","99","99","    7.23"," ","E"," 5"
"US1FLPB0069","06"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","06","99","99","    7.94"," ","E"," 5"
"US1FLPB0069","07"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","07","99","99","    7.47"," ","E"," 4"
"US1FLPB0069","08"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","08","99","99","    9.37"," ","E"," 6"
"US1FLPB0069","09"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","09","99","99","    8.09"," ","E"," 5"
"US1FLPB0069","10"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","10","99","99","    6.04"," ","E"," 5"
"US1FLPB0069","11"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","11","99","99","    2.90"," ","E"," 6"
"US1FLPB0069","12"," 26.7803"," -80.2166","   9.4","WEST PALM BEACH 6.0 WNW, FL US","12","99","99","    3.32"," ","E"," 6"
