"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLPS0008","01"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","01","99","99","    2.65"," ","E"," 6"
"US1FLPS0008","02"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","02","99","99","    2.21"," ","E"," 4"
"US1FLPS0008","03"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","03","99","99","    2.32"," ","E"," 8"
"US1FLPS0008","04"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","04","99","99","    2.91"," ","E","10"
"US1FLPS0008","05"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","05","99","99","    4.24"," ","E","10"
"US1FLPS0008","06"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","06","99","99","    9.15"," ","E"," 8"
"US1FLPS0008","07"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","07","99","99","    9.72"," ","E"," 7"
"US1FLPS0008","08"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","08","99","99","    9.53"," ","E"," 8"
"US1FLPS0008","09"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","09","99","99","    6.14"," ","E"," 8"
"US1FLPS0008","10"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","10","99","99","    2.74"," ","E"," 8"
"US1FLPS0008","11"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","11","99","99","    1.75"," ","E","10"
"US1FLPS0008","12"," 28.2420"," -82.1638","  32.0","ZEPHYRHILLS 0.9 ENE, FL US","12","99","99","    2.16"," ","E"," 8"
