"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1GAMA0010","01"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","01","99","99","    4.45"," ","E","10"
"US1GAMA0010","02"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","02","99","99","    4.38"," ","E","12"
"US1GAMA0010","03"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","03","99","99","    4.10"," ","E","11"
"US1GAMA0010","04"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","04","99","99","    3.71"," ","E"," 8"
"US1GAMA0010","05"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","05","99","99","    3.57"," ","E","11"
"US1GAMA0010","06"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","06","99","99","    4.40"," ","E","12"
"US1GAMA0010","07"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","07","99","99","    4.23"," ","E","13"
"US1GAMA0010","08"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","08","99","99","    4.98"," ","E","13"
"US1GAMA0010","09"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","09","99","99","    3.58"," ","E","13"
"US1GAMA0010","10"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","10","99","99","    3.81"," ","E","12"
"US1GAMA0010","11"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","11","99","99","    3.74"," ","E","13"
"US1GAMA0010","12"," 34.0642"," -83.3710"," 235.9","NICHOLSON 4.9 SE, GA US","12","99","99","    5.63"," ","E","13"
