"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1IDBR0027","01"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","01","99","99","    4.87"," ","E"," 3"
"US1IDBR0027","02"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","02","99","99","    4.11"," ","E"," 2"
"US1IDBR0027","03"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","03","99","99","    4.43"," ","E"," 3"
"US1IDBR0027","04"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","04","99","99","    3.26"," ","E"," 4"
"US1IDBR0027","05"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","05","99","99","    2.92"," ","E"," 3"
"US1IDBR0027","06"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","06","99","99","    3.58"," ","E"," 3"
"US1IDBR0027","07"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","07","99","99","    1.22"," ","E"," 2"
"US1IDBR0027","08"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","08","99","99","    1.05"," ","E"," 4"
"US1IDBR0027","09"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","09","99","99","    1.66"," ","E"," 4"
"US1IDBR0027","10"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","10","99","99","    3.22"," ","E"," 4"
"US1IDBR0027","11"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","11","99","99","    5.43"," ","E"," 3"
"US1IDBR0027","12"," 48.3995","-116.3153"," 839.7","SANDPOINT 13.9 NE, ID US","12","99","99","    5.73"," ","E"," 5"
