"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ILSC0009","01"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","01","99","99","    2.48"," ","E","10"
"US1ILSC0009","02"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","02","99","99","    2.49"," ","E","11"
"US1ILSC0009","03"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","03","99","99","    4.11"," ","E","13"
"US1ILSC0009","04"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","04","99","99","    5.37"," ","E","13"
"US1ILSC0009","05"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","05","99","99","    5.36"," ","E","12"
"US1ILSC0009","06"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","06","99","99","    4.73"," ","E","12"
"US1ILSC0009","07"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","07","99","99","    4.54"," ","E","13"
"US1ILSC0009","08"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","08","99","99","    3.95"," ","E","11"
"US1ILSC0009","09"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","09","99","99","    3.47"," ","E","12"
"US1ILSC0009","10"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","10","99","99","    3.48"," ","E","12"
"US1ILSC0009","11"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","11","99","99","    3.23"," ","E","11"
"US1ILSC0009","12"," 38.5524"," -90.0805"," 168.9","BELLEVILLE 4.5 WNW, IL US","12","99","99","    3.15"," ","E"," 9"
