"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1INHM0019","01"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","01","99","99","    2.81"," ","R","10","    10.0"," ","S","12","     5.4"," ","S","12","     3.3"," ","S","12","     1.9"," ","S","12","     0.8"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.79"," ","R","10","    2.20"," ","R","10","    3.69"," ","R","10","    1.67"," ","R","10","    2.04"," ","R","10","    3.12"," ","R","10","    4.23"," ","R","10","    1.89"," ","R","10","    3.16"," ","R","10"
"US1INHM0019","02"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","02","99","99","    2.76"," ","R","11","     9.2"," ","P","11","     5.0"," ","P","11","     3.1"," ","P","11","     1.7"," ","P","11","     0.4"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.44"," ","R","11","    2.28"," ","R","11","    3.69"," ","R","11","    1.36"," ","R","11","    2.14"," ","R","11","    2.96"," ","R","11","    4.09"," ","R","11","    1.87"," ","R","11","    3.22"," ","R","11"
"US1INHM0019","03"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","03","99","99","    3.79"," ","S","12","     9.7"," ","S","12","     6.9"," ","S","12","     5.0"," ","S","12","     2.3"," ","S","12","     0.7"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    3.15"," ","S","12","    3.78"," ","S","12","    4.56"," ","S","12","    2.85"," ","S","12","    3.41"," ","S","12","    3.88"," ","S","12","    5.10"," ","S","12","    3.33"," ","S","12","    4.06"," ","S","12"
"US1INHM0019","04"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","04","99","99","    4.51"," ","S","14","    11.8"," ","S","14","     7.8"," ","S","14","     5.2"," ","S","14","     3.2"," ","S","14","     1.2"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.54"," ","S","14","    4.21"," ","S","14","    5.82"," ","S","14","    2.36"," ","S","14","    3.48"," ","S","14","    5.06"," ","S","14","    6.10"," ","S","14","    2.82"," ","S","14","    5.56"," ","S","14"
"US1INHM0019","05"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","05","99","99","    4.29"," ","S","14","    13.9"," ","S","14","     8.3"," ","S","14","     5.3"," ","S","14","     3.1"," ","S","14","     0.8"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.69"," ","S","14","    4.90"," ","S","14","    5.22"," ","S","14","    2.48"," ","S","14","    4.17"," ","S","14","    5.02"," ","S","14","    5.34"," ","S","14","    3.23"," ","S","14","    5.07"," ","S","14"
"US1INHM0019","06"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","06","99","99","    5.68"," ","S","14","    12.6"," ","S","14","     8.7"," ","S","14","     6.1"," ","S","14","     3.9"," ","S","14","     1.8"," ","S","14","     0.3"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    4.21"," ","S","14","    5.54"," ","S","14","    6.62"," ","S","14","    4.03"," ","S","14","    5.27"," ","S","14","    5.94"," ","S","14","    6.84"," ","S","14","    4.83"," ","S","14","    6.11"," ","S","14"
"US1INHM0019","07"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","07","99","99","    3.42"," ","S","14","     9.1"," ","S","14","     5.8"," ","S","14","     4.5"," ","S","14","     2.4"," ","S","14","     0.8"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.10"," ","S","14","    3.25"," ","S","14","    4.31"," ","S","14","    1.99"," ","S","14","    2.76"," ","S","14","    3.41"," ","S","14","    4.53"," ","S","14","    2.56"," ","S","14","    3.80"," ","S","14"
"US1INHM0019","08"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","08","99","99","    3.70"," ","S","14","     8.8"," ","S","14","     6.0"," ","S","14","     3.9"," ","S","14","     2.4"," ","S","14","     1.1"," ","S","14","     0.3"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.75"," ","S","14","    3.89"," ","S","14","    4.50"," ","S","14","    2.36"," ","S","14","    3.09"," ","S","14","    4.10"," ","S","14","    4.70"," ","S","14","    2.96"," ","S","14","    4.26"," ","S","14"
"US1INHM0019","09"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","09","99","99","    3.10"," ","S","14","     8.0"," ","S","14","     4.8"," ","S","14","     3.3"," ","S","14","     1.6"," ","S","14","     0.9"," ","S","14","     0.4"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.48"," ","S","14","    2.95"," ","S","14","    4.31"," ","S","14","    1.35"," ","S","14","    2.02"," ","S","14","    3.20"," ","S","14","    4.96"," ","S","14","    1.70"," ","S","14","    3.43"," ","S","14"
"US1INHM0019","10"," 40.1227"," -85.9011"," 246.0","LAPEL 4.7 NW, IN US","10","99","99","    3.58"," ","S","14","    11.1"," ","S","14","     5.6"," ","S","14","     4.1"," ","S","14","     2.3"," ","S","14","     0.9"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.50"," ","S","14","    3.50"," ","S","14","    4.51"," ","S","14","    2.03"," ","S","14","    3.35"," ","S","14","    3.70"," ","S","14","    4.79"," ","S","14","    3.18"," ","S","14","    4.02"," ","S","14"
