"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1INHR0012","01"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","01","99","99","    3.41"," ","E"," 5"
"US1INHR0012","02"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","02","99","99","    4.01"," ","E"," 6"
"US1INHR0012","03"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","03","99","99","    5.08"," ","E"," 9"
"US1INHR0012","04"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","04","99","99","    5.85"," ","E","10"
"US1INHR0012","05"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","05","99","99","    5.20"," ","E","10"
"US1INHR0012","06"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","06","99","99","    5.02"," ","E"," 9"
"US1INHR0012","07"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","07","99","99","    5.14"," ","E","10"
"US1INHR0012","08"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","08","99","99","    3.53"," ","E","10"
"US1INHR0012","09"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","09","99","99","    4.26"," ","E","10"
"US1INHR0012","10"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","10","99","99","    4.64"," ","E"," 9"
"US1INHR0012","11"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","11","99","99","    3.70"," ","E"," 7"
"US1INHR0012","12"," 38.1462"," -85.9766"," 246.0","ELIZABETH 1.4 N, IN US","12","99","99","    4.56"," ","E"," 5"
