"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1KSCR0001","01"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","01","99","99","    1.38"," ","S","13","     5.6"," ","S","14","     2.5"," ","S","14","     1.2"," ","S","14","     0.7"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.31"," ","S","13","    1.03"," ","S","13","    2.08"," ","S","13","    0.31"," ","S","13","    0.66"," ","S","13","    1.26"," ","S","13","    2.49"," ","S","13","    0.37"," ","S","13","    1.60"," ","S","13"
"US1KSCR0001","02"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","02","99","99","    1.89"," ","S","14","     6.0"," ","S","14","     3.6"," ","S","14","     2.3"," ","S","14","     1.4"," ","S","14","     0.4"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.65"," ","S","14","    2.13"," ","S","14","    3.03"," ","S","14","    0.42"," ","S","14","    1.70"," ","S","14","    2.18"," ","S","14","    3.22"," ","S","14","    1.10"," ","S","14","    2.41"," ","S","14"
"US1KSCR0001","03"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","03","99","99","    4.06"," ","S","12","     9.1"," ","S","14","     6.0"," ","S","14","     4.3"," ","S","14","     2.5"," ","S","14","     0.8"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.32"," ","S","12","    2.99"," ","S","12","    5.54"," ","S","12","    2.29"," ","S","12","    2.72"," ","S","12","    3.77"," ","S","12","    6.39"," ","S","12","    2.48"," ","S","12","    4.35"," ","S","12"
"US1KSCR0001","04"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","04","99","99","    5.51"," ","S","13","    11.1"," ","S","13","     7.0"," ","S","13","     5.7"," ","S","13","     3.6"," ","S","13","     1.4"," ","S","13","     0.5"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    3.01"," ","S","13","    5.75"," ","S","13","    7.01"," ","S","13","    2.53"," ","S","13","    5.05"," ","S","13","    5.96"," ","S","13","    7.90"," ","S","13","    4.37"," ","S","13","    6.16"," ","S","13"
"US1KSCR0001","05"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","05","99","99","    8.24"," ","S","14","    12.0"," ","S","14","     9.3"," ","S","14","     7.3"," ","S","14","     5.0"," ","S","14","     2.4"," ","S","14","     1.0"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","    6.12"," ","S","14","    7.71"," ","S","14","   10.10"," ","S","14","    5.69"," ","S","14","    7.64"," ","S","14","    7.78"," ","S","14","   10.25"," ","S","14","    7.19"," ","S","14","    8.56"," ","S","14"
"US1KSCR0001","06"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","06","99","99","    6.42"," ","S","13","    10.2"," ","S","14","     6.8"," ","S","14","     5.4"," ","S","14","     3.8"," ","S","14","     2.5"," ","S","14","     0.7"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","    4.38"," ","S","13","    5.29"," ","S","13","    7.65"," ","S","13","    3.92"," ","S","13","    4.88"," ","S","13","    5.62"," ","S","13","    9.05"," ","S","13","    4.40"," ","S","13","    5.99"," ","S","13"
"US1KSCR0001","07"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","07","99","99","    4.58"," ","S","12","     8.4"," ","S","13","     5.0"," ","S","13","     3.7"," ","S","13","     2.5"," ","S","13","     0.9"," ","S","13","     0.4"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","    2.25"," ","S","12","    4.78"," ","S","12","    6.60"," ","S","12","    2.17"," ","S","12","    3.12"," ","S","12","    5.49"," ","S","12","    6.65"," ","S","12","    2.74"," ","S","12","    6.07"," ","S","12"
"US1KSCR0001","08"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","08","99","99","    4.49"," ","S","12","     7.0"," ","S","12","     4.4"," ","S","12","     3.1"," ","S","12","     2.4"," ","S","12","     1.5"," ","S","12","     0.3"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    2.43"," ","S","12","    3.69"," ","S","12","    6.00"," ","S","12","    2.27"," ","S","12","    2.59"," ","S","12","    4.26"," ","S","12","    6.72"," ","S","12","    2.58"," ","S","12","    4.67"," ","S","12"
"US1KSCR0001","09"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","09","99","99","    4.53"," ","S","12","     7.0"," ","S","12","     5.1"," ","S","12","     4.3"," ","S","12","     2.8"," ","S","12","     1.7"," ","S","12","     0.8"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","    2.40"," ","S","12","    4.13"," ","S","12","    7.16"," ","S","12","    1.76"," ","S","12","    3.70"," ","S","12","    4.17"," ","S","12","    7.85"," ","S","12","    3.09"," ","S","12","    4.97"," ","S","12"
"US1KSCR0001","10"," 37.4099"," -94.7127"," 285.9","PITTSBURG 0.7 WSW, KS US","10","99","99","    4.22"," ","S","13","     8.6"," ","S","13","     6.0"," ","S","13","     3.9"," ","S","13","     2.7"," ","S","13","     1.3"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.19"," ","S","13","    4.66"," ","S","13","    5.88"," ","S","13","    1.99"," ","S","13","    3.81"," ","S","13","    5.28"," ","S","13","    6.03"," ","S","13","    2.58"," ","S","13","    5.76"," ","S","13"
