"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1KSSF0003","01"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","01","99","99","    0.62"," ","E","11"
"US1KSSF0003","02"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","02","99","99","    0.95"," ","E"," 8"
"US1KSSF0003","03"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","03","99","99","    2.04"," ","E","11"
"US1KSSF0003","04"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","04","99","99","    2.98"," ","E"," 9"
"US1KSSF0003","05"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","05","99","99","    5.21"," ","E","10"
"US1KSSF0003","06"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","06","99","99","    4.11"," ","E","11"
"US1KSSF0003","07"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","07","99","99","    3.42"," ","E"," 9"
"US1KSSF0003","08"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","08","99","99","    4.19"," ","E"," 9"
"US1KSSF0003","09"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","09","99","99","    2.15"," ","E"," 8"
"US1KSSF0003","10"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","10","99","99","    2.44"," ","E"," 8"
"US1KSSF0003","11"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","11","99","99","    1.09"," ","E"," 8"
"US1KSSF0003","12"," 37.9608"," -98.6005"," 570.0","STAFFORD 0.2 SSW, KS US","12","99","99","    1.31"," ","E","10"
