"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1KYCS0004","01"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","01","99","99","    4.64"," ","E","10"
"US1KYCS0004","02"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","02","99","99","    4.63"," ","E","10"
"US1KYCS0004","03"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","03","99","99","    4.88"," ","E","10"
"US1KYCS0004","04"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","04","99","99","    5.47"," ","E","10"
"US1KYCS0004","05"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","05","99","99","    5.51"," ","E","10"
"US1KYCS0004","06"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","06","99","99","    5.21"," ","E"," 9"
"US1KYCS0004","07"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","07","99","99","    5.93"," ","E","10"
"US1KYCS0004","08"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","08","99","99","    3.92"," ","E","10"
"US1KYCS0004","09"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","09","99","99","    4.63"," ","E","10"
"US1KYCS0004","10"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","10","99","99","    4.21"," ","E","11"
"US1KYCS0004","11"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","11","99","99","    3.79"," ","E","11"
"US1KYCS0004","12"," 37.3053"," -84.9183"," 334.1","LIBERTY 1.1 SE, KY US","12","99","99","    5.76"," ","E","11"
