"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MDAA0039","01"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","01","99","99","    2.90"," ","E"," 7"
"US1MDAA0039","02"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","02","99","99","    2.71"," ","E"," 5"
"US1MDAA0039","03"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","03","99","99","    3.33"," ","E"," 5"
"US1MDAA0039","04"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","04","99","99","    3.55"," ","E"," 4"
"US1MDAA0039","05"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","05","99","99","    4.55"," ","E"," 4"
"US1MDAA0039","06"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","06","99","99","    4.96"," ","E"," 5"
"US1MDAA0039","07"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","07","99","99","    4.74"," ","E"," 2"
"US1MDAA0039","08"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","08","99","99","    4.99"," ","E"," 7"
"US1MDAA0039","09"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","09","99","99","    4.13"," ","E"," 3"
"US1MDAA0039","10"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","10","99","99","    4.79"," ","E"," 5"
"US1MDAA0039","11"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","11","99","99","    3.17"," ","E"," 2"
"US1MDAA0039","12"," 39.0916"," -76.5112","  10.7","PASADENA 2.6 ESE, MD US","12","99","99","    4.02"," ","E"," 4"
