"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MDMG0111","01"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","01","99","99","    3.22"," ","E"," 3"
"US1MDMG0111","02"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","02","99","99","    3.08"," ","E"," 4"
"US1MDMG0111","03"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","03","99","99","    3.88"," ","E"," 4"
"US1MDMG0111","04"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","04","99","99","    4.09"," ","E"," 4"
"US1MDMG0111","05"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","05","99","99","    4.75"," ","E"," 4"
"US1MDMG0111","06"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","06","99","99","    4.80"," ","E"," 4"
"US1MDMG0111","07"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","07","99","99","    4.85"," ","E"," 4"
"US1MDMG0111","08"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","08","99","99","    4.34"," ","E"," 5"
"US1MDMG0111","09"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","09","99","99","    4.80"," ","E"," 4"
"US1MDMG0111","10"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","10","99","99","    4.65"," ","E"," 3"
"US1MDMG0111","11"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","11","99","99","    3.12"," ","E"," 3"
"US1MDMG0111","12"," 39.1402"," -77.0667"," 163.4","OLNEY 1.0 SE, MD US","12","99","99","    4.05"," ","E"," 3"
