"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MIAP0002","01"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","01","99","99","    2.29"," ","E"," 4"
"US1MIAP0002","02"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","02","99","99","    1.67"," ","E"," 5"
"US1MIAP0002","03"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","03","99","99","    2.01"," ","E"," 5"
"US1MIAP0002","04"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","04","99","99","    3.65"," ","E"," 3"
"US1MIAP0002","05"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","05","99","99","    2.97"," ","E"," 4"
"US1MIAP0002","06"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","06","99","99","    3.44"," ","E"," 4"
"US1MIAP0002","07"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","07","99","99","    3.12"," ","E"," 3"
"US1MIAP0002","08"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","08","99","99","    3.27"," ","E"," 5"
"US1MIAP0002","09"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","09","99","99","    3.15"," ","E"," 5"
"US1MIAP0002","10"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","10","99","99","    3.76"," ","E"," 4"
"US1MIAP0002","11"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","11","99","99","    2.18"," ","E"," 5"
"US1MIAP0002","12"," 44.9215"," -83.4270"," 180.1","OSSINEKE 1.0 NNE, MI US","12","99","99","    2.32"," ","E"," 7"
