"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MIOW0002","01"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","01","99","99","    3.00"," ","E"," 9"
"US1MIOW0002","02"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","02","99","99","    2.40"," ","E"," 9"
"US1MIOW0002","03"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","03","99","99","    2.45"," ","E","12"
"US1MIOW0002","04"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","04","99","99","    3.97"," ","E"," 9"
"US1MIOW0002","05"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","05","99","99","    4.13"," ","E","11"
"US1MIOW0002","06"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","06","99","99","    4.13"," ","E","10"
"US1MIOW0002","07"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","07","99","99","    3.27"," ","E","13"
"US1MIOW0002","08"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","08","99","99","    3.59"," ","E","12"
"US1MIOW0002","09"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","09","99","99","    3.41"," ","E","11"
"US1MIOW0002","10"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","10","99","99","    5.19"," ","E","12"
"US1MIOW0002","11"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","11","99","99","    2.72"," ","E","12"
"US1MIOW0002","12"," 42.8230"," -86.0678"," 188.1","HOLLAND 3.9 NNE, MI US","12","99","99","    2.95"," ","E","10"
