"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MNDK0014","01"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","01","99","99","    0.71"," ","E"," 7"
"US1MNDK0014","02"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","02","99","99","    1.04"," ","E"," 6"
"US1MNDK0014","03"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","03","99","99","    1.75"," ","E"," 6"
"US1MNDK0014","04"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","04","99","99","    3.43"," ","E"," 6"
"US1MNDK0014","05"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","05","99","99","    4.11"," ","E"," 5"
"US1MNDK0014","06"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","06","99","99","    5.01"," ","E"," 6"
"US1MNDK0014","07"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","07","99","99","    3.99"," ","E"," 6"
"US1MNDK0014","08"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","08","99","99","    4.99"," ","E"," 6"
"US1MNDK0014","09"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","09","99","99","    3.01"," ","E"," 7"
"US1MNDK0014","10"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","10","99","99","    3.03"," ","E"," 6"
"US1MNDK0014","11"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","11","99","99","    1.37"," ","E"," 7"
"US1MNDK0014","12"," 44.8344"," -93.0358"," 280.1","INVER GROVE HEIGHTS 1.3 ENE, MN US","12","99","99","    1.56"," ","E"," 7"
