"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1MOFSA005","01"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","01","99","99","    0.64"," ","S","13","     4.5"," ","S","13","     2.0"," ","S","13","     0.6"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.36"," ","S","13","    0.67"," ","S","13","    0.96"," ","S","13","    0.32"," ","S","13","    0.56"," ","S","13","    0.70"," ","S","13","    1.01"," ","S","13","    0.46"," ","S","13","    0.79"," ","S","13"
"US1MOFSA005","02"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","02","99","99","    1.13"," ","S","14","     4.3"," ","S","14","     3.2"," ","S","14","     1.7"," ","S","14","     0.6"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.73"," ","S","14","    1.14"," ","S","14","    1.50"," ","S","14","    0.56"," ","S","14","    1.07"," ","S","14","    1.25"," ","S","14","    1.60"," ","S","14","    0.97"," ","S","14","    1.36"," ","S","14"
"US1MOFSA005","03"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","03","99","99","    2.16"," ","R","11","     6.1"," ","S","13","     4.5"," ","S","13","     2.8"," ","S","13","     1.4"," ","S","13","     0.3"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.26"," ","R","11","    2.09"," ","R","11","    2.99"," ","R","11","    0.88"," ","R","11","    2.01"," ","R","11","    2.30"," ","R","11","    3.11"," ","R","11","    1.82"," ","R","11","    2.62"," ","R","11"
"US1MOFSA005","04"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","04","99","99","    3.38"," ","R","11","     8.8"," ","S","13","     6.3"," ","S","13","     4.4"," ","S","13","     2.2"," ","S","13","     1.1"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.47"," ","R","11","    3.33"," ","R","11","    4.35"," ","R","11","    2.27"," ","R","11","    3.16"," ","R","11","    3.81"," ","R","11","    4.46"," ","R","11","    2.88"," ","R","11","    4.11"," ","R","11"
"US1MOFSA005","05"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","05","99","99","    5.27"," ","R","11","    10.7"," ","S","14","     7.7"," ","S","14","     5.8"," ","S","14","     3.7"," ","S","14","     1.7"," ","S","14","     0.4"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    3.24"," ","R","11","    3.86"," ","R","11","    7.88"," ","R","11","    2.70"," ","R","11","    3.79"," ","R","11","    5.07"," ","R","11","    9.08"," ","R","11","    3.71"," ","R","11","    5.80"," ","R","11"
"US1MOFSA005","06"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","06","99","99","    5.22"," ","S","12","     9.6"," ","S","15","     7.3"," ","S","15","     5.8"," ","S","15","     3.9"," ","S","15","     1.7"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.79"," ","S","12","    4.98"," ","S","12","    6.45"," ","S","12","    3.68"," ","S","12","    4.68"," ","S","12","    5.40"," ","S","12","    6.71"," ","S","12","    4.16"," ","S","12","    5.83"," ","S","12"
"US1MOFSA005","07"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","07","99","99","    4.17"," ","S","13","     7.5"," ","S","15","     5.6"," ","S","15","     4.1"," ","S","15","     3.0"," ","S","15","     1.3"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.92"," ","S","13","    3.35"," ","S","13","    5.92"," ","S","13","    1.86"," ","S","13","    2.29"," ","S","13","    4.28"," ","S","13","    6.88"," ","S","13","    2.05"," ","S","13","    4.65"," ","S","13"
"US1MOFSA005","08"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","08","99","99","    5.04"," ","S","13","     9.4"," ","S","14","     7.5"," ","S","14","     5.0"," ","S","14","     3.2"," ","S","14","     1.9"," ","S","14","     0.3"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.77"," ","S","13","    5.05"," ","S","13","    6.82"," ","S","13","    2.13"," ","S","13","    4.04"," ","S","13","    5.74"," ","S","13","    7.88"," ","S","13","    3.40"," ","S","13","    5.99"," ","S","13"
"US1MOFSA005","09"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","09","99","99","    3.24"," ","R","11","     6.9"," ","S","14","     4.5"," ","S","14","     2.9"," ","S","14","     1.9"," ","S","14","     0.7"," ","S","14","     0.3"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    1.52"," ","R","11","    3.18"," ","R","11","    5.05"," ","R","11","    1.42"," ","R","11","    1.84"," ","R","11","    3.71"," ","R","11","    5.19"," ","R","11","    1.57"," ","R","11","    4.65"," ","R","11"
"US1MOFSA005","10"," 40.4162"," -95.5081"," 294.1","ROCKPORT 0.5 E, MO US","10","99","99","    3.07"," ","S","13","     7.2"," ","S","14","     5.0"," ","S","14","     3.2"," ","S","14","     2.0"," ","S","14","     0.8"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.19"," ","S","13","    2.36"," ","S","13","    4.85"," ","S","13","    1.02"," ","S","13","    1.99"," ","S","13","    3.81"," ","S","13","    5.13"," ","S","13","    1.70"," ","S","13","    4.40"," ","S","13"
