"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MOFSA207","01"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","01","99","99","    3.40"," ","E","10"
"US1MOFSA207","02"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","02","99","99","    4.10"," ","E","12"
"US1MOFSA207","03"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","03","99","99","    5.63"," ","E","12"
"US1MOFSA207","04"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","04","99","99","    6.24"," ","E","11"
"US1MOFSA207","05"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","05","99","99","    5.80"," ","E"," 9"
"US1MOFSA207","06"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","06","99","99","    3.64"," ","E","13"
"US1MOFSA207","07"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","07","99","99","    4.36"," ","E","12"
"US1MOFSA207","08"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","08","99","99","    3.98"," ","E","14"
"US1MOFSA207","09"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","09","99","99","    3.66"," ","E","11"
"US1MOFSA207","10"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","10","99","99","    4.30"," ","E","12"
"US1MOFSA207","11"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","11","99","99","    4.40"," ","E","12"
"US1MOFSA207","12"," 36.8464"," -89.9391"," 171.9","BLOOMFIELD 2.9 S, MO US","12","99","99","    4.58"," ","E","11"
