"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MOSE0030","01"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","01","99","99","    2.18"," ","E"," 3"
"US1MOSE0030","02"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","02","99","99","    2.43"," ","E"," 4"
"US1MOSE0030","03"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","03","99","99","    5.00"," ","E"," 4"
"US1MOSE0030","04"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","04","99","99","    5.53"," ","E"," 3"
"US1MOSE0030","05"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","05","99","99","    6.69"," ","E"," 5"
"US1MOSE0030","06"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","06","99","99","    3.72"," ","E"," 4"
"US1MOSE0030","07"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","07","99","99","    4.29"," ","E"," 5"
"US1MOSE0030","08"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","08","99","99","    3.80"," ","E"," 4"
"US1MOSE0030","09"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","09","99","99","    4.58"," ","E"," 5"
"US1MOSE0030","10"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","10","99","99","    4.58"," ","E"," 5"
"US1MOSE0030","11"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","11","99","99","    3.08"," ","E"," 4"
"US1MOSE0030","12"," 36.8940"," -93.5770"," 385.6","CRANE 0.7 SSW, MO US","12","99","99","    3.01"," ","E"," 3"
