"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1NCDH0006","01"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","01","99","99","    3.06"," ","S","13","    10.5"," ","S","13","     7.3"," ","S","13","     4.0"," ","S","13","     2.3"," ","S","13","     0.5"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.20"," ","S","13","    2.93"," ","S","13","    4.03"," ","S","13","    2.06"," ","S","13","    2.59"," ","S","13","    3.62"," ","S","13","    4.18"," ","S","13","    2.31"," ","S","13","    3.91"," ","S","13"
"US1NCDH0006","02"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","02","99","99","    3.06"," ","S","13","    10.2"," ","S","13","     6.0"," ","S","13","     4.2"," ","S","13","     2.0"," ","S","13","     0.6"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.80"," ","S","13","    3.09"," ","S","13","    3.92"," ","S","13","    1.43"," ","S","13","    2.65"," ","S","13","    3.34"," ","S","13","    4.08"," ","S","13","    2.23"," ","S","13","    3.64"," ","S","13"
"US1NCDH0006","03"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","03","99","99","    3.71"," ","S","13","    11.3"," ","S","13","     7.3"," ","S","13","     4.9"," ","S","13","     3.2"," ","S","13","     0.8"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.58"," ","S","13","    3.65"," ","S","13","    4.62"," ","S","13","    2.36"," ","S","13","    3.11"," ","S","13","    4.14"," ","S","13","    4.66"," ","S","13","    2.84"," ","S","13","    4.30"," ","S","13"
"US1NCDH0006","04"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","04","99","99","    4.24"," ","S","13","    11.2"," ","S","13","     7.3"," ","S","13","     5.1"," ","S","13","     3.1"," ","S","13","     0.6"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","    3.12"," ","S","13","    4.19"," ","S","13","    5.33"," ","S","13","    2.77"," ","S","13","    3.90"," ","S","13","    4.35"," ","S","13","    6.09"," ","S","13","    3.65"," ","S","13","    4.59"," ","S","13"
"US1NCDH0006","05"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","05","99","99","    5.08"," ","S","13","    12.5"," ","S","13","     7.9"," ","S","13","     5.5"," ","S","13","     3.3"," ","S","13","     1.3"," ","S","13","     0.4"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","    3.46"," ","S","13","    4.89"," ","S","13","    7.21"," ","S","13","    3.09"," ","S","13","    3.78"," ","S","13","    5.83"," ","S","13","    7.71"," ","S","13","    3.65"," ","S","13","    6.27"," ","S","13"
"US1NCDH0006","06"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","06","99","99","    4.63"," ","S","13","    10.1"," ","S","13","     6.3"," ","S","13","     4.2"," ","S","13","     3.2"," ","S","13","     1.6"," ","S","13","     0.4"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    3.24"," ","S","13","    4.05"," ","S","13","    5.54"," ","S","13","    3.11"," ","S","13","    3.56"," ","S","13","    4.64"," ","S","13","    5.79"," ","S","13","    3.39"," ","S","13","    5.11"," ","S","13"
"US1NCDH0006","07"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","07","99","99","    5.05"," ","S","13","    11.9"," ","S","13","     7.8"," ","S","13","     4.8"," ","S","13","     3.1"," ","S","13","     1.3"," ","S","13","     0.5"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    3.94"," ","S","13","    5.34"," ","S","13","    6.07"," ","S","13","    3.75"," ","S","13","    4.82"," ","S","13","    5.47"," ","S","13","    6.56"," ","S","13","    4.29"," ","S","13","    5.54"," ","S","13"
"US1NCDH0006","08"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","08","99","99","    4.66"," ","S","13","    13.0"," ","S","13","     7.7"," ","S","13","     4.9"," ","S","13","     3.1"," ","S","13","     1.3"," ","S","13","     0.3"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    3.30"," ","S","13","    4.31"," ","S","13","    5.33"," ","S","13","    3.25"," ","S","13","    3.73"," ","S","13","    4.82"," ","S","13","    5.59"," ","S","13","    3.52"," ","S","13","    5.18"," ","S","13"
"US1NCDH0006","09"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","09","99","99","    5.50"," ","S","13","     9.5"," ","S","14","     6.2"," ","S","14","     4.4"," ","S","14","     3.1"," ","S","14","     1.9"," ","S","14","     0.8"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    3.34"," ","S","13","    5.35"," ","S","13","    7.39"," ","S","13","    2.82"," ","S","13","    4.59"," ","S","13","    6.19"," ","S","13","    7.83"," ","S","13","    4.03"," ","S","13","    7.22"," ","S","13"
"US1NCDH0006","10"," 35.9914"," -78.9310"," 113.1","DURHAM 1.2 NW, NC US","10","99","99","    3.44"," ","S","13","     9.2"," ","S","14","     5.0"," ","S","14","     3.5"," ","S","14","     1.9"," ","S","14","     0.9"," ","S","14","     0.5"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    2.32"," ","S","13","    3.50"," ","S","13","    4.36"," ","S","13","    1.89"," ","S","13","    3.05"," ","S","13","    3.73"," ","S","13","    4.77"," ","S","13","    2.79"," ","S","13","    4.08"," ","S","13"
