"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NCDV0006","01"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","01","99","99","    3.55"," ","E"," 7"
"US1NCDV0006","02"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","02","99","99","    3.12"," ","E"," 7"
"US1NCDV0006","03"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","03","99","99","    3.41"," ","E"," 7"
"US1NCDV0006","04"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","04","99","99","    3.99"," ","E"," 7"
"US1NCDV0006","05"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","05","99","99","    4.89"," ","E"," 5"
"US1NCDV0006","06"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","06","99","99","    4.50"," ","E"," 6"
"US1NCDV0006","07"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","07","99","99","    4.14"," ","E"," 5"
"US1NCDV0006","08"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","08","99","99","    4.78"," ","E"," 6"
"US1NCDV0006","09"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","09","99","99","    4.32"," ","E"," 7"
"US1NCDV0006","10"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","10","99","99","    3.79"," ","E"," 7"
"US1NCDV0006","11"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","11","99","99","    3.59"," ","E"," 6"
"US1NCDV0006","12"," 35.9734"," -80.4415"," 226.8","ADVANCE 2.9 NW, NC US","12","99","99","    4.23"," ","E"," 6"
