"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NCHN0012","01"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","01","99","99","    5.38"," ","E","12"
"US1NCHN0012","02"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","02","99","99","    4.30"," ","E","11"
"US1NCHN0012","03"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","03","99","99","    4.42"," ","E","11"
"US1NCHN0012","04"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","04","99","99","    5.35"," ","E","11"
"US1NCHN0012","05"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","05","99","99","    5.30"," ","E","11"
"US1NCHN0012","06"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","06","99","99","    4.23"," ","E","12"
"US1NCHN0012","07"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","07","99","99","    5.64"," ","E","13"
"US1NCHN0012","08"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","08","99","99","    5.97"," ","E","11"
"US1NCHN0012","09"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","09","99","99","    5.17"," ","E","12"
"US1NCHN0012","10"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","10","99","99","    5.80"," ","E","11"
"US1NCHN0012","11"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","11","99","99","    4.52"," ","E"," 9"
"US1NCHN0012","12"," 35.2910"," -82.4143"," 647.7","EAST FLAT ROCK 0.5 NNE, NC US","12","99","99","    6.80"," ","E","12"
