"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NJBG0018","01"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","01","99","99","    3.32"," ","E"," 6"
"US1NJBG0018","02"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","02","99","99","    3.44"," ","E"," 5"
"US1NJBG0018","03"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","03","99","99","    4.22"," ","E"," 5"
"US1NJBG0018","04"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","04","99","99","    4.63"," ","E"," 9"
"US1NJBG0018","05"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","05","99","99","    4.21"," ","E"," 5"
"US1NJBG0018","06"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","06","99","99","    4.66"," ","E"," 9"
"US1NJBG0018","07"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","07","99","99","    5.22"," ","E"," 7"
"US1NJBG0018","08"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","08","99","99","    5.20"," ","E"," 7"
"US1NJBG0018","09"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","09","99","99","    3.70"," ","E"," 7"
"US1NJBG0018","10"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","10","99","99","    4.41"," ","E"," 6"
"US1NJBG0018","11"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","11","99","99","    3.45"," ","E"," 6"
"US1NJBG0018","12"," 40.8481"," -74.0002","  21.3","PALISADES PARK 0.2 WNW, NJ US","12","99","99","    4.75"," ","E"," 7"
