"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NJHN0018","01"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","01","99","99","    3.60"," ","E","10"
"US1NJHN0018","02"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","02","99","99","    3.37"," ","E"," 9"
"US1NJHN0018","03"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","03","99","99","    3.85"," ","E","10"
"US1NJHN0018","04"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","04","99","99","    4.23"," ","E","10"
"US1NJHN0018","05"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","05","99","99","    4.71"," ","E"," 8"
"US1NJHN0018","06"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","06","99","99","    5.35"," ","E","10"
"US1NJHN0018","07"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","07","99","99","    5.31"," ","E"," 9"
"US1NJHN0018","08"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","08","99","99","    5.69"," ","E","10"
"US1NJHN0018","09"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","09","99","99","    4.03"," ","E"," 6"
"US1NJHN0018","10"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","10","99","99","    4.46"," ","E"," 9"
"US1NJHN0018","11"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","11","99","99","    3.30"," ","E"," 9"
"US1NJHN0018","12"," 40.6872"," -74.8575"," 186.8","CLINTON TWP 3.9 N, NJ US","12","99","99","    4.90"," ","E","11"
