"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NJMD0045","01"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","01","99","99","    3.50"," ","E"," 7"
"US1NJMD0045","02"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","02","99","99","    3.38"," ","E"," 6"
"US1NJMD0045","03"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","03","99","99","    4.03"," ","E"," 6"
"US1NJMD0045","04"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","04","99","99","    4.36"," ","E"," 6"
"US1NJMD0045","05"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","05","99","99","    4.41"," ","E"," 7"
"US1NJMD0045","06"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","06","99","99","    5.28"," ","E"," 7"
"US1NJMD0045","07"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","07","99","99","    5.19"," ","E"," 4"
"US1NJMD0045","08"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","08","99","99","    5.01"," ","E"," 6"
"US1NJMD0045","09"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","09","99","99","    3.78"," ","E"," 8"
"US1NJMD0045","10"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","10","99","99","    4.54"," ","E"," 7"
"US1NJMD0045","11"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","11","99","99","    3.24"," ","E"," 7"
"US1NJMD0045","12"," 40.5759"," -74.2847","  21.6","WOODBRIDGE TWP 1.1 NNE, NJ US","12","99","99","    5.10"," ","E"," 6"
