"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NMDA0081","01"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","01","99","99","    0.53"," ","E","12"
"US1NMDA0081","02"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","02","99","99","    0.27"," ","E","11"
"US1NMDA0081","03"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","03","99","99","    0.26"," ","E","10"
"US1NMDA0081","04"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","04","99","99","    0.19"," ","E","11"
"US1NMDA0081","05"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","05","99","99","    0.42"," ","E","11"
"US1NMDA0081","06"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","06","99","99","    0.46"," ","E","10"
"US1NMDA0081","07"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","07","99","99","    2.16"," ","E"," 8"
"US1NMDA0081","08"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","08","99","99","    2.02"," ","E"," 7"
"US1NMDA0081","09"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","09","99","99","    1.83"," ","E","11"
"US1NMDA0081","10"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","10","99","99","    0.88"," ","E","10"
"US1NMDA0081","11"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","11","99","99","    0.45"," ","E"," 9"
"US1NMDA0081","12"," 32.2586","-106.7078","1250.9","LAS CRUCES 6.1 SSE, NM US","12","99","99","    0.59"," ","E","10"
