"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1NMDA0116","01"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","01","99","99","    0.45"," ","S","14","     3.0"," ","S","14","     1.4"," ","S","14","     0.6"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.02"," ","S","14","    0.13"," ","S","14","    0.89"," ","S","14","    0.02"," ","S","14","    0.08"," ","S","14","    0.22"," ","S","14","    1.03"," ","S","14","    0.03"," ","S","14","    0.47"," ","S","14"
"US1NMDA0116","02"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","02","99","99","    0.24"," ","S","14","     2.1"," ","S","14","     1.0"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.05"," ","S","14","    0.12"," ","S","14","    0.33"," ","S","14","    0.03"," ","S","14","    0.09"," ","S","14","    0.17"," ","S","14","    0.47"," ","S","14","    0.07"," ","S","14","    0.20"," ","S","14"
"US1NMDA0116","03"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","03","99","99","    0.25"," ","S","13","     1.9"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.00"," ","S","13","    0.05"," ","S","13","    0.15"," ","S","13","    0.00"," ","S","13","    0.02"," ","S","13","    0.08"," ","S","13","    0.23"," ","S","13","    0.00"," ","S","13","    0.09"," ","S","13"
"US1NMDA0116","04"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","04","99","99","    0.25"," ","S","14","     1.5"," ","S","14","     0.6"," ","S","14","     0.3"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.00"," ","S","14","    0.01"," ","S","14","    0.32"," ","S","14","    0.00"," ","S","14","    0.00"," ","S","14","    0.07"," ","S","14","    0.43"," ","S","14","    0.00"," ","S","14","    0.13"," ","S","14"
"US1NMDA0116","05"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","05","99","99","    0.41"," ","S","14","     2.3"," ","S","14","     1.0"," ","S","14","     0.5"," ","S","14","     0.2"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.00"," ","S","14","    0.18"," ","S","14","    0.71"," ","S","14","    0.00"," ","S","14","    0.07"," ","S","14","    0.45"," ","S","14","    0.72"," ","S","14","    0.01"," ","S","14","    0.60"," ","S","14"
"US1NMDA0116","06"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","06","99","99","    0.42"," ","S","14","     2.5"," ","S","14","     0.9"," ","S","14","     0.6"," ","S","14","     0.2"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.11"," ","S","14","    0.31"," ","S","14","    0.47"," ","S","14","    0.07"," ","S","14","    0.23"," ","S","14","    0.32"," ","S","14","    0.53"," ","S","14","    0.15"," ","S","14","    0.37"," ","S","14"
"US1NMDA0116","07"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","07","99","99","    2.09"," ","S","14","    10.9"," ","S","14","     4.7"," ","S","14","     2.4"," ","S","14","     0.9"," ","S","14","     0.4"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.43"," ","S","14","    1.63"," ","S","14","    2.47"," ","S","14","    1.36"," ","S","14","    1.57"," ","S","14","    2.10"," ","S","14","    2.76"," ","S","14","    1.52"," ","S","14","    2.29"," ","S","14"
"US1NMDA0116","08"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","08","99","99","    1.74"," ","S","14","     8.6"," ","S","14","     3.9"," ","S","14","     1.8"," ","S","14","     0.9"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.07"," ","S","14","    1.23"," ","S","14","    1.71"," ","S","14","    0.99"," ","S","14","    1.22"," ","S","14","    1.41"," ","S","14","    1.89"," ","S","14","    1.20"," ","S","14","    1.54"," ","S","14"
"US1NMDA0116","09"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","09","99","99","    1.67"," ","S","15","     6.1"," ","S","15","     3.5"," ","S","15","     2.0"," ","S","15","     1.0"," ","S","15","     0.5"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.83"," ","S","15","    1.64"," ","S","15","    2.09"," ","S","15","    0.66"," ","S","15","    1.10"," ","S","15","    1.77"," ","S","15","    2.37"," ","S","15","    1.04"," ","S","15","    1.95"," ","S","15"
"US1NMDA0116","10"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","10","99","99","    0.79"," ","S","15","     4.1"," ","S","15","     1.7"," ","S","15","     1.3"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.12"," ","S","15","    0.43"," ","S","15","    0.92"," ","S","15","    0.11"," ","S","15","    0.29"," ","S","15","    0.54"," ","S","15","    1.33"," ","S","15","    0.20"," ","S","15","    0.66"," ","S","15"
"US1NMDA0116","11"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","11","99","99","    0.44"," ","S","15","     2.8"," ","S","15","     1.2"," ","S","15","     0.6"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.07"," ","S","15","    0.37"," ","S","15","    0.41"," ","S","15","    0.06"," ","S","15","    0.29"," ","S","15","    0.39"," ","S","15","    0.52"," ","S","15","    0.17"," ","S","15","    0.40"," ","S","15"
"US1NMDA0116","12"," 32.2718","-106.7668","1178.1","MESILLA 2.3 E, NM US","12","99","99","    0.54"," ","S","15","     3.5"," ","S","15","     1.6"," ","S","15","     0.7"," ","S","15","     0.2"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.18"," ","S","15","    0.27"," ","S","15","    0.92"," ","S","15","    0.16"," ","S","15","    0.19"," ","S","15","    0.63"," ","S","15","    1.07"," ","S","15","    0.19"," ","S","15","    0.77"," ","S","15"
