"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NMSN0076","01"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","01","99","99","    0.48"," ","E"," 4"
"US1NMSN0076","02"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","02","99","99","    0.41"," ","E"," 8"
"US1NMSN0076","03"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","03","99","99","    0.31"," ","E"," 4"
"US1NMSN0076","04"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","04","99","99","    0.56"," ","E"," 6"
"US1NMSN0076","05"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","05","99","99","    0.51"," ","E"," 6"
"US1NMSN0076","06"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","06","99","99","    0.49"," ","E"," 8"
"US1NMSN0076","07"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","07","99","99","    1.96"," ","E"," 4"
"US1NMSN0076","08"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","08","99","99","    1.61"," ","E"," 5"
"US1NMSN0076","09"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","09","99","99","    1.07"," ","E"," 2"
"US1NMSN0076","10"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","10","99","99","    0.97"," ","E"," 5"
"US1NMSN0076","11"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","11","99","99","    0.42"," ","E"," 7"
"US1NMSN0076","12"," 35.2416","-106.5977","1531.9","CORRALES 1.3 ENE, NM US","12","99","99","    0.87"," ","E"," 3"
