"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NMSR0007","01"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","01","99","99","    0.47"," ","E"," 9"
"US1NMSR0007","02"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","02","99","99","    0.35"," ","E"," 9"
"US1NMSR0007","03"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","03","99","99","    0.21"," ","E"," 9"
"US1NMSR0007","04"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","04","99","99","    0.26"," ","E"," 9"
"US1NMSR0007","05"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","05","99","99","    0.48"," ","E"," 9"
"US1NMSR0007","06"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","06","99","99","    0.76"," ","E"," 9"
"US1NMSR0007","07"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","07","99","99","    2.28"," ","E"," 8"
"US1NMSR0007","08"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","08","99","99","    1.94"," ","E","10"
"US1NMSR0007","09"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","09","99","99","    1.77"," ","E","10"
"US1NMSR0007","10"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","10","99","99","    0.82"," ","E"," 8"
"US1NMSR0007","11"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","11","99","99","    0.60"," ","E"," 9"
"US1NMSR0007","12"," 33.1659","-106.9657","1488.9","ENGLE 4.0 ESE, NM US","12","99","99","    0.58"," ","E"," 7"
