"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1NVCK0017","01"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","01","99","99","    0.77"," ","R","11","     4.8"," ","S","12","     2.2"," ","S","12","     1.2"," ","S","12","     0.6"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.28"," ","R","11","    0.56"," ","R","11","    1.42"," ","R","11","    0.27"," ","R","11","    0.38"," ","R","11","    0.60"," ","R","11","    1.49"," ","R","11","    0.30"," ","R","11","    0.87"," ","R","11"
"US1NVCK0017","02"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","02","99","99","    0.95"," ","S","13","     4.7"," ","S","13","     2.2"," ","S","13","     1.6"," ","S","13","     0.7"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.51"," ","S","13","    0.68"," ","S","13","    0.99"," ","S","13","    0.44"," ","S","13","    0.60"," ","S","13","    0.78"," ","S","13","    1.27"," ","S","13","    0.57"," ","S","13","    0.90"," ","S","13"
"US1NVCK0017","03"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","03","99","99","    0.73"," ","S","13","     3.8"," ","S","13","     1.9"," ","S","13","     1.0"," ","S","13","     0.3"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.41"," ","S","13","    0.65"," ","S","13","    0.94"," ","S","13","    0.30"," ","S","13","    0.54"," ","S","13","    0.78"," ","S","13","    1.04"," ","S","13","    0.49"," ","S","13","    0.82"," ","S","13"
"US1NVCK0017","04"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","04","99","99","    0.27"," ","R","11","     2.4"," ","S","13","     1.1"," ","S","13","     0.5"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.11"," ","R","11","    0.15"," ","R","11","    0.33"," ","R","11","    0.10"," ","R","11","    0.13"," ","R","11","    0.24"," ","R","11","    0.37"," ","R","11","    0.12"," ","R","11","    0.29"," ","R","11"
"US1NVCK0017","05"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","05","99","99","    0.24"," ","S","13","     2.2"," ","S","14","     0.8"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.06"," ","S","13","    0.12"," ","S","13","    0.25"," ","S","13","    0.03"," ","S","13","    0.11"," ","S","13","    0.15"," ","S","13","    0.29"," ","S","13","    0.10"," ","S","13","    0.18"," ","S","13"
"US1NVCK0017","06"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","06","99","99","    0.05"," ","S","12","     0.3"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.00"," ","S","12","    0.00"," ","S","12","    0.06"," ","S","12","    0.00"," ","S","12","    0.00"," ","S","12","    0.00"," ","S","12","    0.09"," ","S","12","    0.00"," ","S","12","    0.01"," ","S","12"
"US1NVCK0017","07"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","07","99","99","    0.37"," ","S","13","     2.2"," ","S","14","     0.9"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.08"," ","S","13","    0.21"," ","S","13","    0.39"," ","S","13","    0.06"," ","S","13","    0.17"," ","S","13","    0.25"," ","S","13","    0.50"," ","S","13","    0.11"," ","S","13","    0.30"," ","S","13"
"US1NVCK0017","08"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","08","99","99","    0.49"," ","S","12","     3.0"," ","S","14","     1.3"," ","S","14","     0.9"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.05"," ","S","12","    0.19"," ","S","12","    0.77"," ","S","12","    0.04"," ","S","12","    0.16"," ","S","12","    0.50"," ","S","12","    0.96"," ","S","12","    0.11"," ","S","12","    0.59"," ","S","12"
"US1NVCK0017","09"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","09","99","99","    0.50"," ","R","11","     2.1"," ","S","14","     1.2"," ","S","14","     0.9"," ","S","14","     0.2"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.03"," ","R","11","    0.26"," ","R","11","    0.56"," ","R","11","    0.01"," ","R","11","    0.12"," ","R","11","    0.38"," ","R","11","    0.64"," ","R","11","    0.06"," ","R","11","    0.43"," ","R","11"
"US1NVCK0017","10"," 36.7808","-114.1048"," 480.1","MESQUITE 1.5 S, NV US","10","99","99","    0.60"," ","S","13","     2.1"," ","S","14","     1.4"," ","S","14","     0.8"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.01"," ","S","13","    0.41"," ","S","13","    0.90"," ","S","13","    0.00"," ","S","13","    0.28"," ","S","13","    0.61"," ","S","13","    1.00"," ","S","13","    0.07"," ","S","13","    0.78"," ","S","13"
