"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1NYCN0009","01"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","01","99","99","    3.44"," ","R","11","    18.7"," ","P","11","     7.7"," ","P","11","     4.0"," ","P","11","     1.8"," ","P","11","     0.7"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.48"," ","R","11","    3.14"," ","R","11","    4.17"," ","R","11","    2.31"," ","R","11","    2.86"," ","R","11","    3.51"," ","R","11","    4.40"," ","R","11","    2.75"," ","R","11","    3.79"," ","R","11"
"US1NYCN0009","02"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","02","99","99","    3.30"," ","R","10","    17.7"," ","P","11","     8.1"," ","P","11","     4.6"," ","P","11","     1.8"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.04"," ","R","10","    3.41"," ","R","10","    4.15"," ","R","10","    1.91"," ","R","10","    2.66"," ","R","10","    3.73"," ","R","10","    4.36"," ","R","10","    2.37"," ","R","10","    3.94"," ","R","10"
"US1NYCN0009","03"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","03","99","99","    3.40"," ","R","11","    16.9"," ","P","11","     7.1"," ","P","11","     4.5"," ","P","11","     1.8"," ","P","11","     0.5"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.66"," ","R","11","    3.15"," ","R","11","    4.19"," ","R","11","    2.56"," ","R","11","    2.90"," ","R","11","    3.36"," ","R","11","    4.70"," ","R","11","    2.82"," ","R","11","    3.53"," ","R","11"
"US1NYCN0009","04"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","04","99","99","    4.22"," ","R","11","    15.7"," ","P","11","     8.9"," ","P","11","     5.6"," ","P","11","     2.9"," ","P","11","     0.8"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    3.26"," ","R","11","    3.66"," ","R","11","    4.52"," ","R","11","    3.06"," ","R","11","    3.53"," ","R","11","    4.01"," ","R","11","    4.97"," ","R","11","    3.42"," ","R","11","    4.25"," ","R","11"
"US1NYCN0009","05"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","05","99","99","    4.20"," ","R","11","    15.6"," ","P","11","     9.0"," ","P","11","     6.3"," ","P","11","     2.9"," ","P","11","     0.8"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.71"," ","R","11","    3.54"," ","R","11","    5.60"," ","R","11","    2.62"," ","R","11","    3.31"," ","R","11","    5.12"," ","R","11","    5.78"," ","R","11","    2.94"," ","R","11","    5.24"," ","R","11"
"US1NYCN0009","06"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","06","99","99","    5.05"," ","R","11","    15.1"," ","P","11","    10.0"," ","P","11","     6.7"," ","P","11","     3.8"," ","P","11","     1.0"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    3.71"," ","R","11","    4.78"," ","R","11","    6.07"," ","R","11","    3.66"," ","R","11","    3.88"," ","R","11","    5.48"," ","R","11","    6.46"," ","R","11","    3.81"," ","R","11","    5.81"," ","R","11"
"US1NYCN0009","07"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","07","99","99","    5.19"," ","R","11","    14.2"," ","P","11","     8.1"," ","P","11","     5.8"," ","P","11","     3.3"," ","P","11","     1.5"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    3.65"," ","R","11","    5.84"," ","R","11","    6.48"," ","R","11","    2.97"," ","R","11","    5.24"," ","R","11","    5.86"," ","R","11","    7.06"," ","R","11","    4.72"," ","R","11","    5.93"," ","R","11"
"US1NYCN0009","08"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","08","99","99","    5.12"," ","S","12","    13.4"," ","S","12","     8.3"," ","S","12","     5.6"," ","S","12","     3.5"," ","S","12","     1.7"," ","S","12","     0.3"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    4.37"," ","S","12","    5.03"," ","S","12","    5.96"," ","S","12","    4.35"," ","S","12","    4.80"," ","S","12","    5.42"," ","S","12","    6.06"," ","S","12","    4.50"," ","S","12","    5.63"," ","S","12"
"US1NYCN0009","09"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","09","99","99","    3.58"," ","S","12","    11.8"," ","S","12","     6.4"," ","S","12","     3.8"," ","S","12","     2.1"," ","S","12","     0.8"," ","S","12","     0.3"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","    2.22"," ","S","12","    2.93"," ","S","12","    3.59"," ","S","12","    1.91"," ","S","12","    2.60"," ","S","12","    3.25"," ","S","12","    3.77"," ","S","12","    2.50"," ","S","12","    3.45"," ","S","12"
"US1NYCN0009","10"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","10","99","99","    4.95"," ","S","12","    17.1"," ","S","12","     9.6"," ","S","12","     5.6"," ","S","12","     2.6"," ","S","12","     0.9"," ","S","12","     0.3"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","    3.79"," ","S","12","    4.69"," ","S","12","    5.59"," ","S","12","    3.50"," ","S","12","    4.32"," ","S","12","    5.01"," ","S","12","    5.81"," ","S","12","    4.14"," ","S","12","    5.25"," ","S","12"
"US1NYCN0009","11"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","11","99","99","    3.49"," ","S","12","    15.2"," ","S","12","     7.5"," ","S","12","     4.4"," ","S","12","     1.8"," ","S","12","     0.6"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    2.90"," ","S","12","    3.04"," ","S","12","    3.96"," ","S","12","    2.74"," ","S","12","    3.03"," ","S","12","    3.35"," ","S","12","    4.09"," ","S","12","    3.01"," ","S","12","    3.81"," ","S","12"
"US1NYCN0009","12"," 42.5336"," -75.6306"," 456.6","NORWICH 5.4 W, NY US","12","99","99","    4.19"," ","S","12","    20.8"," ","S","12","     9.8"," ","S","12","     5.8"," ","S","12","     2.2"," ","S","12","     0.2"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    3.17"," ","S","12","    4.35"," ","S","12","    5.05"," ","S","12","    2.98"," ","S","12","    3.97"," ","S","12","    4.80"," ","S","12","    5.11"," ","S","12","    3.35"," ","S","12","    4.88"," ","S","12"
