"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1NYST0003","01"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","01","99","99","    1.79"," ","S","12","    13.2"," ","S","12","     4.6"," ","S","12","     2.4"," ","S","12","     0.9"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.26"," ","S","12","    1.83"," ","S","12","    2.29"," ","S","12","    1.24"," ","S","12","    1.56"," ","S","12","    1.99"," ","S","12","    2.47"," ","S","12","    1.42"," ","S","12","    2.09"," ","S","12"
"US1NYST0003","02"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","02","99","99","    1.94"," ","R","10","    12.3"," ","S","12","     5.2"," ","S","12","     2.7"," ","S","12","     0.9"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.39"," ","R","10","    1.72"," ","R","10","    2.26"," ","R","10","    1.30"," ","R","10","    1.56"," ","R","10","    1.85"," ","R","10","    2.74"," ","R","10","    1.47"," ","R","10","    1.94"," ","R","10"
"US1NYST0003","03"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","03","99","99","    2.12"," ","R","10","    10.9"," ","S","12","     4.5"," ","S","12","     2.6"," ","S","12","     1.2"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.46"," ","R","10","    1.93"," ","R","10","    2.39"," ","R","10","    1.43"," ","R","10","    1.54"," ","R","10","    2.06"," ","R","10","    2.54"," ","R","10","    1.51"," ","R","10","    2.17"," ","R","10"
"US1NYST0003","04"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","04","99","99","    2.73"," ","S","12","    12.8"," ","S","13","     6.9"," ","S","13","     4.2"," ","S","13","     1.7"," ","S","13","     0.3"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.92"," ","S","12","    2.30"," ","S","12","    2.85"," ","S","12","    1.88"," ","S","12","    2.27"," ","S","12","    2.43"," ","S","12","    3.14"," ","S","12","    2.15"," ","S","12","    2.57"," ","S","12"
"US1NYST0003","05"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","05","99","99","    3.20"," ","S","13","    13.9"," ","S","13","     7.6"," ","S","13","     3.8"," ","S","13","     2.2"," ","S","13","     0.7"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.11"," ","S","13","    3.21"," ","S","13","    3.81"," ","S","13","    1.98"," ","S","13","    2.74"," ","S","13","    3.54"," ","S","13","    3.91"," ","S","13","    2.35"," ","S","13","    3.74"," ","S","13"
"US1NYST0003","06"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","06","99","99","    4.13"," ","R","11","    13.7"," ","S","13","     8.2"," ","S","13","     5.1"," ","S","13","     2.3"," ","S","13","     0.4"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    3.13"," ","R","11","    3.92"," ","R","11","    4.81"," ","R","11","    2.89"," ","R","11","    3.55"," ","R","11","    4.04"," ","R","11","    5.58"," ","R","11","    3.31"," ","R","11","    4.11"," ","R","11"
"US1NYST0003","07"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","07","99","99","    4.03"," ","R","10","    11.6"," ","S","13","     7.2"," ","S","13","     4.5"," ","S","13","     2.3"," ","S","13","     0.9"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.88"," ","R","10","    3.22"," ","R","10","    4.96"," ","R","10","    2.65"," ","R","10","    3.20"," ","R","10","    3.28"," ","R","10","    5.47"," ","R","10","    3.15"," ","R","10","    3.72"," ","R","10"
"US1NYST0003","08"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","08","99","99","    3.91"," ","S","12","    11.8"," ","S","13","     7.6"," ","S","13","     4.6"," ","S","13","     2.5"," ","S","13","     0.8"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    3.08"," ","S","12","    4.11"," ","S","12","    4.64"," ","S","12","    2.84"," ","S","12","    3.51"," ","S","12","    4.32"," ","S","12","    4.73"," ","S","12","    3.31"," ","S","12","    4.57"," ","S","12"
"US1NYST0003","09"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","09","99","99","    3.87"," ","S","12","    10.3"," ","S","13","     6.7"," ","S","13","     4.5"," ","S","13","     2.2"," ","S","13","     0.9"," ","S","13","     0.3"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.06"," ","S","12","    3.08"," ","S","12","    4.48"," ","S","12","    1.92"," ","S","12","    2.58"," ","S","12","    3.42"," ","S","12","    4.91"," ","S","12","    2.19"," ","S","12","    3.97"," ","S","12"
"US1NYST0003","10"," 42.0567"," -77.0485"," 527.3","SOUTH CORNING 4.7 S, NY US","10","99","99","    3.93"," ","S","12","    15.4"," ","S","13","     8.3"," ","S","13","     5.3"," ","S","13","     2.4"," ","S","13","     0.5"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.50"," ","S","12","    3.95"," ","S","12","    4.60"," ","S","12","    2.31"," ","S","12","    3.00"," ","S","12","    4.48"," ","S","12","    4.70"," ","S","12","    2.89"," ","S","12","    4.51"," ","S","12"
