"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1OHPT0012","01"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","01","99","99","    2.72"," ","R","11","    19.1"," ","P","11","     7.6"," ","P","11","     3.0"," ","P","11","     1.1"," ","P","11","     0.4"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.81"," ","R","11","    2.63"," ","R","11","    3.23"," ","R","11","    1.77"," ","R","11","    1.99"," ","R","11","    3.04"," ","R","11","    3.34"," ","R","11","    1.85"," ","R","11","    3.15"," ","R","11"
"US1OHPT0012","02"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","02","99","99","    2.76"," ","R","11","    16.8"," ","P","11","     7.2"," ","P","11","     3.6"," ","P","11","     1.7"," ","P","11","     0.4"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.69"," ","R","11","    1.88"," ","R","11","    3.57"," ","R","11","    1.67"," ","R","11","    1.83"," ","R","11","    2.56"," ","R","11","    3.84"," ","R","11","    1.77"," ","R","11","    3.00"," ","R","11"
"US1OHPT0012","03"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","03","99","99","    3.57"," ","R","11","    14.5"," ","P","11","     7.5"," ","P","11","     4.3"," ","P","11","     2.6"," ","P","11","     0.5"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    3.11"," ","R","11","    3.22"," ","R","11","    4.02"," ","R","11","    3.05"," ","R","11","    3.20"," ","R","11","    3.58"," ","R","11","    4.09"," ","R","11","    3.17"," ","R","11","    3.97"," ","R","11"
"US1OHPT0012","04"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","04","99","99","    3.45"," ","R","11","    15.1"," ","P","11","     8.7"," ","P","11","     5.4"," ","P","11","     2.5"," ","P","11","     0.5"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.66"," ","R","11","    3.47"," ","R","11","    4.33"," ","R","11","    2.47"," ","R","11","    3.30"," ","R","11","    3.77"," ","R","11","    4.55"," ","R","11","    3.05"," ","R","11","    4.07"," ","R","11"
"US1OHPT0012","05"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","05","99","99","    4.26"," ","R","11","    16.2"," ","P","11","     9.5"," ","P","11","     5.8"," ","P","11","     2.9"," ","P","11","     0.8"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    3.12"," ","R","11","    3.67"," ","R","11","    4.95"," ","R","11","    2.88"," ","R","11","    3.44"," ","R","11","    4.73"," ","R","11","    5.19"," ","R","11","    3.31"," ","R","11","    4.81"," ","R","11"
"US1OHPT0012","06"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","06","99","99","    5.71"," ","R","11","    14.8"," ","P","11","    10.0"," ","P","11","     6.4"," ","P","11","     4.0"," ","P","11","     1.6"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    3.77"," ","R","11","    5.00"," ","R","11","    7.72"," ","R","11","    3.59"," ","R","11","    3.92"," ","R","11","    6.18"," ","R","11","    8.13"," ","R","11","    3.88"," ","R","11","    6.66"," ","R","11"
"US1OHPT0012","07"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","07","99","99","    3.88"," ","R","11","    12.5"," ","P","11","     7.9"," ","P","11","     5.0"," ","P","11","     2.5"," ","P","11","     0.9"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.97"," ","R","11","    3.83"," ","R","11","    4.50"," ","R","11","    2.78"," ","R","11","    3.60"," ","R","11","    4.02"," ","R","11","    5.08"," ","R","11","    3.31"," ","R","11","    4.05"," ","R","11"
"US1OHPT0012","08"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","08","99","99","    3.37"," ","R","11","    12.1"," ","P","11","     7.3"," ","P","11","     3.6"," ","P","11","     1.8"," ","P","11","     0.5"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","    2.18"," ","R","11","    2.74"," ","R","11","    4.74"," ","R","11","    1.99"," ","R","11","    2.55"," ","R","11","    3.48"," ","R","11","    4.85"," ","R","11","    2.42"," ","R","11","    3.90"," ","R","11"
"US1OHPT0012","09"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","09","99","99","    3.66"," ","R","11","    12.0"," ","P","11","     7.0"," ","P","11","     4.5"," ","P","11","     2.8"," ","P","11","     0.8"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.53"," ","R","11","    3.67"," ","R","11","    4.15"," ","R","11","    2.37"," ","R","11","    3.42"," ","R","11","    3.83"," ","R","11","    4.29"," ","R","11","    2.93"," ","R","11","    3.98"," ","R","11"
"US1OHPT0012","10"," 41.0085"," -81.3290"," 357.8","MOGADORE 4.7 SE, OH US","10","99","99","    4.01"," ","R","11","    16.6"," ","P","11","     9.2"," ","P","11","     5.3"," ","P","11","     2.5"," ","P","11","     0.5"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.94"," ","R","11","    3.67"," ","R","11","    5.04"," ","R","11","    2.81"," ","R","11","    3.43"," ","R","11","    4.62"," ","R","11","    5.17"," ","R","11","    3.23"," ","R","11","    4.92"," ","R","11"
